"P_SYS_ID","P_BKUP_WHOLD_IND","P_1ST_BNOTE_DT","P_1ST_BNOTE_YR_NUM","P_2ND_BNOTE_DT","P_2ND_BNOTE_YR_NUM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1181390,"W",,"",,"",17,"SLSCHAAF",07-FEB-17 12.58.21.232000000 PM,"NMAIER",10-APR-13 03.32.40.555000000 PM
1181167,"W",,"",,"",2,"NMAIER",16-JUN-15 11.36.44.887000000 AM,"NMAIER",11-APR-13 02.09.58.406000000 PM
1002345,"W",,"",,"",2,"KRBACKMAN",12-APR-13 10.20.48.004000000 AM,"KRBACKMAN",12-APR-13 10.05.13.892000000 AM
1174624,"W",,"",,"",8,"LBARKER",22-DEC-14 03.14.18.753000000 PM,"KRBACKMAN",12-APR-13 10.11.53.123000000 AM
1278214,"W",,"",,"",33,"JJUVE",29-NOV-22 04.09.06.353000000 PM,"PJHEID",26-JUN-13 02.41.38.867000000 PM
1190833,"W",,"",,"",6,"JMLAGRO",25-JUN-15 03.03.18.546000000 PM,"JMLAGRO",03-JUL-13 07.28.08.080000000 AM
1164624,"W",,"",,"",9,"MLMOOS",12-DEC-18 03.59.45.257000000 PM,"TBRABANDT",03-JUL-13 02.54.22.735000000 PM
1276759,"W",,"",,"",7,"JMLAGRO",15-JUN-15 02.26.32.191000000 PM,"TBRABANDT",10-JUL-13 11.19.42.737000000 AM
1277925,"W",,"",,"",8,"JMLAGRO",10-JUL-15 10.16.21.445000000 AM,"JMLAGRO",12-JUL-13 09.14.59.783000000 AM
1278142,"W",,"",,"",14,"JASTONE",04-JUL-18 07.34.18.935000000 AM,"JMLAGRO",12-JUL-13 09.17.19.073000000 AM
1277735,"W",,"",,"",46,"ANNDOLL",13-AUG-18 10.40.29.417000000 AM,"JMLAGRO",17-JUL-13 03.02.41.807000000 PM
1278383,"W",,"",,"",26,"KAMELTZER",31-AUG-23 09.46.33.574000000 AM,"PJHEID",23-JUL-13 03.59.33.943000000 PM
1279402,"W",,"",,"",9,"JMLAGRO",26-JAN-15 03.30.03.453000000 PM,"JMLAGRO",14-AUG-13 07.46.20.234000000 AM
1280173,"W",,"",,"",12,"JALEESAWILSON",30-AUG-22 02.02.55.456000000 PM,"JMLAGRO",19-SEP-13 10.49.47.298000000 AM
1277284,"W",,"",,"",25,"JAWALTON",04-JAN-21 03.38.44.212000000 PM,"JMLAGRO",19-SEP-13 10.53.12.960000000 AM
1279600,"W",,"",,"",5,"MLMOOS",18-FEB-19 09.57.59.852000000 AM,"JMLAGRO",19-SEP-13 10.58.10.024000000 AM
1004104,"W",,"",,"",3,"HOFFMANNLIZA",27-DEC-23 06.56.46.373000000 AM,"JMLAGRO",19-SEP-13 11.02.50.877000000 AM
1280170,"W",,"",,"",19,"HOFFMANNLIZA",27-DEC-23 07.00.34.739000000 AM,"JMLAGRO",19-SEP-13 11.06.12.269000000 AM
1163161,"W",,"",,"",20,"CDTAYLOR",14-DEC-22 12.15.04.650000000 PM,"PJHEID",02-OCT-13 08.51.53.124000000 AM
1000485,"W",,"",,"",22,"TWILLIS",03-JAN-23 11.51.36.816000000 AM,"JMLAGRO",02-OCT-13 03.39.18.366000000 PM
1158635,"W",,"",,"",10,"KMELTZER",19-MAY-20 02.56.39.047000000 PM,"JMLAGRO",07-OCT-13 08.41.00.411000000 AM
1165439,"W",,"",,"",23,"TSTREET",25-JUL-22 08.43.20.249000000 AM,"JMLAGRO",07-OCT-13 08.48.27.473000000 AM
1167765,"W",,"",,"",8,"MESYLVESTER",23-MAY-23 01.43.57.735000000 PM,"JMLAGRO",07-OCT-13 12.36.31.528000000 PM
1001687,"W",,"",,"",5,"MLMOOS",28-DEC-18 09.25.30.713000000 PM,"JMLAGRO",09-OCT-13 08.12.37.865000000 AM
1001681,"W",,"",,"",3,"MLMOOS",11-DEC-18 04.19.32.387000000 PM,"JMLAGRO",09-OCT-13 08.31.03.507000000 AM
1161587,"W",,"",,"",19,"RSTACK",01-JUN-22 12.39.20.318000000 PM,"JMLAGRO",09-OCT-13 08.41.02.213000000 AM
1000483,"W",,"",,"",22,"AMANDAREGISTER",28-OCT-22 10.15.17.845000000 AM,"JMLAGRO",09-OCT-13 08.54.10.171000000 AM
1157914,"W",,"",,"",12,"TMCNEIL",28-DEC-22 04.09.57.931000000 PM,"JMLAGRO",09-OCT-13 09.29.13.210000000 AM
1161590,"W",,"",,"",16,"RSTACK",19-MAY-22 01.17.24.059000000 PM,"JMLAGRO",09-OCT-13 09.44.18.065000000 AM
1163211,"W",,"",,"",17,"TMCNEIL",29-DEC-22 02.14.50.655000000 PM,"JMLAGRO",09-OCT-13 10.20.44.374000000 AM
1192312,"W",,"",,"",15,"RRUD",24-JAN-23 08.04.02.487000000 AM,"PJHEID",10-OCT-13 01.45.37.738000000 PM
1280647,"W",,"",,"",5,"MLMOOS",18-FEB-19 10.39.58.943000000 AM,"PJHEID",10-OCT-13 03.09.33.357000000 PM
1192311,"W",,"",,"",10,"JODYTAYLOR",25-JAN-23 11.14.25.375000000 AM,"PJHEID",10-OCT-13 03.25.06.727000000 PM
1163194,"W",,"",,"",13,"MLMOOS",03-NOV-18 04.21.51.384000000 PM,"JMLAGRO",15-OCT-13 09.55.38.756000000 AM
1280700,"W",,"",,"",6,"JMLAGRO",21-JAN-15 06.50.08.251000000 AM,"JMLAGRO",21-OCT-13 02.09.07.780000000 PM
1168210,"W",,"",,"",10,"KMELTZER",23-MAY-20 02.11.16.845000000 PM,"JMLAGRO",21-OCT-13 02.13.08.019000000 PM
1162385,"W",,"",,"",18,"DMOCK",31-MAR-23 11.52.11.110000000 AM,"PJHEID",22-OCT-13 10.24.51.693000000 AM
1277247,"W",,"",,"",4,"JMLAGRO",26-JAN-15 08.58.05.654000000 AM,"JMLAGRO",04-NOV-13 01.56.53.024000000 PM
1277246,"W",,"",,"",4,"JMLAGRO",26-JAN-15 08.58.28.345000000 AM,"JMLAGRO",04-NOV-13 01.58.40.012000000 PM
1277245,"W",,"",,"",4,"JMLAGRO",26-JAN-15 08.58.51.633000000 AM,"JMLAGRO",04-NOV-13 02.00.31.170000000 PM
1277244,"W",,"",,"",5,"JMLAGRO",20-MAY-15 07.27.39.554000000 AM,"JMLAGRO",04-NOV-13 02.02.06.649000000 PM
1277317,"W",,"",,"",3,"JMLAGRO",26-JAN-15 11.24.09.527000000 AM,"PJHEID",05-NOV-13 03.57.16.677000000 PM
1277315,"W",,"",,"",3,"JMLAGRO",26-JAN-15 11.24.28.373000000 AM,"PJHEID",05-NOV-13 03.59.21.573000000 PM
1181241,"W",,"",,"",11,"SMCNEIL",11-JAN-16 11.04.24.214000000 AM,"KRBACKMAN",22-NOV-13 03.45.36.386000000 PM
1164558,"W",,"",,"",1,"KARINARUIZ",19-NOV-14 01.29.45.679000000 PM,"PJHEID",23-NOV-13 05.04.54.881000000 PM
1280191,"W",,"",,"",3,"JMLAGRO",23-JAN-15 09.51.56.952000000 AM,"PJHEID",23-NOV-13 09.54.17.644000000 PM
1001669,"W",,"",,"",24,"SERNANO",03-NOV-22 05.05.22.059000000 AM,"PJHEID",23-NOV-13 10.55.21.419000000 PM
1280481,"W",,"",,"",4,"MLMOOS",19-FEB-19 11.54.29.376000000 AM,"PJHEID",24-NOV-13 09.21.04.188000000 AM
1280483,"W",,"",,"",3,"MLMOOS",19-FEB-19 11.54.07.859000000 AM,"PJHEID",24-NOV-13 09.23.27.307000000 AM
1280443,"W",,"",,"",24,"JODYTAYLOR",08-MAR-23 08.27.56.542000000 AM,"PJHEID",24-NOV-13 09.26.45.139000000 AM
1280758,"W",,"",,"",16,"ANNDOLL",13-NOV-18 12.38.14.626000000 PM,"PJHEID",24-NOV-13 03.19.12.539000000 PM
1280981,"W",,"",,"",2,"JMLAGRO",21-JAN-15 06.50.54.176000000 AM,"PJHEID",25-NOV-13 08.58.30.890000000 AM
1001198,"W",,"",,"",9,"JMLAGRO",11-JUN-15 11.13.56.371000000 AM,"PJHEID",26-NOV-13 05.14.56.746000000 PM
1160704,"W",,"",,"",9,"KMELTZER",20-MAY-20 01.14.20.622000000 PM,"PJHEID",26-NOV-13 05.37.41.664000000 PM
1279498,"W",,"",,"",9,"JASTONE",28-APR-17 01.35.37.537000000 PM,"PJHEID",26-NOV-13 08.58.44.224000000 PM
1154042,"W",,"",,"",31,"ANDOLL",07-SEP-23 03.20.20.364000000 PM,"MGUDMUNSEN",27-NOV-13 10.09.51.948000000 AM
1277781,"W",,"",,"",0,"PJHEID",27-NOV-13 02.48.22.331000000 PM,"PJHEID",27-NOV-13 02.48.22.331000000 PM
1277780,"W",,"",,"",1,"PJHEID",27-NOV-13 02.52.36.370000000 PM,"PJHEID",27-NOV-13 02.51.51.993000000 PM
1004148,"W",,"",,"",11,"HOFFMANNLIZA",26-DEC-23 03.23.46.559000000 PM,"PJHEID",29-NOV-13 04.26.46.361000000 PM
1001255,"W",,"",,"",28,"KAMELTZER",13-JAN-23 03.37.01.885000000 PM,"PJHEID",29-NOV-13 05.02.10.771000000 PM
1003284,"W",,"",,"",13,"JODYTAYLOR",21-MAR-23 09.09.04.071000000 AM,"PJHEID",29-NOV-13 05.18.21.131000000 PM
1003888,"W",,"",,"",3,"MLMOOS",19-FEB-19 12.19.15.343000000 PM,"PJHEID",30-NOV-13 11.33.48.865000000 AM
1281141,"W",,"",,"",31,"KAMELTZER",10-JUL-23 11.08.02.240000000 AM,"PJHEID",01-DEC-13 09.26.02.034000000 AM
1281176,"W",,"",,"",13,"JJUVE",02-JUN-23 12.00.42.794000000 PM,"PJHEID",01-DEC-13 09.39.57.526000000 AM
1192814,"W",,"",,"",4,"JMLAGRO",19-MAY-14 10.26.15.483000000 AM,"PJHEID",01-DEC-13 09.55.42.473000000 AM
1160791,"W",,"",,"",2,"KMELTZER",20-MAY-20 01.28.58.194000000 PM,"JMLAGRO",02-DEC-13 01.21.46.271000000 PM
1278353,"W",,"",,"",11,"TSTREET",17-FEB-23 05.19.07.557000000 PM,"JMLAGRO",04-DEC-13 11.03.09.071000000 AM
1280370,"W",,"",,"",20,"BYANCY",21-FEB-23 12.05.27.823000000 PM,"PJHEID",05-DEC-13 07.35.26.701000000 PM
1165979,"W",,"",,"",11,"KMELTZER",21-MAY-20 03.09.51.645000000 PM,"PJHEID",07-DEC-13 01.24.57.701000000 PM
1204255,"W",,"",,"",2,"CAROLREEVES",24-JUN-15 11.30.00.659000000 AM,"PJHEID",09-DEC-13 09.07.17.432000000 AM
1001403,"W",,"",,"",7,"JMLAGRO",11-JUN-15 11.18.08.159000000 AM,"PJHEID",09-DEC-13 09.08.35.725000000 AM
1280837,"W",,"",,"",10,"ANNDOLL",03-AUG-20 04.00.20.881000000 PM,"PJHEID",11-DEC-13 04.10.14.560000000 PM
1277413,"W",,"",,"",3,"JMLAGRO",12-DEC-13 07.10.33.618000000 AM,"JMLAGRO",12-DEC-13 07.08.23.430000000 AM
1277415,"W",,"",,"",3,"JMLAGRO",12-DEC-13 07.13.29.267000000 AM,"JMLAGRO",12-DEC-13 07.12.42.249000000 AM
1277414,"W",,"",,"",3,"JMLAGRO",12-DEC-13 07.14.45.026000000 AM,"JMLAGRO",12-DEC-13 07.14.03.875000000 AM
1277380,"W",,"",,"",3,"JMLAGRO",12-DEC-13 07.37.11.673000000 AM,"JMLAGRO",12-DEC-13 07.36.27.608000000 AM
1277379,"W",,"",,"",3,"JMLAGRO",12-DEC-13 07.38.33.837000000 AM,"JMLAGRO",12-DEC-13 07.37.49.193000000 AM
1277382,"W",,"",,"",2,"JMLAGRO",12-DEC-13 07.39.48.578000000 AM,"JMLAGRO",12-DEC-13 07.39.11.483000000 AM
1277381,"W",,"",,"",2,"JMLAGRO",12-DEC-13 07.40.59.273000000 AM,"JMLAGRO",12-DEC-13 07.40.26.119000000 AM
1277359,"W",,"",,"",2,"JMLAGRO",12-DEC-13 09.58.45.762000000 AM,"JMLAGRO",12-DEC-13 09.58.09.015000000 AM
1277360,"W",,"",,"",2,"JMLAGRO",12-DEC-13 10.02.01.432000000 AM,"JMLAGRO",12-DEC-13 10.01.28.940000000 AM
1276896,"W",,"",,"",2,"JMLAGRO",13-DEC-13 09.43.54.493000000 AM,"JMLAGRO",13-DEC-13 09.43.01.965000000 AM
1280303,"W",,"",,"",4,"JMLAGRO",22-JAN-15 11.33.27.578000000 AM,"JMLAGRO",13-DEC-13 03.19.03.310000000 PM
1281377,"W",,"",,"",11,"JMLAGRO",18-FEB-15 01.20.47.507000000 PM,"PJHEID",18-DEC-13 12.58.15.882000000 PM
1278325,"W",,"",,"",7,"JMLAGRO",06-FEB-15 03.37.50.156000000 PM,"PJHEID",19-DEC-13 09.36.22.837000000 AM
1280389,"W",,"",,"",11,"JASTONE",08-DEC-18 08.25.29.179000000 AM,"JMLAGRO",30-DEC-13 12.39.06.970000000 PM
1000539,"W",,"",,"",20,"CDTAYLOR",30-NOV-22 02.50.14.957000000 PM,"JMLAGRO",30-DEC-13 01.36.56.492000000 PM
1281095,"W",,"",,"",15,"TWOLF",11-APR-16 08.41.18.306000000 AM,"NMAIER",06-JAN-14 01.43.14.938000000 PM
1173018,"W",,"",,"",10,"SLSCHAAF",01-APR-19 10.48.05.513000000 AM,"NMAIER",06-JAN-14 01.53.40.596000000 PM
1002544,"W",,"",,"",24,"TWOLF",23-JUN-16 03.46.37.789000000 PM,"NMAIER",06-JAN-14 01.58.16.736000000 PM
1279394,"W",,"",,"",4,"SMCNEIL",06-AUG-15 10.43.57.472000000 AM,"NMAIER",06-JAN-14 02.15.20.265000000 PM
1002788,"W",,"",,"",21,"TWOLF",12-JUL-16 10.44.41.243000000 AM,"NMAIER",06-JAN-14 02.22.04.624000000 PM
1281204,"W",,"",,"",12,"LBARKER",22-DEC-14 03.15.16.279000000 PM,"NMAIER",07-JAN-14 09.40.45.441000000 AM
1002863,"W",,"",,"",2,"NMAIER",07-JAN-14 09.48.57.231000000 AM,"NMAIER",07-JAN-14 09.44.29.323000000 AM
1167648,"W",,"",,"",17,"AMANDAREGISTER",14-MAR-23 02.37.18.316000000 PM,"PJHEID",14-JAN-14 04.06.18.549000000 PM
1280943,"W",,"",,"",2,"MLMOOS",24-NOV-18 06.27.57.087000000 PM,"JMLAGRO",15-JAN-14 01.33.27.758000000 PM
1169989,"W",,"",,"",10,"JJUVE",22-MAR-23 10.21.07.826000000 AM,"PJHEID",16-JAN-14 03.24.48.338000000 PM
1169766,"W",,"",,"",8,"MESYLVESTER",31-MAR-23 03.11.21.307000000 PM,"PJHEID",20-JAN-14 11.16.47.445000000 AM
1003581,"W",,"",,"",23,"KAMELTZER",21-MAR-23 09.46.30.118000000 AM,"PJHEID",20-JAN-14 04.19.27.795000000 PM
1004035,"W",,"",,"",18,"KAMELTZER",06-JAN-26 01.16.14.988000000 PM,"PJHEID",20-JAN-14 07.59.45.928000000 PM
1186303,"W",,"",,"",49,"ANDOLL",02-MAR-23 04.16.17.621000000 PM,"JMLAGRO",22-JAN-14 10.42.12.965000000 AM
1277237,"W",,"",,"",17,"JODYTAYLOR",01-JUN-21 01.36.37.749000000 PM,"PJHEID",24-JAN-14 08.04.06.587000000 AM
1281147,"W",,"",,"",16,"NAAMACHARLES",10-AUG-21 02.51.53.127000000 PM,"PJHEID",28-JAN-14 10.16.10.464000000 PM
1175153,"W",,"",,"",2,"SMCNEIL",11-JAN-16 03.08.40.492000000 PM,"SLSCHAAF",31-JAN-14 09.13.20.417000000 AM
1001031,"W",,"",,"",9,"MLMOOS",11-FEB-19 07.20.50.318000000 PM,"PJHEID",31-JAN-14 10.33.52.090000000 AM
1277702,"W",,"",,"",2,"MLMOOS",23-FEB-19 05.49.47.209000000 PM,"PJHEID",31-JAN-14 10.44.13.936000000 AM
1185530,"W",,"",,"",23,"HRJOHNSON",21-NOV-25 06.29.59.116000000 AM,"JMLAGRO",02-FEB-14 11.36.56.538000000 AM
1190930,"W",,"",,"",14,"JJUVE",10-NOV-22 10.23.12.739000000 AM,"JMLAGRO",02-FEB-14 11.38.51.697000000 AM
1003108,"W",,"",,"",15,"JJUVE",10-NOV-22 09.26.26.742000000 AM,"JMLAGRO",02-FEB-14 11.39.42.956000000 AM
1188390,"W",,"",,"",25,"DMOCK",08-JUN-23 02.04.28.026000000 PM,"JMLAGRO",02-FEB-14 11.40.43.080000000 AM
1184949,"W",,"",,"",15,"KMELTZER",25-MAY-20 10.16.56.775000000 AM,"JMLAGRO",02-FEB-14 11.41.28.731000000 AM
1277790,"W",,"",,"",2,"JOYSPEZIALE",03-FEB-14 12.00.20.668000000 PM,"JOYSPEZIALE",03-FEB-14 11.58.06.896000000 AM
1277789,"W",,"",,"",2,"JOYSPEZIALE",03-FEB-14 12.02.26.368000000 PM,"JOYSPEZIALE",03-FEB-14 12.01.01.614000000 PM
1003552,"W",,"",,"",10,"JODYTAYLOR",09-JUN-23 07.59.43.921000000 AM,"JUDITHSZEGEDI",03-FEB-14 04.11.52.323000000 PM
1278481,"W",,"",,"",2,"ZOEASANDY",04-FEB-14 01.07.41.929000000 PM,"ZOEASANDY",04-FEB-14 01.03.32.141000000 PM
1279056,"W",,"",,"",13,"JMLAGRO",18-MAY-15 11.21.41.752000000 AM,"JMLAGRO",04-FEB-14 03.58.11.298000000 PM
1279055,"W",,"",,"",10,"JMLAGRO",18-MAY-15 11.22.54.408000000 AM,"JMLAGRO",04-FEB-14 03.59.01.666000000 PM
1276858,"W",,"",,"",15,"AMANDAREGISTER",17-NOV-22 11.41.55.737000000 AM,"JMLAGRO",11-FEB-14 07.58.59.821000000 AM
1281418,"W",,"",,"",2,"JMLAGRO",11-FEB-14 08.07.13.526000000 AM,"JMLAGRO",11-FEB-14 08.06.37.665000000 AM
1172760,"W",,"",,"",1,"TWOLF",06-FEB-15 01.23.49.736000000 PM,"KRBACKMAN",13-FEB-14 07.49.51.097000000 AM
1002651,"W",,"",,"",8,"SLSCHAAF",15-FEB-18 03.49.09.772000000 PM,"KRBACKMAN",13-FEB-14 07.50.07.187000000 AM
1281924,"W",,"",,"",10,"HOFFMANNLIZA",13-DEC-23 01.25.41.083000000 PM,"KRBACKMAN",13-FEB-14 07.50.22.085000000 AM
1002643,"W",,"",,"",1,"KRBACKMAN",12-APR-13 11.16.55.056000000 AM,"KRBACKMAN",12-APR-13 11.16.22.819000000 AM
1278143,"W",,"",,"",38,"ANDOLL",30-JUN-23 08.18.45.814000000 AM,"JMLAGRO",02-JUL-13 03.28.23.861000000 PM
1277907,"W",,"",,"",14,"PRAYFORDALLEN",04-AUG-22 11.53.00.616000000 AM,"JMLAGRO",18-JUL-13 10.52.07.411000000 AM
1277877,"W",,"",,"",27,"GVELEZ",29-AUG-22 06.06.26.296000000 PM,"JMLAGRO",18-JUL-13 10.52.38.929000000 AM
1277310,"W",,"",,"",15,"JASTONE",18-JUL-18 10.59.03.878000000 AM,"JMLAGRO",18-JUL-13 10.54.19.393000000 AM
1277976,"W",,"",,"",28,"ANDOLL",17-APR-24 02.14.50.519000000 PM,"JMLAGRO",18-JUL-13 10.54.46.726000000 AM
1277769,"W",,"",,"",17,"JWALTON",31-OCT-22 02.58.00.070000000 PM,"JMLAGRO",18-JUL-13 10.55.43.844000000 AM
