"P_SYS_ID","P_DO_NOT_DSPLY_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276761,"0",27,"JMLAGRO",03-FEB-15 03.37.26.159000000 PM,"guestUser",04-APR-13 03.53.02.667000000 PM
1276765,"0",20,"PJHEID",28-FEB-14 01.46.42.109000000 PM,"guestUser",09-APR-13 10.11.45.431000000 AM
1276767,"0",134,"SHERSAYLER",09-FEB-15 02.31.32.437000000 PM,"guestUser",09-APR-13 10.30.24.149000000 AM
1276772,"0",24,"JMLAGRO",27-DEC-13 08.41.26.061000000 AM,"guestUser",09-APR-13 12.14.54.547000000 PM
1276774,"0",27,"JMLAGRO",01-OCT-13 09.16.38.802000000 AM,"guestUser",09-APR-13 01.12.52.875000000 PM
1276782,"0",10,"NMAIER",10-APR-13 09.09.22.688000000 AM,"guestUser",10-APR-13 08.41.22.352000000 AM
1181390,"0",4,"SMCNEIL",17-AUG-15 12.13.49.321000000 PM,"NMAIER",10-APR-13 09.13.31.364000000 AM
1276787,"0",19,"KRBACKMAN",05-DEC-13 09.18.48.400000000 AM,"guestUser",10-APR-13 10.00.49.714000000 AM
1276788,"0",26,"JMLAGRO",04-OCT-13 10.26.03.576000000 AM,"guestUser",10-APR-13 09.59.59.073000000 AM
1276796,"0",23,"BRENDAPEREZESCOB",11-MAR-15 09.56.33.126000000 AM,"guestUser",10-APR-13 11.24.07.125000000 AM
1276797,"0",25,"NMAIER",10-APR-13 03.04.30.027000000 PM,"guestUser",10-APR-13 01.27.35.457000000 PM
1276798,"0",26,"NMAIER",10-APR-13 02.46.33.905000000 PM,"guestUser",10-APR-13 01.42.08.858000000 PM
1180394,"0",0,"NMAIER",10-APR-13 02.52.42.240000000 PM,"NMAIER",10-APR-13 02.52.42.240000000 PM
1173037,"0",0,"NMAIER",10-APR-13 03.05.34.261000000 PM,"NMAIER",10-APR-13 03.05.34.261000000 PM
1276799,"0",48,"PJHEID",06-AUG-13 09.44.17.225000000 AM,"guestUser",10-APR-13 03.10.57.910000000 PM
1172249,"0",3,"TWOLF",07-AUG-15 07.01.32.744000000 PM,"NMAIER",10-APR-13 03.12.30.061000000 PM
1276800,"0",14,"PJHEID",12-MAY-14 02.29.24.244000000 PM,"guestUser",10-APR-13 03.16.10.008000000 PM
1276802,"0",14,"JMLAGRO",21-APR-14 10.06.39.123000000 AM,"guestUser",10-APR-13 04.11.01.492000000 PM
1276804,"1",10,"DMOCK",24-JUL-14 02.22.03.096000000 PM,"guestUser",10-APR-13 04.31.06.132000000 PM
1276808,"0",17,"NMAIER",16-JUN-15 11.29.36.232000000 AM,"guestUser",11-APR-13 11.23.59.494000000 AM
1276817,"0",9,"JMLAGRO",08-AUG-14 08.22.49.515000000 AM,"guestUser",11-APR-13 03.42.04.672000000 PM
1276819,"0",26,"PJHEID",09-MAR-15 12.45.23.119000000 PM,"guestUser",11-APR-13 09.01.55.983000000 PM
1276820,"0",13,"KRBACKMAN",12-APR-13 09.59.01.510000000 AM,"guestUser",12-APR-13 09.40.07.255000000 AM
1174624,"0",1,"LBARKER",22-DEC-14 03.14.18.758000000 PM,"KRBACKMAN",12-APR-13 10.01.46.571000000 AM
1276838,"0",20,"PJHEID",20-MAR-14 02.54.17.250000000 PM,"guestUser",16-APR-13 10.02.45.671000000 AM
1276842,"0",10,"JMLAGRO",14-JAN-14 11.28.58.407000000 AM,"guestUser",16-APR-13 11.55.41.706000000 AM
1276854,"1",9,"DMOCK",24-JUL-14 02.29.37.599000000 PM,"guestUser",17-APR-13 09.12.21.375000000 AM
1276867,"0",32,"JMLAGRO",10-OCT-13 02.47.15.149000000 PM,"guestUser",17-APR-13 03.18.10.890000000 PM
1276873,"0",34,"CAROLREEVES",17-JUL-15 09.14.35.244000000 AM,"guestUser",18-APR-13 09.38.00.587000000 AM
1276876,"0",24,"JMLAGRO",25-SEP-13 02.47.14.483000000 PM,"guestUser",18-APR-13 11.06.34.432000000 AM
1276882,"0",11,"JMLAGRO",11-OCT-13 09.51.41.645000000 AM,"guestUser",18-APR-13 01.41.08.445000000 PM
1276885,"0",17,"JMLAGRO",17-JAN-14 09.47.03.850000000 AM,"guestUser",18-APR-13 02.20.20.575000000 PM
1276892,"0",20,"JMLAGRO",17-JAN-14 09.58.25.694000000 AM,"guestUser",18-APR-13 03.32.04.341000000 PM
1276914,"0",30,"JMLAGRO",16-APR-14 09.35.48.651000000 AM,"guestUser",19-APR-13 02.01.31.452000000 PM
1276915,"0",3,"JMLAGRO",04-FEB-14 10.28.19.165000000 AM,"guestUser",19-APR-13 02.11.45.535000000 PM
1276917,"0",11,"JMLAGRO",13-JAN-14 10.48.06.266000000 AM,"guestUser",19-APR-13 02.28.26.715000000 PM
1276920,"0",16,"guestUser",19-APR-13 02.50.32.158000000 PM,"guestUser",19-APR-13 02.46.01.578000000 PM
1276922,"0",19,"guestUser",19-APR-13 02.55.44.688000000 PM,"guestUser",19-APR-13 02.50.51.122000000 PM
1276924,"0",13,"guestUser",19-APR-13 03.06.27.001000000 PM,"guestUser",19-APR-13 02.59.13.766000000 PM
1276925,"0",19,"guestUser",19-APR-13 03.12.12.617000000 PM,"guestUser",19-APR-13 03.05.45.625000000 PM
1276927,"0",15,"PJHEID",22-JAN-14 09.45.56.242000000 PM,"guestUser",19-APR-13 04.01.40.815000000 PM
1276928,"0",20,"PJHEID",22-JAN-14 09.44.59.968000000 PM,"guestUser",19-APR-13 04.07.54.230000000 PM
1276940,"0",21,"PJHEID",03-APR-14 04.02.23.351000000 PM,"guestUser",22-APR-13 03.05.25.162000000 PM
1276945,"0",25,"PJHEID",12-MAR-14 11.00.08.894000000 PM,"guestUser",23-APR-13 10.29.14.565000000 AM
1276946,"0",7,"JMLAGRO",03-DEC-13 01.30.35.896000000 PM,"guestUser",23-APR-13 10.33.44.619000000 AM
1276947,"0",10,"guestUser",23-APR-13 10.43.57.691000000 AM,"guestUser",23-APR-13 10.39.15.405000000 AM
1276949,"0",15,"guestUser",23-APR-13 10.51.03.508000000 AM,"guestUser",23-APR-13 10.44.12.005000000 AM
1276952,"0",4,"guestUser",13-NOV-13 12.34.58.422000000 PM,"guestUser",23-APR-13 11.04.44.790000000 AM
1276971,"1",4,"DMOCK",24-JUL-14 03.07.43.362000000 PM,"guestUser",23-APR-13 12.03.00.386000000 PM
1276978,"0",22,"PJHEID",02-FEB-14 11.51.42.435000000 PM,"guestUser",23-APR-13 02.19.59.716000000 PM
1276998,"0",22,"JMLAGRO",13-FEB-15 12.33.03.276000000 PM,"guestUser",24-APR-13 11.33.33.462000000 AM
1277003,"0",12,"KWOODALL",01-APR-14 10.46.48.363000000 AM,"guestUser",24-APR-13 01.53.34.823000000 PM
1277004,"0",15,"KWOODALL",01-APR-14 10.47.12.840000000 AM,"guestUser",24-APR-13 02.05.22.976000000 PM
1277008,"0",15,"JMLAGRO",11-OCT-13 03.21.55.421000000 PM,"guestUser",24-APR-13 02.39.50.809000000 PM
1277010,"0",9,"JMLAGRO",05-MAR-14 01.31.26.114000000 PM,"guestUser",24-APR-13 03.20.01.228000000 PM
1277011,"0",16,"JMLAGRO",14-FEB-14 08.07.51.062000000 AM,"guestUser",24-APR-13 09.08.50.041000000 PM
1277013,"0",17,"MMANYGUNS",19-MAY-15 02.38.00.419000000 PM,"guestUser",25-APR-13 10.18.25.429000000 AM
