g_adr_sk,g_line1_adr,g_line2_adr,g_line3_adr,g_line4_adr,g_city_nam,g_town_cd,g_us_state_cd,g_zip5_cd,g_zip4_cd,g_cntry_cd,g_cnty_cd,g_usps_adr_vrfy_cd,g_usps_line1_adr,g_usps_line2_adr,g_lat_num,g_lon_num,g_cmn_enty_ty_cd,g_dstct_ofc_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,g_dummy_ind,g_dummy_ts,g_dummy_user_id
1182010,3004  11TH ST S,,,,FARGO,,ND,58103,,USA,009,,,,46.8354,-96.7952,P,05,1,JLWILKE,29-JUL-14 12.35.21.026000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182015,3880  S COLUMBIA DR,,,,GRAND FORKS,,ND,58201,,USA,018,,,,47.8859,-97.0669,P,04,2,CKRAFT,14-APR-14 10.45.56.700000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182027,4909  SHELBURNE ST,,,,BISMARCK,,ND,58503,,USA,008,,,,46.8595,-100.775,P,07,0,JLWILKE,05-OCT-15 03.39.11.091000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182032,1929  N WASHINGTON STE A,,,,BISMARCK,,ND,58501,,USA,008,,,,46.8265,-100.793,P,07,0,JLWILKE,05-OCT-15 04.08.39.313000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182040,2506  35TH AVE S,,,,FARGO,,ND,58104,,USA,009,,,,46.8273,-96.8208,P,05,0,JLWILKE,05-OCT-15 04.08.11.998000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182045,111   N UNIVERSITY,,,,FARGO,,ND,58102,,USA,009,,,,46.894,-96.7981,P,05,1,JLWILKE,25-JUL-14 08.36.28.639000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182050,1007  18TH ST NWW,,,,MANDAN,,ND,58554,,USA,030,,,,46.8409,-100.907,P,07,0,JLWILKE,05-OCT-15 03.49.42.067000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182070,2105  GATEWAY DR,,,,GRAND FORKS,,ND,58203,,USA,018,,,,47.9329,-97.0578,P,04,0,JLWILKE,05-OCT-15 03.36.53.238000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182073,1836  RAVEN DR,,,,BISMARCK,,ND,58501,,USA,008,,,,46.8249,-100.816,P,07,0,JLWILKE,05-OCT-15 03.39.40.406000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182074,PO BOX 4086,,,,BISMARCK,,ND,58502,,USA,008,,,,46.849,-100.716,P,07,1,MMANYGUNS,10-AUG-15 09.37.19.647000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182106,3004  11TH ST S,,,,FARGO,,ND,58103,,USA,009,,,,46.8354,-96.7952,P,05,1,JLWILKE,29-JUL-14 12.35.21.016000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182111,3880  S COLUMBIA DR,,,,GRAND FORKS,,ND,58201,,USA,018,,,,47.8859,-97.0669,P,04,2,CKRAFT,14-APR-14 10.45.56.706000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182123,4909  SHELBURNE ST,,,,BISMARCK,,ND,58503,,USA,008,,,,46.8595,-100.775,P,07,0,JLWILKE,05-OCT-15 03.39.11.252000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182128,1929  N WASHINGTON STE A,,,,BISMARCK,,ND,58501,,USA,008,,,,46.8265,-100.793,P,07,0,JLWILKE,05-OCT-15 04.08.39.333000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182136,2506  35TH AVE S,,,,FARGO,,ND,58104,,USA,009,,,,46.8273,-96.8208,P,05,0,JLWILKE,05-OCT-15 04.08.11.990000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182141,111   N UNIVERSITY,,,,FARGO,,ND,58102,,USA,009,,,,46.894,-96.7981,P,05,1,JLWILKE,25-JUL-14 08.36.28.451000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182146,1007  18TH ST NWW,,,,MANDAN,,ND,58554,,USA,030,,,,46.8409,-100.907,P,07,0,JLWILKE,05-OCT-15 03.49.42.056000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182166,2105  GATEWAY DR,,,,GRAND FORKS,,ND,58203,,USA,018,,,,47.9329,-97.0578,P,04,0,JLWILKE,05-OCT-15 03.36.53.325000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182169,1836  RAVEN DR,,,,BISMARCK,,ND,58501,,USA,008,,,,46.8249,-100.816,P,07,0,JLWILKE,05-OCT-15 03.39.40.384000000 PM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182170,PO BOX 4086,,,,BISMARCK,,ND,58502,,USA,008,,,,46.849,-100.716,P,07,1,MMANYGUNS,10-AUG-15 09.37.19.627000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182423,1950  W MOUNTAIN VIEW AVE,,,,LONGMONT          ,,CO,80501,    ,USA,054,00,1950  W MOUNTAIN VIEW AVE,,40.1814,-105.126,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182424,240 WILLOW ST,,,,TYLER             ,,MN,56178,1166,USA,054,00,240 WILLOW ST,,44.2723,-96.1311,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
1182427,3700 S MAIN ST,,,,BLACKSBURG        ,,VA,24060,7017,USA,054,00,3700 S MAIN ST,,37.1855,-80.4088,P,,0,Provider Conversion,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.42.10.000000000 AM,N,,
