g_cmn_enty_sk,g_adr_usg_ty_cd,g_adr_sk,g_adr_usg_seq_num,g_adr_glbl_sig_cd,g_adr_usg_ty_sig_cd,g_adr_usg_chg_rsn_cd,g_adr_usg_stat_cd,g_adr_usg_end_dt,g_adr_usg_beg_dt,g_attn_nam,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,g_dummy_ind,g_dummy_ts,g_dummy_user_id
1000000.0,B,1183592.0,3.0,T,P, ,A,9999-12-31 00:00:00,1899-12-29 00:00:00,,0.0,CR2141_DATACORRECTION,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000000.0,M,1184857.0,1.0,P,P, ,A,9999-12-31 00:00:00,1899-12-29 00:00:00,,0.0,CR2141_DATACORRECTION,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000000.0,S,1182423.0,2.0,S,P, ,A,2015-10-04 00:00:00,1899-12-29 00:00:00,,0.0,CR1906_SET_ENDDT_4OCT15,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000001.0,B,1183593.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.361286000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000001.0,M,1184858.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.361286000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000001.0,S,1182424.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.361286000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000002.0,B,1183596.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.868015000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000002.0,M,1184861.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.868015000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000002.0,S,1182427.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.868015000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000003.0,B,1183597.0,3.0,,S, ,A,2013-09-30 11:22:33,1899-12-29 00:00:00,,5.0,JASTONE,04-DEC-18 01.22.13.561000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000003.0,B,11341488.0,1.0,,S,,A,9999-12-31 00:00:00,2013-10-01 00:00:00,,1.0,JMLAGRO,24-JUN-15 02.58.41.443000000 PM,JMLAGRO,05-FEB-14 09.58.40.917000000 AM,N,,
1000003.0,BK,11341489.0,1.0,,S,,A,2015-07-16 00:00:00,2013-10-01 00:00:00,,1.0,B-Term-Prov-Trigger_2404152.00,20-FEB-19 06.01.03.049835000 PM,JMLAGRO,05-FEB-14 09.58.40.965000000 AM,N,,
1000003.0,M,1184862.0,1.0,,S, ,A,2013-09-30 11:22:33,1899-12-29 00:00:00,,5.0,JASTONE,04-DEC-18 01.22.13.617000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000003.0,M,11341487.0,1.0,,S,,A,9999-12-31 00:00:00,2013-10-01 00:00:00,,3.0,JASTONE,04-DEC-18 01.22.13.577000000 PM,JMLAGRO,05-FEB-14 09.58.40.806000000 AM,N,,
1000003.0,S,1182428.0,2.0,,S, ,A,2013-09-30 11:22:33,1899-12-29 00:00:00,,5.0,JASTONE,04-DEC-18 01.22.13.541000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000003.0,S,11341490.0,3.0,,S,,A,2015-07-16 00:00:00,2013-10-01 00:00:00,,2.0,B-Term-Prov-Trigger_2404152.00,20-FEB-19 06.01.03.049835000 PM,JMLAGRO,05-FEB-14 09.58.41.017000000 AM,N,,
1000004.0,B,1183598.0,3.0,,S, ,A,2013-09-30 11:22:33,1899-12-29 00:00:00,,9.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000004.0,B,11788992.0,1.0,,S,,A,9999-12-31 00:00:00,2013-10-01 00:00:00,,5.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,JOYSPEZIALE,07-MAY-14 01.54.41.174000000 PM,N,,
1000004.0,BK,11788993.0,1.0,,S,,A,2018-10-23 00:00:00,2013-10-01 00:00:00,,1.0,B-Term-Prov-Trigger_2216201.00,23-OCT-18 06.01.30.735210000 PM,JOYSPEZIALE,07-MAY-14 01.54.41.242000000 PM,N,,
1000004.0,M,1184863.0,1.0,,S, ,A,2013-09-30 00:00:00,1899-12-29 00:00:00,,10.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000004.0,M,11788995.0,1.0,,S,I,A,2016-11-04 00:00:00,2013-10-01 00:00:00,,8.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,JOYSPEZIALE,07-MAY-14 01.54.41.401000000 PM,N,,
1000004.0,M,12019838.0,0.0,,P,,I,2025-04-27 00:00:00,2016-11-04 00:00:00,,4.0,ANDOLL,28-APR-25 03.49.45.981000000 PM,BRACULP,04-NOV-16 08.18.05.681000000 AM,N,,
1000004.0,M,12019839.0,0.0,,S,I,A,2016-11-04 00:00:00,2016-11-04 00:00:00,,4.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,BRACULP,04-NOV-16 08.18.05.757000000 AM,N,,
1000004.0,M,13182529.0,0.0,,S,,A,9999-12-31 00:00:00,2025-04-28 00:00:00,,1.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,ANDOLL,28-APR-25 03.49.45.966000000 PM,N,,
1000004.0,S,1182429.0,2.0,,S, ,A,2013-09-30 00:00:00,1899-12-29 00:00:00,,7.0,DMOCK,22-MAR-19 08.54.59.689000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000004.0,S,11788994.0,1.0,,S,,A,2018-10-23 00:00:00,2013-10-01 00:00:00,,5.0,DMOCK,22-MAR-19 08.54.59.689000000 AM,JOYSPEZIALE,07-MAY-14 01.54.41.287000000 PM,N,,
1000004.0,S,12279154.0,0.0,,S,I,A,2025-04-27 00:00:00,2019-03-22 00:00:00,,2.0,ANDOLL,28-APR-25 03.45.35.321000000 PM,DMOCK,22-MAR-19 06.24.53.045000000 AM,N,,
1000004.0,S,13182522.0,0.0,,S,,A,9999-12-31 00:00:00,2025-04-28 00:00:00,,1.0,ANDOLL,18-FEB-26 06.10.48.990000000 AM,ANDOLL,28-APR-25 03.45.06.071000000 PM,N,,
1000005.0,B,1183599.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.615754000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000005.0,M,1184864.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.615754000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000005.0,S,1182430.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.615754000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000006.0,B,1183600.0,3.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,11-OCT-22 08.14.24.104000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000006.0,M,1184865.0,1.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,11-OCT-22 08.14.24.116000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000006.0,S,1182431.0,2.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,11-OCT-22 08.14.24.121000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000007.0,B,1183601.0,3.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,20-MAR-23 02.31.51.539000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000007.0,M,1184866.0,1.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,20-MAR-23 02.31.51.522000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000007.0,S,1182432.0,2.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,20-MAR-23 02.31.51.532000000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000008.0,B,1183602.0,3.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,08-SEP-22 09.36.51.879000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000008.0,M,1184867.0,1.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,08-SEP-22 09.36.51.884000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000008.0,S,1182433.0,2.0,,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,RRUD,08-SEP-22 09.36.51.867000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000009.0,B,1183603.0,3.0,T,P, ,A,9999-12-31 00:00:00,1899-12-29 00:00:00,,0.0,CR2141_DATACORRECTION,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000009.0,M,1184868.0,1.0,P,P, ,A,9999-12-31 00:00:00,1899-12-29 00:00:00,,0.0,CR2141_DATACORRECTION,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000009.0,S,1182434.0,2.0,S,P, ,A,2015-10-04 00:00:00,1899-12-29 00:00:00,,0.0,CR1906_SET_ENDDT_4OCT15,30-MAR-13 03.37.13.000000000 AM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000010.0,B,1183604.0,3.0,T,S, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.061371000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000010.0,M,1184869.0,1.0,P,S, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.061371000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000010.0,S,1182435.0,2.0,S,S, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,2.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.061371000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000011.0,B,1183605.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.426794000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000011.0,M,1184870.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.426794000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000011.0,S,1182436.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.45.426794000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000012.0,B,1183606.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.41.467283000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000012.0,M,1184871.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.41.467283000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000012.0,S,1182437.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.41.467283000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000013.0,B,1183607.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.40.766903000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000013.0,M,1184872.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.40.766903000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000013.0,S,1182438.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.40.766903000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000014.0,B,1183608.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.42.840971000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000014.0,M,1184873.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.42.840971000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000014.0,S,1182439.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.42.840971000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000015.0,B,1183610.0,3.0,T,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.396498000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000015.0,M,1184875.0,1.0,P,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.396498000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
1000015.0,S,1182441.0,2.0,S,P, ,A,2011-12-31 00:00:00,1899-12-29 00:00:00,,1.0,B-Term-Prov-Trigger_717958.00,02-OCT-15 06.01.44.396498000 PM,Provider Conversion,30-MAR-13 03.37.16.000000000 AM,N,,
