g_cmn_enty_sk,g_prefrd_commun_mthd_cd,g_sec_commun_mthd_cd,g_cmn_enty_ty_cd,g_void_ind,g_note_set_sk,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,g_dummy_ind,g_dummy_ts,g_dummy_user_id
1000000.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000001.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000002.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000003.0,,,P,N,,3.0,Provider Conversion,05-FEB-14 09.58.41.018000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000004.0,,,P,N,,3.0,Provider Conversion,07-MAY-14 01.54.41.482000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000005.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000006.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000007.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000008.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000009.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000010.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000011.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000012.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000013.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000014.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000015.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000016.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000017.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000018.0,,,P,N,,1.0,Provider Conversion,05-APR-17 08.13.28.098000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000019.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000020.0,,,P,N,,9.0,MMANYGUNS,10-MAR-15 12.04.55.390000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000021.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000022.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000023.0,,,P,N,,3.0,Provider Conversion,17-FEB-15 12.08.06.437000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000024.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000025.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000026.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000027.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000028.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000029.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000030.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000031.0,,,P,N,,48.0,THENDERSON,21-AUG-15 10.56.02.872000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000032.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000033.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000034.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000035.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000036.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000037.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000038.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000039.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000040.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000041.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000042.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000043.0,,,P,N,,16.0,THENDERSON,21-AUG-15 08.18.27.404000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000044.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000045.0,,,P,N,,49.0,JMLAGRO,06-OCT-14 01.30.42.640000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000046.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000047.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000048.0,,,P,N,,2.0,Provider Conversion,14-AUG-14 03.45.45.574000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000049.0,,,P,N,,4.0,JMLAGRO,20-AUG-15 10.58.02.802000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000050.0,,,P,N,,4.0,JMLAGRO,20-AUG-15 10.59.25.662000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000051.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000052.0,,,P,N,,1.0,Provider Conversion,06-APR-17 01.41.50.794000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000053.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000054.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000055.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000056.0,,,P,N,,22.0,JMLAGRO,29-JUN-15 10.27.54.208000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000057.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000058.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000059.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000060.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000061.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000062.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000063.0,,,P,N,,9.0,JMLAGRO,18-MAR-15 08.05.33.493000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000064.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000065.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000066.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000067.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000068.0,,,P,N,,1.0,Provider Conversion,04-OCT-17 04.19.09.432000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000069.0,,,P,N,,9.0,SHERSAYLER,30-MAR-14 03.40.44.422000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000070.0,,,P,N,,8.0,SHERSAYLER,30-MAR-14 03.40.18.591000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000071.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000072.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000073.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000074.0,,,P,N,,10.0,SHERSAYLER,18-JUN-15 02.02.51.398000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000075.0,,,P,N,,13.0,KARINARUIZ,29-AUG-14 12.59.05.362000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000076.0,,,P,N,,1.0,Provider Conversion,13-JAN-16 06.43.34.365000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000077.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000078.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000079.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000080.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000081.0,,,P,N,,3.0,Provider Conversion,30-DEC-14 10.07.11.410000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000082.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000083.0,,,P,N,,13.0,JMLAGRO,05-AUG-15 11.01.45.027000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000084.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000085.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000086.0,,,P,N,,16.0,MMANYGUNS,06-JUL-15 12.07.58.626000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000087.0,,,P,N,,13.0,JMLAGRO,19-SEP-14 08.00.34.419000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000088.0,,,P,N,,3.0,Provider Conversion,09-FEB-15 10.38.13.176000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000089.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000090.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000091.0,,,P,N,,9.0,MMANYGUNS,29-APR-15 04.02.30.194000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000092.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000093.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000094.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000095.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000096.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000097.0,,,P,N,,1045.0,THENDERSON,09-APR-26 02.42.15.788000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000098.0,,,P,N,,16.0,JMLAGRO,04-AUG-15 08.09.12.677000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000099.0,,,P,N,,9.0,THENDERSON,21-AUG-15 08.23.07.588000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000100.0,,,P,N,,22.0,JMLAGRO,04-AUG-15 10.12.21.203000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000101.0,,,P,N,,29.0,MMANYGUNS,13-MAR-15 01.07.20.954000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000102.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000103.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000104.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000105.0,,,P,N,,9211.0,JMLAGRO,09-APR-26 09.45.13.403000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000106.0,,,P,N,,24937.0,JMLAGRO,06-JUL-26 07.01.32.250000000 PM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000107.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000108.0,,,P,N,,12621.0,JMLAGRO,09-APR-26 09.22.06.522000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000109.0,,,P,N,,36.0,MMANYGUNS,10-JUL-15 10.39.22.961000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000110.0,,,P,N,,8.0,JMLAGRO,11-JUN-15 10.33.37.054000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000111.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000112.0,,,P,N,,374.0,SKOEHLY,23-JAN-26 10.28.02.224000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
1000113.0,,,P,N,,0.0,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,Provider Conversion,28-MAR-13 03.52.06.000000000 AM,N,,
