"G_CMN_ENTY_SK","G_ADR_USG_TY_CD","G_ADR_SK","G_ADR_USG_SEQ_NUM","G_ADR_GLBL_SIG_CD","G_ADR_USG_TY_SIG_CD","G_ADR_USG_CHG_RSN_CD","G_ADR_USG_STAT_CD","G_ADR_USG_END_DT","G_ADR_USG_BEG_DT","G_ATTN_NAM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS","G_DUMMY_IND","G_DUMMY_TS","G_DUMMY_USER_ID"
502,"BA",502,1,"","P","","A",31-DEC-99,01-JAN-64,"",1,"MVIJAYAKUMAR",09-MAY-22 11.36.48.347000000 AM,"wf_ND_ManConfig_CUST_AND_LOB",25-MAR-13 03.35.40.000000000 AM,"N",,""
1000000,"B",1183592,3,"T","P"," ","A",31-DEC-99,01-JAN-01,"",0,"CR2141_DATACORRECTION",30-MAR-13 03.37.13.000000000 AM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000000,"M",1184857,1,"P","P"," ","A",31-DEC-99,01-JAN-01,"",0,"CR2141_DATACORRECTION",30-MAR-13 03.37.13.000000000 AM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000000,"S",1182423,2,"S","P"," ","A",04-OCT-15,01-JAN-01,"",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 03.37.13.000000000 AM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000001,"B",1183593,3,"T","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.45.361286000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000001,"M",1184858,1,"P","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.45.361286000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000001,"S",1182424,2,"S","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.45.361286000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000002,"B",1183596,3,"T","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.44.868015000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000002,"M",1184861,1,"P","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.44.868015000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000002,"S",1182427,2,"S","P"," ","A",31-DEC-11,01-JAN-01,"",1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.44.868015000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000003,"B",1183597,3,"","S"," ","A",30-SEP-13,01-JAN-01,"",5,"JASTONE",04-DEC-18 01.22.13.561000000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
1000003,"M",1184862,1,"","S"," ","A",30-SEP-13,01-JAN-01,"",5,"JASTONE",04-DEC-18 01.22.13.617000000 PM,"Provider Conversion",30-MAR-13 03.37.16.000000000 AM,"N",,""
