p_sys_id,p_acptnc_sk,p_acptnc_cd,p_acptnc_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1153874,1000084,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153874,1000085,01,2009-09-21,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153875,1000086,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153875,1000087,01,2009-09-06,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153876,1000088,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153876,1000089,01,2009-06-12,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153877,1000090,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153877,1000091,01,2009-07-05,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153878,1000092,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153878,1000093,01,2009-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153879,1000094,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153879,1000095,01,1977-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153880,1000096,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153880,1000097,01,2008-12-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153881,1000098,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153881,1000099,01,1980-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153882,1000100,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153882,1000101,01,2009-04-12,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153883,1000102,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153883,1000103,01,2009-07-22,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153884,1000104,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153884,1000105,01,2009-11-11,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153885,1000106,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153885,1000107,01,2009-06-27,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153886,1000108,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153886,1000109,01,2009-08-16,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153887,1000110,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153887,1000111,01,2009-06-16,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153888,1000112,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153888,1000113,01,2009-06-28,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153889,1000114,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153889,1000115,01,2009-03-29,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153890,1000116,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153890,1000117,01,1977-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153891,1000118,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153891,1000119,01,2009-11-27,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153892,1000120,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153892,1000121,01,2009-12-27,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153893,1000122,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153893,1000123,01,2009-11-23,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153894,1000124,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153894,1000125,01,2010-04-28,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153895,1000126,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153895,1000127,01,2009-12-19,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153896,1000128,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153896,1000129,01,2009-06-13,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153897,1000130,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153897,1000131,01,2009-10-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153898,1000132,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153898,1000133,01,2009-08-09,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153899,1000134,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153899,1000135,01,1995-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153900,1000136,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153900,1000137,01,2009-06-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153901,1000138,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153901,1000139,01,2009-11-19,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153902,1000140,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153902,1000141,01,1977-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153903,1000142,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153903,1000143,01,2010-03-20,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153904,1000144,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153904,1000145,01,2010-03-09,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153905,1000146,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153905,1000147,01,2009-04-10,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153906,1000148,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153906,1000149,01,2009-09-28,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153907,1000150,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153907,1000151,01,2009-05-31,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153908,1000152,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153908,1000153,01,2010-01-25,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153909,1000154,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153909,1000155,01,2010-02-26,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153910,1000156,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153910,1000157,01,2010-03-12,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153911,1000158,04,2013-09-30,5,THENDERSON,2015-08-13 16:30:59.075000,Provider Conversion,2013-03-28 03:57:50.000000
1153911,1000159,01,1977-01-01,5,THENDERSON,2015-08-13 16:30:59.074000,Provider Conversion,2013-03-28 03:57:50.000000
1153912,1000160,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153912,1000161,01,2010-02-15,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204019,1000162,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204019,1000163,01,2010-05-11,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204020,1000164,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204020,1000165,01,2009-07-18,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153913,1000166,04,2013-09-30,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153913,1000167,01,1977-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204021,1000168,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204021,1000169,01,2009-07-06,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204022,1000170,04,2011-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204022,1000171,01,2010-03-05,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204023,1000172,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204023,1000173,01,2010-04-05,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204024,1000174,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204024,1000175,01,2010-06-20,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204025,1000176,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204025,1000177,01,2009-08-04,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204026,1000178,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204026,1000179,01,2010-07-22,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1153914,1000180,04,2013-09-30,1,SHERSAYLER,2014-03-30 15:43:52.573000,Provider Conversion,2013-03-28 03:57:50.000000
1153914,1000181,01,1977-01-01,1,SHERSAYLER,2014-03-30 15:43:52.573000,Provider Conversion,2013-03-28 03:57:50.000000
1204027,1000182,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204027,1000183,01,2010-05-11,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204028,1000184,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204028,1000185,01,2010-03-28,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
1204029,1000186,04,2012-01-01,0,Provider Conversion,2013-03-28 03:57:50.000000,Provider Conversion,2013-03-28 03:57:50.000000
