p_grp_sys_id,p_mbr_sys_id,p_affl_sk,p_affl_beg_dt,p_affl_ty_cd,p_affl_end_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000110,1163880,1000085,2007-07-01,M,2015-10-04,7,CR1906_SET_GRPENDDT_4OCT15,2015-08-27 12:07:23.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000110,1163887,1000088,1977-01-01,M,2015-10-04,7,CR1906_SET_GRPENDDT_4OCT15,2015-08-27 12:07:23.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000110,1164606,1000089,1984-01-01,M,2010-07-01,3,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:31.608002,Provider Conversion,2013-03-28 03:56:36.000000
1000110,1165456,1000091,2009-10-07,I,2012-04-30,3,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:31.853975,Provider Conversion,2013-03-28 03:56:36.000000
1000110,1166011,1000092,1986-01-01,M,2013-02-13,3,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:31.608002,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1000413,1000094,2010-07-01,I,2010-12-23,0,Provider Conversion,2013-03-28 03:56:36.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1000559,1000095,2010-07-01,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1000823,1000096,2011-07-01,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003176,1000097,2010-10-01,I,2012-11-01,5,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003187,1000098,2010-07-01,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003307,1000099,2011-11-14,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003308,1000100,2011-11-14,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003626,1000101,2012-09-17,I,2012-11-01,8,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003633,1000102,2012-09-17,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003682,1000103,2012-09-17,M,2012-11-01,15,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1003742,1000104,2012-09-17,I,2012-11-01,2,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000111,1163880,1000105,2010-07-01,M,2012-11-01,6,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1000554,1000106,2011-04-01,I,2015-10-04,4,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1000823,1000107,2011-07-01,I,2013-02-13,4,SKOEHLY,2015-03-03 13:34:05.478000,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1003619,1000109,2013-10-01,M,2016-11-23,18,PJHEID,2017-02-22 21:23:05.469000,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1003742,1000110,2012-09-17,I,2015-10-04,5,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1004029,1000111,2013-10-01,M,2020-04-22,14,DMOCK,2020-07-07 07:58:45.576000,Provider Conversion,2013-03-28 03:56:36.000000
1000112,1163880,1000113,2013-10-01,M,2022-08-31,11,TONIWORKMAN,2022-11-15 05:43:03.371000,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1000413,1000114,2010-07-01,I,2010-12-23,0,Provider Conversion,2013-03-28 03:56:36.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1000559,1000115,2010-07-01,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1003626,1000116,2012-09-17,I,2012-11-01,8,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1003633,1000117,2012-09-17,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1003682,1000118,2010-07-01,M,2012-11-01,14,SKOEHLY,2015-06-18 15:19:22.631000,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1003742,1000119,2012-09-17,I,2012-11-01,2,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1003757,1000120,2012-09-17,M,2012-11-01,11,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1163880,1000121,2010-07-01,I,2012-11-01,6,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000113,1166011,1000122,1986-01-01,I,2012-11-01,1,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:51.670247,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1000413,1000123,2010-07-01,I,2010-12-23,2,SKOEHLY,2015-03-03 13:51:39.765000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1000588,1000124,2011-07-01,I,2015-10-04,2,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1000823,1000125,2011-07-01,I,2013-02-13,2,SKOEHLY,2015-03-03 13:51:39.770000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1003176,1000127,2010-10-01,I,2019-11-12,7,MLMOOS,2019-11-12 17:16:18.814000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1003187,1000128,2010-07-01,I,2015-10-04,2,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1003307,1000129,2011-11-14,I,2015-10-04,2,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1003308,1000130,2011-11-14,I,2015-10-04,2,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:23.000000,Provider Conversion,2013-03-28 03:56:36.000000
1000114,1003626,1000131,2012-09-17,I,2015-10-04,9,CR1906_SET_MBRENDDT_4OCT15,2015-08-27 12:07:24.000000,Provider Conversion,2013-03-28 03:56:36.000000
