p_sys_id,p_appl_stat_sk,p_appl_stat_cd,p_appl_stat_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276759,212580,PS,2013-04-04,0,RRUD,2013-04-04 13:41:42.086000,RRUD,2013-04-04 13:41:42.086000
1276761,212588,IW,2013-04-04,0,guestUser,2013-04-04 15:53:02.667000,guestUser,2013-04-04 15:53:02.667000
1276759,212589,PS,2013-04-05,0,JMLAGRO,2013-04-05 09:13:57.360000,JMLAGRO,2013-04-05 09:13:57.360000
1276762,212591,IW,2013-04-05,0,guestUser,2013-04-05 10:01:52.122000,guestUser,2013-04-05 10:01:52.122000
1276762,212592,V,2013-04-05,0,guestUser,2013-04-05 10:01:52.201000,guestUser,2013-04-05 10:01:52.201000
1276762,212593,PN,2013-04-05,0,guestUser,2013-04-05 10:01:52.206000,guestUser,2013-04-05 10:01:52.206000
1276763,212597,V,2013-04-05,0,guestUser,2013-04-05 13:47:36.413000,guestUser,2013-04-05 13:47:36.413000
1276763,212598,PN,2013-04-05,0,guestUser,2013-04-05 13:47:36.424000,guestUser,2013-04-05 13:47:36.424000
1276762,212599,CN,2013-04-08,0,userID,2013-04-08 07:50:51.506000,userID,2013-04-08 07:50:51.506000
1276764,212600,IW,2013-04-09,0,guestUser,2013-04-09 10:08:00.626000,guestUser,2013-04-09 10:08:00.626000
1276765,212601,IW,2013-04-09,0,guestUser,2013-04-09 10:11:45.430000,guestUser,2013-04-09 10:11:45.430000
1276766,212602,IW,2013-04-09,0,guestUser,2013-04-09 10:20:38.658000,guestUser,2013-04-09 10:20:38.658000
1276767,212603,IW,2013-04-09,0,guestUser,2013-04-09 10:30:24.148000,guestUser,2013-04-09 10:30:24.148000
1276769,212605,IW,2013-04-09,0,guestUser,2013-04-09 11:22:15.573000,guestUser,2013-04-09 11:22:15.573000
1276770,212606,IW,2013-04-09,0,guestUser,2013-04-09 11:38:04.914000,guestUser,2013-04-09 11:38:04.914000
1276771,212607,IW,2013-04-09,0,guestUser,2013-04-09 11:40:24.085000,guestUser,2013-04-09 11:40:24.085000
1276772,212608,IW,2013-04-09,0,guestUser,2013-04-09 12:14:54.547000,guestUser,2013-04-09 12:14:54.547000
1276773,212609,IW,2013-04-09,0,guestUser,2013-04-09 13:00:12.124000,guestUser,2013-04-09 13:00:12.124000
1276774,212610,IW,2013-04-09,0,guestUser,2013-04-09 13:12:52.875000,guestUser,2013-04-09 13:12:52.875000
1276781,212623,IW,2013-04-09,0,guestUser,2013-04-09 16:18:53.581000,guestUser,2013-04-09 16:18:53.581000
1276782,212624,V,2011-09-29,7,guestUser,2013-04-10 09:06:17.466000,guestUser,2013-04-10 08:41:22.352000
1276782,212635,PC,2013-04-10,0,NMAIER,2013-04-10 09:08:06.239000,NMAIER,2013-04-10 09:08:06.239000
1276782,212636,PS,2013-04-10,0,NMAIER,2013-04-10 09:09:22.670000,NMAIER,2013-04-10 09:09:22.670000
1276782,212637,AP,2013-04-10,0,NMAIER,2013-04-10 09:13:31.673000,NMAIER,2013-04-10 09:13:31.673000
1276782,212638,AA,2013-04-10,0,NMAIER,2013-04-10 09:13:31.788000,NMAIER,2013-04-10 09:13:31.788000
1181390,212639,V,2011-09-29,0,NMAIER,2013-04-10 09:13:31.856000,NMAIER,2013-04-10 09:13:31.856000
1181390,212640,IP,2013-04-10,0,NMAIER,2013-04-10 09:13:31.857000,NMAIER,2013-04-10 09:13:31.857000
1181390,212641,PN,2013-04-10,0,NMAIER,2013-04-10 09:13:31.857000,NMAIER,2013-04-10 09:13:31.857000
1181390,212642,PC,2013-04-10,0,NMAIER,2013-04-10 09:13:31.857000,NMAIER,2013-04-10 09:13:31.857000
1181390,212643,PS,2013-04-10,0,NMAIER,2013-04-10 09:13:31.858000,NMAIER,2013-04-10 09:13:31.858000
1181390,212644,RQ,2013-10-01,5,SMCNEIL,2015-08-17 12:13:49.321000,defect ESPRD01032661 data fix,2013-04-10 09:13:31.858000
1276784,212645,IW,2013-04-10,0,guestUser,2013-04-10 09:17:16.813000,guestUser,2013-04-10 09:17:16.813000
1276786,212647,IW,2013-04-10,0,guestUser,2013-04-10 09:58:08.253000,guestUser,2013-04-10 09:58:08.253000
1276787,212648,V,2013-12-05,8,guestUser,2013-12-05 09:15:51.104000,guestUser,2013-04-10 10:00:49.713000
1276786,212666,PN,2013-04-10,0,guestUser,2013-04-10 10:36:22.484000,guestUser,2013-04-10 10:36:22.484000
1276788,212650,IW,2013-04-10,0,guestUser,2013-04-10 09:59:59.073000,guestUser,2013-04-10 09:59:59.073000
1276789,212651,IW,2013-04-10,0,guestUser,2013-04-10 10:07:32.818000,guestUser,2013-04-10 10:07:32.818000
1276758,212656,PN,2013-04-10,0,JMLAGRO,2013-04-10 10:27:03.911000,JMLAGRO,2013-04-10 10:27:03.911000
1276790,212653,IW,2013-04-10,0,guestUser,2013-04-10 10:25:23.519000,guestUser,2013-04-10 10:25:23.519000
1276791,212655,IW,2013-04-10,0,guestUser,2013-04-10 10:25:33.240000,guestUser,2013-04-10 10:25:33.240000
1276787,212662,IP,2013-04-10,1,guestUser,2013-04-10 10:34:17.794000,guestUser,2013-04-10 10:34:17.749000
1276792,212658,IW,2013-04-10,0,guestUser,2013-04-10 10:28:04.462000,guestUser,2013-04-10 10:28:04.462000
1276787,212663,PN,2013-04-10,0,guestUser,2013-04-10 10:34:17.826000,guestUser,2013-04-10 10:34:17.826000
1276793,212664,IW,2013-04-10,0,guestUser,2013-04-10 10:34:50.856000,guestUser,2013-04-10 10:34:50.856000
1276786,212665,V,2013-04-10,0,guestUser,2013-04-10 10:36:22.475000,guestUser,2013-04-10 10:36:22.475000
1276758,212667,PC,2013-04-10,0,JMLAGRO,2013-04-10 10:50:21.015000,JMLAGRO,2013-04-10 10:50:21.015000
1276758,212668,PS,2013-04-10,0,JMLAGRO,2013-04-10 10:50:56.512000,JMLAGRO,2013-04-10 10:50:56.512000
1276794,212671,IW,2013-04-10,0,guestUser,2013-04-10 11:01:59.611000,guestUser,2013-04-10 11:01:59.611000
1276852,212910,IW,2013-04-16,0,guestUser,2013-04-16 16:56:41.130000,guestUser,2013-04-16 16:56:41.130000
1276796,212675,IW,2013-04-10,0,guestUser,2013-04-10 11:24:07.124000,guestUser,2013-04-10 11:24:07.124000
1276776,212914,V,2013-04-17,0,guestUser,2013-04-17 08:12:07.008000,guestUser,2013-04-17 08:12:07.008000
1276853,212911,IW,2013-04-16,0,guestUser,2013-04-16 17:23:52.287000,guestUser,2013-04-16 17:23:52.287000
1276776,212915,PN,2013-04-17,0,guestUser,2013-04-17 08:12:07.015000,guestUser,2013-04-17 08:12:07.015000
1276785,212916,V,2013-04-17,0,guestUser,2013-04-17 08:16:20.099000,guestUser,2013-04-17 08:16:20.099000
1276785,212917,PN,2013-04-17,0,guestUser,2013-04-17 08:16:20.108000,guestUser,2013-04-17 08:16:20.108000
1276788,212918,V,2013-04-17,0,guestUser,2013-04-17 08:18:47.232000,guestUser,2013-04-17 08:18:47.232000
1276788,212919,PN,2013-04-17,0,guestUser,2013-04-17 08:18:47.238000,guestUser,2013-04-17 08:18:47.238000
1276854,212920,IW,2013-04-17,0,guestUser,2013-04-17 09:12:21.375000,guestUser,2013-04-17 09:12:21.375000
1276855,212923,V,2013-04-17,0,guestUser,2013-04-17 09:59:43.573000,guestUser,2013-04-17 09:59:43.573000
1276855,212924,PN,2013-04-17,0,guestUser,2013-04-17 09:59:43.579000,guestUser,2013-04-17 09:59:43.579000
1276857,212925,IW,2013-04-17,0,guestUser,2013-04-17 10:06:26.350000,guestUser,2013-04-17 10:06:26.350000
1276858,212926,IW,2013-04-17,0,guestUser,2013-04-17 10:39:24.719000,guestUser,2013-04-17 10:39:24.719000
1276859,212931,IW,2013-04-17,0,guestUser,2013-04-17 11:15:15.481000,guestUser,2013-04-17 11:15:15.481000
1276860,212932,IW,2013-04-17,0,guestUser,2013-04-17 11:15:25.116000,guestUser,2013-04-17 11:15:25.116000
1276861,212935,IW,2013-04-17,0,guestUser,2013-04-17 12:08:12.715000,guestUser,2013-04-17 12:08:12.715000
1276867,212941,IW,2013-04-17,0,guestUser,2013-04-17 15:18:10.890000,guestUser,2013-04-17 15:18:10.890000
1276868,212942,IW,2013-04-17,0,guestUser,2013-04-17 15:44:14.034000,guestUser,2013-04-17 15:44:14.034000
1276869,212943,IW,2013-04-17,0,guestUser,2013-04-17 15:46:32.019000,guestUser,2013-04-17 15:46:32.019000
1276871,212947,IW,2013-04-17,0,guestUser,2013-04-17 18:33:34.044000,guestUser,2013-04-17 18:33:34.044000
1276872,212948,IW,2013-04-17,0,guestUser,2013-04-17 19:12:17.977000,guestUser,2013-04-17 19:12:17.977000
1276873,212951,IW,2013-04-18,0,guestUser,2013-04-18 09:38:00.586000,guestUser,2013-04-18 09:38:00.586000
1276875,212957,IW,2013-04-18,0,guestUser,2013-04-18 11:05:11.498000,guestUser,2013-04-18 11:05:11.498000
1276876,212958,IW,2013-04-18,0,guestUser,2013-04-18 11:06:34.432000,guestUser,2013-04-18 11:06:34.432000
1276882,212964,IW,2013-04-18,0,guestUser,2013-04-18 13:41:08.444000,guestUser,2013-04-18 13:41:08.444000
1276892,212986,IW,2013-04-18,0,guestUser,2013-04-18 15:32:04.339000,guestUser,2013-04-18 15:32:04.339000
1276892,212988,V,2013-04-18,0,guestUser,2013-04-18 15:38:20.817000,guestUser,2013-04-18 15:38:20.817000
1276892,212989,PN,2013-04-18,0,guestUser,2013-04-18 15:38:20.827000,guestUser,2013-04-18 15:38:20.827000
1276889,212990,V,2013-04-18,0,guestUser,2013-04-18 15:38:20.832000,guestUser,2013-04-18 15:38:20.832000
1276889,212991,PN,2013-04-18,0,guestUser,2013-04-18 15:38:20.835000,guestUser,2013-04-18 15:38:20.835000
1276891,212992,V,2013-04-18,0,guestUser,2013-04-18 15:38:20.839000,guestUser,2013-04-18 15:38:20.839000
1276891,212993,PN,2013-04-18,0,guestUser,2013-04-18 15:38:20.842000,guestUser,2013-04-18 15:38:20.842000
