p_clia_num,p_clia_lab_cd,p_clia_cert_beg_dt,p_clia_cert_end_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
01D0301071,310,1994-01-19,2026-06-22,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:28:20.438229,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285655
01D0301071,320,1994-01-19,2026-06-22,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:28:20.438229,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285663
01D0301071,330,1994-01-19,2026-06-22,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:28:20.438230,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285671
01D0301071,340,2012-05-17,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285680,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285680
01D0301071,400,1994-01-19,2026-06-22,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:28:20.438230,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285688
01D0301161,220,1994-01-19,2016-04-05,0,B-IF-PRV-CLIA-UPD_1238013.00,2016-12-19 18:21:52.550665,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285696
01D0301161,310,1994-01-19,2016-04-05,0,B-IF-PRV-CLIA-UPD_1238013.00,2016-12-19 18:21:52.550669,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285704
01D0301161,320,2012-05-29,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285712,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285712
01D0301161,400,1994-01-19,2016-04-05,0,B-IF-PRV-CLIA-UPD_1238013.00,2016-12-19 18:21:52.550673,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285721
01D0301246,120,2008-06-12,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285730,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285730
01D0301246,130,2008-06-12,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285738,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285738
01D0301246,220,2008-06-12,2020-06-22,0,B-IF-PRV-CLIA-UPD_Hist_23,2018-08-21 13:25:24.961967,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285746
01D0301246,310,2008-06-12,2020-06-22,0,B-IF-PRV-CLIA-UPD_Hist_23,2018-08-21 13:25:24.961970,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285754
01D0301246,320,2008-06-12,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285762,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285762
01D0301246,330,2008-06-12,2020-06-22,0,B-IF-PRV-CLIA-UPD_Hist_23,2018-08-21 13:25:24.961973,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285770
01D0301246,400,2008-06-12,2016-06-22,0,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285779,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285779
01D0301577,120,1995-02-08,2017-09-19,0,B-IF-PRV-CLIA-UPD_2073060.00,2018-07-26 12:09:49.709086,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:42:50.285787
