p_clia_num,p_clia_lab_pay_ind,p_clia_fed_tax_id,p_clia_mcare_num,p_clia_upd_dt,p_clia_add_dt,p_clia_lab_nam,p_clia_npi_num,g_cmn_enty_sk,g_note_set_sk,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
01D0299895,Y,630881762, ,2015-12-04,2013-11-26,ROBERT W HARGRAVES MD    , ,11374173,,0,B-IF-PRV-CLIA-UPD_1054767.00,2016-07-18 02:10:08.610661,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324822
01D0299900,Y,631048002, ,2023-11-28,2013-11-26,JOHN B CRIDER MD FAMILY M, ,11374174,,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:24:32.341775,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324831
01D0299928,Y,721608375, ,2025-08-20,2013-11-26,UAB MEDICAL WEST HOSPITAL, ,11374175,,0,B-IF-PRV-CLIA-UPD_1524062.00,2025-08-22 18:34:35.110927,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324840
01D0300027,Y,636005283, ,2025-09-29,2013-11-20,BIBB MEDICAL CENTER      , ,11374176,,0,B-IF-PRV-CLIA-UPD_1584657.00,2025-10-03 18:33:16.537688,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324849
01D0300133,Y,631165851, ,2025-01-17,2013-11-26,CULLMAN PRIMARY CARE PC  , ,11374177,,0,B-IF-PRV-CLIA-UPD_1221385.00,2025-01-24 18:23:45.113745,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324872
01D0300149,Y,630597037, ,2024-12-10,2013-11-26,ENT ASSOCIATES OF ALABAMA, ,11374178,,0,B-IF-PRV-CLIA-UPD_1161280.00,2024-12-13 18:23:34.973396,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324881
01D0300640,Y,631271462, ,2025-08-27,2013-11-26,BIRMINGHAM PEDIATRIC ASSO, ,11374179,,0,B-IF-PRV-CLIA-UPD_1533513.00,2025-08-29 18:33:37.266204,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324889
01D0300649,Y,630720078, ,2024-02-28,2013-11-26,CHILDREN'S MEDICAL GROUP , ,11374180,,0,B-IF-PRV-CLIA-UPD_748721.00,2024-03-01 18:25:01.562744,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324897
01D0300698,Y,630716499, ,2025-10-28,2013-11-26,"RHEUMATOLOGY ASSOCIATES, ", ,11374181,,0,B-IF-PRV-CLIA-UPD_1624060.00,2025-10-31 18:33:08.571791,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324905
01D0300711,Y,631185612, ,2024-07-15,2013-11-26,SOUTHVIEW MEDICAL GROUP P, ,11374182,,0,B-IF-PRV-CLIA-UPD_951256.00,2024-07-19 18:23:41.921034,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324914
01D0301003,Y,630825248, ,2024-11-05,2013-11-26,AMERICAN FAMILY CARE - MO, ,11374183,,0,B-IF-PRV-CLIA-UPD_1110663.00,2024-11-08 18:24:42.527208,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324922
01D0301022,Y,630925859, ,2025-10-27,2013-11-26,BBH SCN PRINCETON PULMONO, ,11374184,,0,B-IF-PRV-CLIA-UPD_1624060.00,2025-10-31 18:33:08.571792,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324931
01D0301071,Y,631245407, ,2024-07-24,2013-11-26,BIRMINGHAM INTERNAL MEDIC, ,11374185,,0,B-IF-PRV-CLIA-UPD_960812.00,2024-07-26 18:23:27.469784,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324939
01D0301161,Y,630599250, ,2016-12-05,2013-11-26,MONTCLAIR RHEUMATOLOGY   , ,11374186,,0,B-IF-PRV-CLIA-UPD_1230065.00,2016-12-12 18:14:47.357268,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324947
01D0301246,Y,630825248, ,2024-08-12,2013-11-26,AMERICAN FAMILY CARE - CE, ,11374187,,0,B-IF-PRV-CLIA-UPD_990049.00,2024-08-16 18:23:33.270972,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324956
01D0301577,Y,412035406, ,2025-06-12,2013-11-26,COMPLETE FAMILY HEALTH CA, ,11374188,,0,B-IF-PRV-CLIA-UPD_1421943.00,2025-06-13 18:24:43.009532,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324964
01D0301734,Y,630479242, ,2025-02-12,2013-11-26,TUSKALOOSA INTERNAL MEDIC, ,11374189,,0,B-IF-PRV-CLIA-UPD_1250958.00,2025-02-14 18:23:25.069600,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324972
01D0301985,Y,630667953, ,2025-02-06,2013-11-26,DR BILL YATES MD PC      , ,11374190,,0,B-IF-PRV-CLIA-UPD_1241262.00,2025-02-07 18:24:09.453017,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324981
01D0302215,Y,630754863, ,2025-10-01,2013-11-26,NEW DECATUR CLINIC LAB   , ,11374191,,0,B-IF-PRV-CLIA-UPD_1584657.00,2025-10-03 18:33:16.537691,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324989
01D0302508,Y,630728766, ,2025-01-29,2013-11-26,INFANTS' & CHILDREN'S CLI, ,11374192,,0,B-IF-PRV-CLIA-UPD_1230833.00,2025-01-31 18:24:39.004860,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.324997
01D0302944,Y,631063098, ,2024-01-02,2013-11-26,ALLEN H BUTLER MD        , ,11374193,,0,B-IF-PRV-CLIA-UPD_667132.00,2024-01-05 18:23:23.339811,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325005
01D0302949,Y,418608667, ,2024-01-02,2013-11-26,JOHN H LARY JR MD        , ,11374194,,0,B-IF-PRV-CLIA-UPD_667132.00,2024-01-05 18:23:23.339811,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325014
01D0302960,Y,200724238, ,2025-02-05,2013-11-26,CREEKSIDE FAMILY PRACTICE, ,11374195,,0,B-IF-PRV-CLIA-UPD_1241262.00,2025-02-07 18:24:09.453017,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325022
01D0303442,Y,630635335, ,2025-11-10,2013-11-20,NORTHEAST AL PEDS        , ,11374196,,0,B-IF-PRV-CLIA-UPD_1643851.00,2025-11-14 18:32:51.848667,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325030
01D0303544,Y,630877158, ,2024-11-06,2013-11-26,DOCTORS CARE PC          , ,11374197,,0,B-IF-PRV-CLIA-UPD_1110663.00,2024-11-08 18:24:42.527212,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325039
01D0303594,Y,630740093, ,2025-07-22,2013-11-26,SAND MOUNTAIN FAMILY PRAC, ,11374198,,0,B-IF-PRV-CLIA-UPD_1482813.00,2025-07-25 18:23:44.190569,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325047
01D0303873,Y,203204949, ,2025-07-23,2013-11-27,PRATTVILLE BAPTIST HOSPIT, ,11374199,,0,B-IF-PRV-CLIA-UPD_1482813.00,2025-07-25 18:23:44.190569,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325055
01D0304152,Y,630775891, ,2022-05-31,2013-11-18,ENDOCRINOLOGY ASSOCIATES , ,11374200,,0,B-IF-PRV-CLIA-UPD_4882376.00,2023-02-24 23:24:48.169880,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325064
01D0304176,Y,630828806, ,2024-07-23,2013-11-26,MONTGOMERY RHEUMATOLOGY A, ,11374201,,0,B-IF-PRV-CLIA-UPD_960812.00,2024-07-26 18:23:27.469787,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325072
01D0304350,Y,630825248, ,2017-03-23,2013-11-26,AMERICAN FAMILY CARE - GO, ,11374202,,0,B-IF-PRV-CLIA-UPD_1417502.00,2017-05-17 06:08:17.749426,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325080
01D0304564,Y,631076544, ,2025-11-12,2013-11-20,JOSE CABELLERO MD        , ,11374203,,0,B-IF-PRV-CLIA-UPD_1643851.00,2025-11-14 18:32:51.848668,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325089
01D0304589,Y,630819576, ,2025-10-28,2013-11-26,OXFORD FAMILY PRACTICE   , ,11374204,,0,B-IF-PRV-CLIA-UPD_1624060.00,2025-10-31 18:33:08.571796,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325097
01D0304656,Y,630918401, ,2023-11-28,2013-11-26,PIEDMONT FAMILY PRACTICE , ,11374205,,0,B-IF-PRV-CLIA-UPD_617020.00,2023-12-01 18:24:32.341786,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325105
01D0304753,Y,630991466, ,2024-08-20,2013-11-26,DOTHAN MEDICAL ASSOCIATES, ,11374206,,0,B-IF-PRV-CLIA-UPD_1000478.00,2024-08-23 18:23:39.197895,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325114
01D0304757,Y,630579356, ,2025-10-20,2013-11-26,DOTHAN PEDIATRIC CLINIC  , ,11374207,,0,B-IF-PRV-CLIA-UPD_1614092.00,2025-10-24 18:32:46.695007,B-IF-PRV-CLIA-UPD_8943636.00,2014-02-06 10:41:39.325122
