p_sys_id,p_clia_prov_sk,p_clia_num,p_clia_prov_beg_dt,p_clia_prov_end_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1282767,50962,44D1066133,2015-05-16,2027-05-15,15,DEDEMILLS,2025-05-05 06:57:02.348000,JMLAGRO,2014-03-05 14:58:42.272000
1191392,51018,35D0695365,2012-09-01,2018-08-31,8,ANNDOLL,2017-08-10 13:39:26.927000,CKRAFT,2014-05-09 07:17:36.259000
1000115,50993,35D0909266,2014-01-01,2021-12-31,2,B-IF-CLIA-MNLY_2931341.00,2020-01-08 23:01:15.749979,JMLAGRO,2014-04-24 15:12:33.498000
1153813,51014,35D0693180,2013-01-25,2027-01-24,8,NICOLERICHTER,2025-02-19 13:28:46.528000,PJHEID,2014-05-07 14:44:16.088000
1154542,51033,24D0405866,2013-01-03,2027-01-02,2,KAMELTZER,2025-09-05 08:58:17.366000,PJHEID,2014-05-14 14:37:50.168000
1153812,51029,35D0409305,2013-08-17,2027-08-16,25,DEDEMILLS,2025-12-03 07:48:36.940000,ZOEASANDY,2014-05-12 15:23:45.655000
1278354,51024,35D0655677,2013-02-09,2013-10-02,4,B-Term-Prov-Trigger_2957260.00,2020-01-24 18:02:24.041878,JOYSPEZIALE,2014-05-09 17:55:50.215000
1155497,51025,35D0655677,2013-02-09,2027-02-08,6,NICOLERICHTER,2025-04-28 15:18:28.562000,JOYSPEZIALE,2014-05-09 17:55:52.294000
1171481,51093,24D0666573,2012-09-01,2020-08-31,1,ANNDOLL,2019-06-08 10:11:23.853000,JMLAGRO,2014-05-27 11:29:59.840000
1154880,51066,24D0400828,2013-01-03,2017-02-03,0,ESPRD01160601,2014-05-19 18:03:23.653000,JOYSPEZIALE,2014-05-19 18:03:23.653000
1282590,51109,06D0518495,2013-10-06,2015-06-27,3,B-Term-Prov-Trigger_2382224.00,2019-02-06 18:00:57.972064,JMLAGRO,2014-05-29 11:17:17.177000
1187792,51072,35D0408522,2012-09-01,2026-08-31,9,DEDEMILLS,2024-10-22 08:16:27.373000,JOYSPEZIALE,2014-05-20 18:09:03.455000
1283666,51127,10D0271186,2013-09-11,2015-06-30,1,B-Term-Prov-Trigger_2382224.00,2019-02-06 18:00:57.972064,JMLAGRO,2014-05-30 10:30:57.460000
1155370,51097,27D0409879,2013-02-12,2025-02-11,7,DEDEMILLS,2024-09-09 12:37:10.903000,KWOODALL,2014-05-28 09:01:16.632000
1000336,51117,43D1094322,2013-01-15,2025-01-14,6,TONIWORKMAN,2024-06-19 09:22:20.536000,JOYSPEZIALE,2014-05-29 15:56:11.235000
1287051,51120,35D0041821,2012-12-10,2027-03-24,20,NICOLERICHTER,2025-03-05 14:07:46.463000,PJHEID,2014-05-29 21:12:44.566000
1153890,51145,24D0402379,2013-01-03,2017-02-03,0,ESPRD01160601,2014-06-02 07:12:53.571000,JMLAGRO,2014-06-02 07:12:53.571000
1171985,51130,35D1099200,2013-05-07,2017-02-03,2,ESPRD01160601,2015-08-20 11:42:17.865000,PJHEID,2014-05-30 11:48:26.401000
1155315,51177,24D0398061,2013-01-03,2022-12-26,1,B-Term-Prov-Trigger_1346356.00,2025-04-21 18:01:04.697045,KWOODALL,2014-06-06 14:19:09.088000
1204374,51134,35D2005925,2014-04-08,2017-02-03,1,ESPRD01160601,2015-08-13 13:04:06.192000,PJHEID,2014-05-30 12:03:54.537000
1153841,51175,27D0409879,2013-02-12,2025-02-11,5,PEGBROSSART,2024-09-17 09:28:13.698000,JOYSPEZIALE,2014-06-06 14:04:08.047000
1154710,51170,27D0409807,2013-03-16,2019-06-06,1,B-Term-Prov-Trigger_2583637.00,2019-06-12 18:01:13.739317,ZOEASANDY,2014-06-06 12:45:33.033000
1286912,51171,27D0934289,2013-03-06,2017-02-03,2,ESPRD01160601,2014-08-06 15:13:12.671000,JOYSPEZIALE,2014-06-06 13:00:19.314000
1153757,51187,35D0408653,2013-01-08,2027-01-07,12,NICOLERICHTER,2025-03-04 15:13:12.543000,JMLAGRO,2014-06-09 15:11:08.800000
1154796,51185,35D0408653,2013-01-08,2027-01-07,13,NICOLERICHTER,2025-03-04 14:44:25.149000,JMLAGRO,2014-06-09 15:03:57.417000
1155409,51196,35D0663789,2015-02-09,2027-02-08,11,NICOLERICHTER,2025-03-21 08:05:25.453000,PJHEID,2014-06-11 08:58:31.062000
1171976,51189,24D0723478,2012-09-01,2016-12-31,2,B-Term-Prov-Trigger_2456973.00,2019-03-25 18:00:53.870858,PJHEID,2014-06-09 15:59:04.962000
1285999,51190,24D0406485,2014-05-30,2017-02-03,7,ESPRD01160601,2015-03-13 16:58:45.816000,JMLAGRO,2014-06-10 09:48:32.099000
1000368,51210,35D0655616,2013-02-09,2027-02-08,12,DEDEMILLS,2025-05-19 11:09:00.170000,BRENDAPEREZESCOB,2014-06-12 12:58:09.679000
1287644,51211,35D0670867,2012-09-01,2013-10-02,7,B-Term-Prov-Trigger_2957260.00,2020-01-24 18:02:24.041878,PJHEID,2014-06-12 14:03:53.820000
1164756,51239,35D0408220,2012-09-01,2005-12-31,6,B-Term-Prov-Trigger_717958.00,2015-10-02 18:01:31.955254,PJHEID,2014-06-16 13:37:23.834000
1278161,51224,35D0939152,2014-06-11,2026-01-20,6,DEDEMILLS,2024-06-21 09:52:47.501000,PJHEID,2014-06-13 12:46:12.420000
1171581,51235,24D0406393,2012-09-01,2015-02-05,3,B-Term-Prov-Trigger_2429808.00,2019-03-08 18:00:54.490580,PJHEID,2014-06-16 11:21:33.953000
1164487,51237,35D0408726,2011-04-03,2027-04-02,11,DEDEMILLS,2025-05-12 10:24:11.136000,IFRANKHAN,2014-06-16 13:24:41.085000
1155385,51257,35D0409233,2014-06-08,2017-02-03,4,ESPRD01160601,2015-08-15 11:50:33.495000,JOYSPEZIALE,2014-06-16 19:14:38.487000
1278141,51268,35D0408379,2013-07-01,2025-09-30,9,DEDEMILLS,2025-08-01 11:56:57.044000,KWOODALL,2014-06-17 15:45:05.078000
1167457,51241,24D0041325,2013-01-03,2027-01-02,5,NICOLERICHTER,2025-01-15 14:05:40.401000,JOYSPEZIALE,2014-06-16 14:21:18.840000
1154698,51275,23D0667009,2013-02-09,2017-02-03,1,ESPRD01160601,2015-03-10 13:52:49.484000,JMLAGRO,2014-06-18 13:14:42.300000
1155362,51288,35D0877985,2014-05-19,2024-05-18,9,TONIWORKMAN,2022-08-29 09:12:40.212000,JOYSPEZIALE,2014-06-18 16:19:46.369000
1288551,51276,45D0659799,2013-06-14,2019-07-26,1,B-IF-CLIA-MNLY_2192790.00,2018-10-08 22:51:39.236851,JMLAGRO,2014-06-18 13:21:13.590000
1154662,51300,35D0409242,1993-02-17,2027-02-16,11,DEDEMILLS,2025-05-06 06:20:46.375000,JOYSPEZIALE,2014-06-19 19:09:19.326000
1166910,51292,35D1055385,2014-06-15,2022-06-14,7,B-IF-CLIA-MNLY_3236060.00,2020-07-08 23:01:13.211724,JOYSPEZIALE,2014-06-19 15:53:11.477000
1191471,51298,35D0858262,2022-09-01,2026-08-31,3,NICOLERICHTER,2024-11-05 11:44:49.797000,JOYSPEZIALE,2014-06-19 18:39:35.213000
1155397,51308,35D1104988,2013-09-14,2023-09-13,6,B-IF-CLIA-MNLY_4063073.00,2021-11-10 08:23:51.018699,RACHELSPANGENBER,2014-06-20 14:14:25.155000
1155351,51316,27D0652478,2019-05-17,2021-05-16,7,AGREYBULL,2020-01-03 18:04:00.977000,JMLAGRO,2014-06-23 11:30:31.199000
1155455,51302,35D0980535,2012-11-27,2018-11-26,7,KRISTIHEID,2017-08-17 12:57:10.000000,KARINARUIZ,2014-06-20 09:45:23.644000
1155351,51317,27D0872032,2019-06-09,2025-06-08,8,DEDEMILLS,2024-11-20 09:19:14.896000,JMLAGRO,2014-06-23 11:30:31.200000
1155478,51312,35D0926532,2013-10-18,2021-10-17,4,THINTZ08,2019-11-13 10:00:29.530000,JMLAGRO,2014-06-23 10:26:40.894000
1164517,51332,35D0408252,2013-06-05,2026-12-09,12,TONIWORKMAN,2026-03-25 15:37:46.251000,ZULEIMARUIZ,2014-06-24 09:43:00.947000
1153958,51328,24D0676729,2013-10-11,2027-01-03,8,NICOLERICHTER,2025-01-15 13:50:11.018000,NAKARRIABELL,2014-06-23 16:20:35.176000
1159392,51336,35D1001562,2013-10-01,2022-03-31,3,B-Term-Prov-Trigger_4571410.00,2022-08-31 18:04:05.393186,ZULEIMARUIZ,2014-06-24 11:53:03.683000
1001393,51340,24D0405847,2012-08-10,2022-08-09,6,B-IF-CLIA-MNLY_3982672.00,2021-09-24 15:48:46.156640,JMLAGRO,2014-06-24 13:39:25.078000
1001845,51334,35D0677687,2012-09-01,2017-02-03,5,ESPRD01160601,2015-08-13 13:06:43.164000,RACHELSPANGENBER,2014-06-24 11:40:28.666000
