p_sys_id,p_prov_agmt_read_ind,p_pccm_agmt_read_ind,p_req_clm_subm_eff_dt,p_qsp_last_grade_completed_cd,l_hibernate_ver_num,g_aud_add_ts,g_aud_add_user_id,g_aud_ts,g_aud_user_id,p_340b_ind,p_1099_ind,p_svc_area_dstnc_cd,p_pub_prov_ind,p_tp_agmt_read_ind,p_website,p_accept_new,p_telehealth,p_other_accom
1000344,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000345,N,N,,,5,2013-03-28 03:52:06.000000,Provider Conversion,2015-07-27 12:48:27.327000,JMLAGRO,N,Y,,N,N,,,,
1000346,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000347,N,N,,,4,2013-03-28 03:52:06.000000,Provider Conversion,2025-11-07 07:36:06.133000,LWICK,N,Y,,N,N,,N,N,
1000348,N,N,,,1,2013-03-28 03:52:06.000000,Provider Conversion,2025-12-05 10:57:09.041000,MLADAMS,N,Y,,N,N,,N,N,
1000349,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000350,N,N,,,3,2013-03-28 03:52:06.000000,Provider Conversion,2015-08-15 10:28:41.084000,ESTHERSHAHPAR,N,Y,,N,N,,,,
1000351,N,N,,,3,2013-03-28 03:52:06.000000,Provider Conversion,2015-07-20 10:27:46.320000,JMLAGRO,N,Y,,N,N,,,,
1000352,N,N,,,4,2013-03-28 03:52:06.000000,Provider Conversion,2025-11-21 16:43:18.619000,KAMELTZER,N,Y,,N,N,,N,N,
1000353,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000354,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000355,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000356,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000357,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000358,N,N,,,8,2013-03-28 03:52:06.000000,Provider Conversion,2025-06-26 06:40:21.119000,HRJOHNSON,N,Y,,N,N,,N,N,
1000359,N,N,,,2,2013-03-28 03:52:06.000000,Provider Conversion,2025-12-05 15:17:36.244000,ANDOLL,N,Y,,N,N,https://www.cincinnatichildrens.org,Y,N,
1000360,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000361,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000362,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000363,N,N,,,1,2013-03-28 03:52:06.000000,Provider Conversion,2025-09-28 07:48:20.845000,PEGBROSSART,N,Y,,N,N,,N,N,
1000364,N,N,,,1,2013-03-28 03:52:06.000000,Provider Conversion,2025-12-17 15:02:15.835000,JJUVE,N,Y,,N,N,www.trinityhealth.org,Y,N,
1000365,N,N,,,2,2013-03-28 03:52:06.000000,Provider Conversion,2015-03-11 07:21:58.352000,JMLAGRO,N,Y,,N,N,,,,
1000366,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000367,N,N,,,1,2013-03-28 03:52:06.000000,Provider Conversion,2025-11-21 12:48:30.041000,TOMEYER,N,Y,,N,N,,N,N,
1000368,N,N,,,7,2013-03-28 03:52:06.000000,Provider Conversion,2025-09-05 13:13:32.357000,DEDEMILLS,Y,Y,,N,N,NA,N,N,
1000369,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000370,N,N,,,4,2013-03-28 03:52:06.000000,Provider Conversion,2015-07-13 10:21:24.030000,JMLAGRO,N,Y,,N,N,,,,
1000371,N,N,,,3,2013-03-28 03:52:06.000000,Provider Conversion,2015-06-18 10:06:21.915000,JMLAGRO,N,Y,,N,N,,,,
1000372,N,N,,,6,2013-03-28 03:52:06.000000,Provider Conversion,2025-07-07 16:45:24.039000,KAMELTZER,N,Y,,N,N,,N,N,
1000373,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000374,N,N,,,3,2013-03-28 03:52:06.000000,Provider Conversion,2015-08-08 13:02:51.043000,ESTHERSHAHPAR,N,Y,,N,N,,,,
1000375,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
1000376,N,N,,,0,2013-03-28 03:52:06.000000,Provider Conversion,2013-03-28 03:52:06.000000,Provider Conversion,N,Y,,N,N,,,,
