p_sys_id,p_isp_ind,p_vnd_nam,p_blng_agent_nam,w_sftwr_nam,w_ver_id,w_sftwr_prtcl_cd,g_cmn_enty_sk,g_note_set_sk,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,w_txn_drctn_cd
1276872,Y,,,,,  ,11348066,,13,GUESTUSER,2013-04-17 21:23:50.066000,GUESTUSER,2013-04-17 19:14:21.562000,
1277012,Y,,,,,  ,11348707,,7,GUESTUSER,2014-09-24 10:36:05.105000,GUESTUSER,2013-04-25 11:11:28.772000,
1277041,N,Transaction Data Systems,,RX30,3.6.1,4,11348819,,0,GUESTUSER,2013-04-25 16:45:23.098000,GUESTUSER,2013-04-25 16:45:23.098000,
1277038,Y,,,,,  ,11348807,,24,GUESTUSER,2013-10-21 15:22:01.177000,GUESTUSER,2013-04-26 07:40:54.821000,
1276791,N,,eProvider Solutions,,,  ,11347742,,6,GUESTUSER,2013-04-26 11:27:35.246000,GUESTUSER,2013-04-26 10:20:36.266000,
1277043,Y,,,,,  ,11348832,,16,GUESTUSER,2013-07-18 09:19:49.355000,GUESTUSER,2013-04-26 10:35:15.325000,
1277044,N,Allscripts,,PRO EHR,9.10.3,1,11348836,,1,GUESTUSER,2013-04-26 10:50:05.865000,GUESTUSER,2013-04-26 10:41:44.427000,
1277071,Y,,,,,  ,11348953,,4,GUESTUSER,2013-04-29 10:29:11.816000,GUESTUSER,2013-04-29 10:22:41.095000,
1277045,Y,,,,,  ,11348841,,7,GUESTUSER,2013-04-30 10:44:04.933000,GUESTUSER,2013-04-26 10:59:05.817000,
1277050,N,,eProvider Solutions,,,  ,11348874,,1,GUESTUSER,2013-04-26 12:12:31.251000,GUESTUSER,2013-04-26 12:12:14.401000,
1276951,N,Allscripts Payerpath,,Allscripts PM,10.3.1.17,2,11348467,,6,GUESTUSER,2013-05-30 15:19:11.503000,GUESTUSER,2013-04-26 12:32:36.172000,
1277053,N,Allscripts,,PRO EHR,9.10.3,1,11348881,,1,GUESTUSER,2013-04-26 13:09:52.669000,GUESTUSER,2013-04-26 13:05:51.252000,
1277046,Y,,,,,  ,11348842,,0,GUESTUSER,2013-04-26 13:22:21.379000,GUESTUSER,2013-04-26 13:22:21.379000,
1277072,Y,,,,,  ,11348958,,8,GUESTUSER,2013-04-30 11:27:36.516000,GUESTUSER,2013-04-29 10:45:16.368000,
1277070,N,,Gateway,,,  ,11348950,,5,GUESTUSER,2013-04-29 10:53:04.452000,GUESTUSER,2013-04-29 10:52:54.889000,
1277016,N,,Gateway EDI Inc.,,,  ,11348717,,9,GUESTUSER,2013-04-29 12:13:31.865000,GUESTUSER,2013-04-29 11:59:57.849000,
