p_sys_id,p_event_sk,p_event_rsn_sk,p_event_rsn_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276762,415036,2090,9903,0,userID,2013-04-08 07:50:51.506000,userID,2013-04-08 07:50:51.506000
1279324,458533,2126,9910,0,userID,2013-09-13 08:13:11.638000,userID,2013-09-13 08:13:11.638000
1280486,464981,2147,9902,0,internalUser,2013-10-09 08:20:48.365000,internalUser,2013-10-09 08:20:48.365000
1291912,796236,6716,9903,0,DMOCK,2015-01-26 16:22:11.380000,DMOCK,2015-01-26 16:22:11.380000
1276882,465846,2175,9903,0,userID,2013-10-11 09:53:14.656000,userID,2013-10-11 09:53:14.656000
1280632,465084,2151,9902,0,internalUser,2013-10-09 09:35:45.043000,internalUser,2013-10-09 09:35:45.043000
1280633,465112,2153,9902,0,internalUser,2013-10-09 09:51:14.037000,internalUser,2013-10-09 09:51:14.037000
1280630,465184,2165,9902,0,userID,2013-10-09 10:43:09.644000,userID,2013-10-09 10:43:09.644000
1279005,494956,2432,9902,0,userID,2014-01-13 14:49:35.546000,userID,2014-01-13 14:49:35.546000
1291611,794560,6749,9903,0,B-Prov-Letters+340692.00,2015-01-27 09:52:59.635000,PJHEID,2015-01-27 09:52:59.635000
1276773,466842,2177,9903,0,userID,2013-10-16 11:12:30.938000,userID,2013-10-16 11:12:30.938000
1280282,469640,2190,9903,0,userID,2013-10-28 14:44:44.218000,userID,2013-10-28 14:44:44.218000
1277887,467914,2186,9902,0,userID,2013-10-22 08:21:37.056000,userID,2013-10-22 08:21:37.056000
1278508,467915,2187,9902,0,userID,2013-10-22 08:23:07.303000,userID,2013-10-22 08:23:07.303000
1277235,469794,2191,9903,0,userID,2013-10-29 06:54:33.059000,userID,2013-10-29 06:54:33.059000
1278530,435553,2192,9902,0,B-Prov-Letters+7666394.00,2013-10-29 08:59:46.683000,INTERNALUSER,2013-10-29 08:59:46.683000
1278530,469798,2193,9902,0,userID,2013-10-29 09:02:04.972000,userID,2013-10-29 09:02:04.972000
1291299,796140,6709,9903,0,PJHEID,2015-01-26 15:12:44.645000,PJHEID,2015-01-26 15:12:44.645000
1291764,796173,6711,9902,0,DMOCK,2015-01-26 15:31:16.750000,DMOCK,2015-01-26 15:31:16.750000
1291742,796000,6713,9902,0,ESTHERSHAHPAR,2015-01-26 15:41:38.902000,ESTHERSHAHPAR,2015-01-26 15:41:38.902000
1292179,796275,6718,9902,0,internalUser,2015-01-26 17:14:20.660000,internalUser,2015-01-26 17:14:20.660000
1292181,796283,6722,9902,0,internalUser,2015-01-26 17:25:13.930000,internalUser,2015-01-26 17:25:13.930000
1289479,796402,6725,9903,0,ESTHERSHAHPAR,2015-01-26 18:52:44.348000,ESTHERSHAHPAR,2015-01-26 18:52:44.348000
1277213,472437,2270,9910,0,userID,2013-11-07 10:46:00.343000,userID,2013-11-07 10:46:00.343000
1290000,797205,6780,9902,0,internalUser,2015-01-27 16:36:56.729000,internalUser,2015-01-27 16:36:56.729000
1280483,477368,2294,9945,0,PJHEID,2013-11-24 09:25:04.675000,PJHEID,2013-11-24 09:25:04.675000
1277580,478550,2297,9902,0,userID,2013-11-26 17:30:06.312000,userID,2013-11-26 17:30:06.312000
1277580,478551,2298,9902,0,userID,2013-11-26 17:30:17.632000,userID,2013-11-26 17:30:17.632000
1279569,478758,2302,9902,0,userID,2013-11-26 19:36:14.844000,userID,2013-11-26 19:36:14.844000
1279304,478761,2303,9902,0,userID,2013-11-26 19:39:17.557000,userID,2013-11-26 19:39:17.557000
1281286,478869,2304,9902,0,internalUser,2013-11-26 23:21:31.397000,internalUser,2013-11-26 23:21:31.397000
1277781,479067,2305,9945,0,PJHEID,2013-11-27 14:48:22.330000,PJHEID,2013-11-27 14:48:22.330000
1277464,480278,2316,9902,0,userID,2013-12-02 13:19:58.963000,userID,2013-12-02 13:19:58.963000
1278064,481421,2343,9903,0,userID,2013-12-05 10:15:52.784000,userID,2013-12-05 10:15:52.784000
1278064,481422,2344,9903,0,userID,2013-12-05 10:16:38.313000,userID,2013-12-05 10:16:38.313000
1279219,481424,2346,9903,0,userID,2013-12-05 10:19:56.437000,userID,2013-12-05 10:19:56.437000
1278624,482122,2352,9903,0,userID,2013-12-06 11:11:26.870000,userID,2013-12-06 11:11:26.870000
1277380,483636,2358,9945,0,JMLAGRO,2013-12-12 07:37:11.658000,JMLAGRO,2013-12-12 07:37:11.658000
1277415,483584,2356,9945,0,JMLAGRO,2013-12-12 07:13:29.253000,JMLAGRO,2013-12-12 07:13:29.253000
1277414,483585,2357,9945,0,JMLAGRO,2013-12-12 07:14:45.011000,JMLAGRO,2013-12-12 07:14:45.011000
1277379,483637,2359,9945,0,JMLAGRO,2013-12-12 07:38:33.824000,JMLAGRO,2013-12-12 07:38:33.824000
1277382,483640,2360,9945,0,JMLAGRO,2013-12-12 07:39:48.564000,JMLAGRO,2013-12-12 07:39:48.564000
1277381,483642,2361,9945,0,JMLAGRO,2013-12-12 07:40:59.132000,JMLAGRO,2013-12-12 07:40:59.132000
1277359,483722,2362,9945,0,JMLAGRO,2013-12-12 09:58:45.739000,JMLAGRO,2013-12-12 09:58:45.739000
1277361,483726,2364,9945,0,JMLAGRO,2013-12-12 10:00:58.608000,JMLAGRO,2013-12-12 10:00:58.608000
1278405,487677,2385,9903,0,userID,2013-12-27 12:05:47.053000,userID,2013-12-27 12:05:47.053000
1276896,484583,2370,9945,0,JMLAGRO,2013-12-13 09:43:54.480000,JMLAGRO,2013-12-13 09:43:54.480000
1279034,488223,2395,9903,0,userID,2013-12-31 11:08:16.261000,userID,2013-12-31 11:08:16.261000
1276900,488475,2396,9902,0,userID,2014-01-02 09:46:17.492000,userID,2014-01-02 09:46:17.492000
1276902,488476,2397,9902,0,guestUser,2014-01-02 09:46:17.591000,guestUser,2014-01-02 09:46:17.591000
1276903,488477,2398,9902,0,guestUser,2014-01-02 09:46:17.604000,guestUser,2014-01-02 09:46:17.604000
1276905,488478,2399,9902,0,guestUser,2014-01-02 09:46:17.609000,guestUser,2014-01-02 09:46:17.609000
1277190,488878,2401,9902,0,userID,2014-01-02 15:55:59.049000,userID,2014-01-02 15:55:59.049000
1277188,488879,2402,9902,0,PJHEID,2014-01-02 15:55:59.232000,PJHEID,2014-01-02 15:55:59.232000
1277183,488880,2403,9902,0,guestUser,2014-01-02 15:55:59.244000,guestUser,2014-01-02 15:55:59.244000
1277186,488881,2404,9902,0,guestUser,2014-01-02 15:55:59.251000,guestUser,2014-01-02 15:55:59.251000
