p_sys_id,p_event_sk,p_event_ts,p_event_cd,p_event_user_id,p_event_note_text,p_event_prcs_ind,p_event_ty_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1173037,415406,2013-04-10 15:04:41.720000,S643,NMAIER,Web Request Successful-Acct/Password Set,Y,E,0,B-Prov-Letters+437144.00,2015-04-02 21:03:26.000000,NMAIER,2013-04-10 15:05:35.449000
1276764,415552,2013-04-11 09:56:03.206000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:00:53.000000,guestUser,2013-04-11 09:56:03.210000
1276806,415561,2013-04-11 10:07:26.974000,S003,guestUser,Application number assigned,N,E,0,guestUser,2013-04-11 10:07:26.974000,guestUser,2013-04-11 10:07:26.974000
1276764,415553,2013-04-11 09:56:03.212000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2014-05-08 11:05:54.251000,guestUser,2013-04-11 09:56:03.212000
1276806,415560,2013-04-11 10:07:26.971000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:00:53.000000,guestUser,2013-04-11 10:07:26.972000
1278695,438012,2013-07-23 14:43:36.580000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7710028.00,2013-07-23 18:01:34.000000,guestUser,2013-07-23 14:43:36.580000
1276812,415605,2013-04-11 13:41:39.079000,S001,guestUser,Application rec'd from the web,Y,E,2,B-Prov-Letters+7064028.00,2013-09-25 11:16:48.417000,guestUser,2013-04-11 13:41:39.080000
1276812,415606,2013-04-11 13:41:39.081000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2013-09-25 11:16:48.417000,guestUser,2013-04-11 13:41:39.081000
1276794,415638,2013-04-11 15:29:11.005000,S001,guestUser,Application rec'd from the web,Y,E,1,B-Prov-Letters+8124948.00,2013-10-04 18:00:28.000000,guestUser,2013-04-11 15:29:11.006000
1276794,415639,2013-04-11 15:29:11.007000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2014-07-14 13:59:24.213000,guestUser,2013-04-11 15:29:11.007000
1276838,416009,2013-04-16 11:11:39.952000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7096645.00,2013-04-16 18:00:21.000000,guestUser,2013-04-16 11:11:39.953000
1156255,415674,2013-04-11 18:02:33.607000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.932000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.932000
1171569,415675,2013-04-11 18:02:33.684000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.932000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.932000
1001812,415676,2013-04-11 18:02:33.582000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000
1153961,415677,2013-04-11 18:02:33.632000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000
1154525,415678,2013-04-11 18:02:33.869000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000
1159274,415679,2013-04-11 18:02:33.892000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.933000
1154061,415681,2013-04-11 18:02:33.763000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.934000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.934000
1171416,415682,2013-04-11 18:02:33.711000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.936000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.936000
1153956,415683,2013-04-11 18:02:33.816000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.936000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.936000
1153940,415684,2013-04-11 18:02:33.789000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000
1172012,415685,2013-04-11 18:02:33.658000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000
1000004,415686,2013-04-11 18:02:33.737000,S670,B-Prov-Letters+7064028.00,password set faliure,N,E,0,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000,B-Prov-Letters+7064028.00,2013-04-11 18:02:33.937000
1276823,415742,2013-04-12 10:45:21.549000,S001,guestUser,Application rec'd from the web,Y,E,1,guestUser,2013-04-12 11:04:45.693000,guestUser,2013-04-12 10:45:21.550000
1278695,438013,2013-07-23 14:43:36.582000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2014-03-04 12:09:08.062000,guestUser,2013-07-23 14:43:36.582000
1276823,415743,2013-04-12 10:45:21.551000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2013-04-12 11:04:45.692000,guestUser,2013-04-12 10:45:21.551000
1276838,416010,2013-04-16 11:11:39.955000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2014-03-20 14:55:01.116000,guestUser,2013-04-16 11:11:39.956000
1276849,416069,2013-04-16 15:54:22.205000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7096645.00,2013-04-16 18:00:21.000000,guestUser,2013-04-16 15:54:22.206000
1278715,438096,2013-07-23 16:26:07.627000,S001,guestUser,Application rec'd from the web,Y,E,2,B-Prov-Letters+7710028.00,2013-10-09 09:42:49.348000,guestUser,2013-07-23 16:26:07.628000
1276849,416070,2013-04-16 15:54:22.207000,S003,guestUser,Application number assigned,N,E,0,guestUser,2013-04-16 15:54:22.207000,guestUser,2013-04-16 15:54:22.207000
1276843,416028,2013-04-16 12:30:47.825000,S001,guestUser,Application rec'd from the web,Y,E,1,B-Prov-Letters+7517443.00,2013-06-18 18:00:40.000000,guestUser,2013-04-16 12:30:47.825000
1276843,416029,2013-04-16 12:30:47.827000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2013-11-08 13:01:21.823000,guestUser,2013-04-16 12:30:47.827000
1001832,416039,2013-04-16 13:29:33.284000,S643,JMONTEZ,Web Request Successful,Y,E,0,guestUser,2013-04-16 13:29:33.285000,guestUser,2013-04-16 13:29:33.285000
1276855,416133,2013-04-17 09:59:43.580000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:00:28.000000,guestUser,2013-04-17 09:59:43.581000
1276855,416134,2013-04-17 09:59:43.582000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2014-03-20 08:29:21.851000,guestUser,2013-04-17 09:59:43.582000
1278715,438097,2013-07-23 16:26:07.629000,S003,guestUser,Application number assigned,Y,E,1,guestUser,2013-10-09 09:42:49.351000,guestUser,2013-07-23 16:26:07.629000
1156255,416312,2013-04-17 18:03:03.224000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.661000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.661000
1001838,416313,2013-04-17 18:03:03.253000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,1,JMLAGRO,2014-04-11 07:22:22.772000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000
1171569,416314,2013-04-17 18:03:03.317000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000
1001812,416315,2013-04-17 18:03:03.187000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000
1153961,416316,2013-04-17 18:03:03.352000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.662000
1276821,415871,2013-04-15 09:42:07.722000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7089683.00,2013-04-15 18:00:30.000000,guestUser,2013-04-15 09:42:07.723000
1000004,416327,2013-04-17 18:03:03.440000,S670,B-Prov-Letters+7103611.00,password set faliure,N,E,0,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.668000,B-Prov-Letters+7103611.00,2013-04-17 18:03:03.668000
1276772,415877,2013-04-15 09:58:30.121000,S001,guestUser,Application rec'd from the web,Y,E,0,B-Prov-Letters+7089683.00,2013-04-15 18:00:30.000000,guestUser,2013-04-15 09:58:30.122000
