p_sys_id,p_endrsmnt_cd,p_endrsmnt_nam,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1279394,I,Temp/Blood Pres/Respiration Rate/Pulse,0,NMAIER,2013-08-09 13:52:01.415000,NMAIER,2013-08-09 13:52:01.415000
1281211,E,"Suppository, Non-prescription",0,guestUser,2013-11-22 16:32:11.602000,guestUser,2013-11-22 16:32:11.602000
1279392,A,Exercise,0,NMAIER,2013-08-09 14:09:43.632000,NMAIER,2013-08-09 14:09:43.632000
1276787,A,Exercise,0,guestUser,2013-04-10 10:34:17.747000,guestUser,2013-04-10 10:34:17.747000
1276787,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2013-04-10 10:34:17.747000,guestUser,2013-04-10 10:34:17.747000
1276787,C,Ted Stockings,0,guestUser,2013-04-10 10:34:17.747000,guestUser,2013-04-10 10:34:17.747000
1281708,E,"Suppository, Non-prescription",0,NMAIER,2014-01-07 11:49:45.485000,NMAIER,2014-01-07 11:49:45.485000
1281708,D,"Medical Gasses, Oxygen Only",0,NMAIER,2014-01-07 11:49:45.485000,NMAIER,2014-01-07 11:49:45.485000
1279394,G,Cognitive/Supervision,0,NMAIER,2013-08-09 13:52:01.415000,NMAIER,2013-08-09 13:52:01.415000
1279394,C,Ted Stockings,0,NMAIER,2013-08-09 13:52:01.416000,NMAIER,2013-08-09 13:52:01.416000
1281708,I,Temp/Blood Pres/Respiration Rate/Pulse,0,NMAIER,2014-01-07 11:49:45.485000,NMAIER,2014-01-07 11:49:45.485000
1281708,C,Ted Stockings,0,NMAIER,2014-01-07 11:49:45.486000,NMAIER,2014-01-07 11:49:45.486000
1281708,H,Prosthesis/Orthotics/Adaptive Devices,0,NMAIER,2014-01-07 11:49:45.486000,NMAIER,2014-01-07 11:49:45.486000
1281708,B,Catheter,0,NMAIER,2014-01-07 11:49:45.486000,NMAIER,2014-01-07 11:49:45.486000
1281708,G,Cognitive/Supervision,0,NMAIER,2014-01-07 11:49:45.487000,NMAIER,2014-01-07 11:49:45.487000
1281708,A,Exercise,0,NMAIER,2014-01-07 11:49:45.487000,NMAIER,2014-01-07 11:49:45.487000
1281211,D,"Medical Gasses, Oxygen Only",0,guestUser,2013-11-22 16:32:11.602000,guestUser,2013-11-22 16:32:11.602000
1281211,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2013-11-22 16:32:11.603000,guestUser,2013-11-22 16:32:11.603000
