p_sys_id,p_endrsmnt_cd,p_endrsmnt_nam,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1282382,E,"Suppository, Non-prescription",0,guestUser,2014-01-28 15:13:33.068000,guestUser,2014-01-28 15:13:33.068000
1282382,D,"Medical Gasses, Oxygen Only",0,guestUser,2014-01-28 15:13:33.068000,guestUser,2014-01-28 15:13:33.068000
1282382,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2014-01-28 15:13:33.068000,guestUser,2014-01-28 15:13:33.068000
1282382,C,Ted Stockings,0,guestUser,2014-01-28 15:13:33.069000,guestUser,2014-01-28 15:13:33.069000
1282382,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2014-01-28 15:13:33.069000,guestUser,2014-01-28 15:13:33.069000
1282382,B,Catheter,0,guestUser,2014-01-28 15:13:33.069000,guestUser,2014-01-28 15:13:33.069000
1282382,G,Cognitive/Supervision,0,guestUser,2014-01-28 15:13:33.069000,guestUser,2014-01-28 15:13:33.069000
1282382,A,Exercise,0,guestUser,2014-01-28 15:13:33.070000,guestUser,2014-01-28 15:13:33.070000
1282382,F,Hoyer Lift/Mechanized Bath Chair,0,guestUser,2014-01-28 15:13:33.070000,guestUser,2014-01-28 15:13:33.070000
1277630,D,"Medical Gasses, Oxygen Only",0,guestUser,2013-06-05 01:44:25.260000,guestUser,2013-06-05 01:44:25.260000
1282675,E,"Suppository, Non-prescription",0,SMCNEIL,2014-02-12 15:08:59.733000,SMCNEIL,2014-02-12 15:08:59.733000
1282665,E,"Suppository, Non-prescription",0,guestUser,2014-02-12 13:58:57.995000,guestUser,2014-02-12 13:58:57.995000
1282665,D,"Medical Gasses, Oxygen Only",0,guestUser,2014-02-12 13:58:57.995000,guestUser,2014-02-12 13:58:57.995000
1282665,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2014-02-12 13:58:57.996000,guestUser,2014-02-12 13:58:57.996000
1282665,C,Ted Stockings,0,guestUser,2014-02-12 13:58:57.996000,guestUser,2014-02-12 13:58:57.996000
1282665,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2014-02-12 13:58:57.996000,guestUser,2014-02-12 13:58:57.996000
1282665,B,Catheter,0,guestUser,2014-02-12 13:58:57.996000,guestUser,2014-02-12 13:58:57.996000
1282665,G,Cognitive/Supervision,0,guestUser,2014-02-12 13:58:57.996000,guestUser,2014-02-12 13:58:57.996000
1282665,A,Exercise,0,guestUser,2014-02-12 13:58:57.997000,guestUser,2014-02-12 13:58:57.997000
1282665,F,Hoyer Lift/Mechanized Bath Chair,0,guestUser,2014-02-12 13:58:57.997000,guestUser,2014-02-12 13:58:57.997000
1282675,G,Cognitive/Supervision,0,SMCNEIL,2014-02-12 15:08:59.733000,SMCNEIL,2014-02-12 15:08:59.733000
1282675,C,Ted Stockings,0,SMCNEIL,2014-02-12 15:08:59.734000,SMCNEIL,2014-02-12 15:08:59.734000
1282679,E,"Suppository, Non-prescription",0,guestUser,2014-02-12 15:35:38.691000,guestUser,2014-02-12 15:35:38.691000
1282679,D,"Medical Gasses, Oxygen Only",0,guestUser,2014-02-12 15:35:38.691000,guestUser,2014-02-12 15:35:38.691000
1282679,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2014-02-12 15:35:38.691000,guestUser,2014-02-12 15:35:38.691000
1282679,C,Ted Stockings,0,guestUser,2014-02-12 15:35:38.691000,guestUser,2014-02-12 15:35:38.691000
1282679,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2014-02-12 15:35:38.692000,guestUser,2014-02-12 15:35:38.692000
1282679,B,Catheter,0,guestUser,2014-02-12 15:35:38.692000,guestUser,2014-02-12 15:35:38.692000
1282679,G,Cognitive/Supervision,0,guestUser,2014-02-12 15:35:38.692000,guestUser,2014-02-12 15:35:38.692000
1282679,A,Exercise,0,guestUser,2014-02-12 15:35:38.692000,guestUser,2014-02-12 15:35:38.692000
1282679,F,Hoyer Lift/Mechanized Bath Chair,0,guestUser,2014-02-12 15:35:38.693000,guestUser,2014-02-12 15:35:38.693000
1278317,E,"Suppository, Non-prescription",0,guestUser,2013-07-06 00:39:19.503000,guestUser,2013-07-06 00:39:19.503000
1278317,D,"Medical Gasses, Oxygen Only",0,guestUser,2013-07-06 00:39:19.504000,guestUser,2013-07-06 00:39:19.504000
1278317,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2013-07-06 00:39:19.504000,guestUser,2013-07-06 00:39:19.504000
1278317,C,Ted Stockings,0,guestUser,2013-07-06 00:39:19.504000,guestUser,2013-07-06 00:39:19.504000
1278317,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2013-07-06 00:39:19.504000,guestUser,2013-07-06 00:39:19.504000
1278317,G,Cognitive/Supervision,0,guestUser,2013-07-06 00:39:19.505000,guestUser,2013-07-06 00:39:19.505000
1278317,A,Exercise,0,guestUser,2013-07-06 00:39:19.505000,guestUser,2013-07-06 00:39:19.505000
1278317,F,Hoyer Lift/Mechanized Bath Chair,0,guestUser,2013-07-06 00:39:19.505000,guestUser,2013-07-06 00:39:19.505000
1277426,E,"Suppository, Non-prescription",0,guestUser,2013-05-10 14:00:21.041000,guestUser,2013-05-10 14:00:21.041000
1277426,D,"Medical Gasses, Oxygen Only",0,guestUser,2013-05-10 14:00:21.041000,guestUser,2013-05-10 14:00:21.041000
1277426,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2013-05-10 14:00:21.042000,guestUser,2013-05-10 14:00:21.042000
1277426,C,Ted Stockings,0,guestUser,2013-05-10 14:00:21.042000,guestUser,2013-05-10 14:00:21.042000
1277426,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2013-05-10 14:00:21.042000,guestUser,2013-05-10 14:00:21.042000
1277426,B,Catheter,0,guestUser,2013-05-10 14:00:21.043000,guestUser,2013-05-10 14:00:21.043000
1277426,G,Cognitive/Supervision,0,guestUser,2013-05-10 14:00:21.043000,guestUser,2013-05-10 14:00:21.043000
1277426,A,Exercise,0,guestUser,2013-05-10 14:00:21.043000,guestUser,2013-05-10 14:00:21.043000
1277426,F,Hoyer Lift/Mechanized Bath Chair,0,guestUser,2013-05-10 14:00:21.043000,guestUser,2013-05-10 14:00:21.043000
1283979,D,"Medical Gasses, Oxygen Only",0,KRBACKMAN,2014-04-11 11:30:31.456000,KRBACKMAN,2014-04-11 11:30:31.456000
1283979,I,Temp/Blood Pres/Respiration Rate/Pulse,0,KRBACKMAN,2014-04-11 11:30:31.457000,KRBACKMAN,2014-04-11 11:30:31.457000
1283979,C,Ted Stockings,0,KRBACKMAN,2014-04-11 11:30:31.457000,KRBACKMAN,2014-04-11 11:30:31.457000
1283979,H,Prosthesis/Orthotics/Adaptive Devices,0,KRBACKMAN,2014-04-11 11:30:31.457000,KRBACKMAN,2014-04-11 11:30:31.457000
1283979,B,Catheter,0,KRBACKMAN,2014-04-11 11:30:31.457000,KRBACKMAN,2014-04-11 11:30:31.457000
1284207,H,Prosthesis/Orthotics/Adaptive Devices,0,guestUser,2014-04-10 12:57:52.176000,guestUser,2014-04-10 12:57:52.176000
1284207,E,"Suppository, Non-prescription",0,guestUser,2014-04-10 12:57:52.177000,guestUser,2014-04-10 12:57:52.177000
1284207,G,Cognitive/Supervision,0,guestUser,2014-04-10 12:57:52.177000,guestUser,2014-04-10 12:57:52.177000
1284207,A,Exercise,0,guestUser,2014-04-10 12:57:52.177000,guestUser,2014-04-10 12:57:52.177000
1284207,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2014-04-10 12:57:52.178000,guestUser,2014-04-10 12:57:52.178000
1284752,E,"Suppository, Non-prescription",0,KRBACKMAN,2014-04-22 15:35:48.500000,KRBACKMAN,2014-04-22 15:35:48.500000
1284752,D,"Medical Gasses, Oxygen Only",0,KRBACKMAN,2014-04-22 15:35:48.500000,KRBACKMAN,2014-04-22 15:35:48.500000
1284752,I,Temp/Blood Pres/Respiration Rate/Pulse,0,KRBACKMAN,2014-04-22 15:35:48.500000,KRBACKMAN,2014-04-22 15:35:48.500000
1284752,C,Ted Stockings,0,KRBACKMAN,2014-04-22 15:35:48.501000,KRBACKMAN,2014-04-22 15:35:48.501000
1284752,H,Prosthesis/Orthotics/Adaptive Devices,0,KRBACKMAN,2014-04-22 15:35:48.501000,KRBACKMAN,2014-04-22 15:35:48.501000
1284752,B,Catheter,0,KRBACKMAN,2014-04-22 15:35:48.501000,KRBACKMAN,2014-04-22 15:35:48.501000
1284752,G,Cognitive/Supervision,0,KRBACKMAN,2014-04-22 15:35:48.502000,KRBACKMAN,2014-04-22 15:35:48.502000
1283979,G,Cognitive/Supervision,0,KRBACKMAN,2014-04-11 11:30:31.458000,KRBACKMAN,2014-04-11 11:30:31.458000
1283979,A,Exercise,0,KRBACKMAN,2014-04-11 11:30:31.458000,KRBACKMAN,2014-04-11 11:30:31.458000
1284655,E,"Suppository, Non-prescription",0,guestUser,2014-04-18 15:28:45.501000,guestUser,2014-04-18 15:28:45.501000
1284655,I,Temp/Blood Pres/Respiration Rate/Pulse,0,guestUser,2014-04-18 15:28:45.502000,guestUser,2014-04-18 15:28:45.502000
1284655,A,Exercise,0,guestUser,2014-04-18 15:28:45.502000,guestUser,2014-04-18 15:28:45.502000
1284655,C,Ted Stockings,0,guestUser,2014-04-18 15:28:45.503000,guestUser,2014-04-18 15:28:45.503000
1284752,A,Exercise,0,KRBACKMAN,2014-04-22 15:35:48.502000,KRBACKMAN,2014-04-22 15:35:48.502000
1284752,F,Hoyer Lift/Mechanized Bath Chair,0,KRBACKMAN,2014-04-22 15:35:48.502000,KRBACKMAN,2014-04-22 15:35:48.502000
1286424,D,"Medical Gasses, Oxygen Only",0,KRBACKMAN,2014-05-14 11:32:47.408000,KRBACKMAN,2014-05-14 11:32:47.408000
1286424,I,Temp/Blood Pres/Respiration Rate/Pulse,0,KRBACKMAN,2014-05-14 11:32:47.408000,KRBACKMAN,2014-05-14 11:32:47.408000
1286424,C,Ted Stockings,0,KRBACKMAN,2014-05-14 11:32:47.408000,KRBACKMAN,2014-05-14 11:32:47.408000
1286424,H,Prosthesis/Orthotics/Adaptive Devices,0,KRBACKMAN,2014-05-14 11:32:47.409000,KRBACKMAN,2014-05-14 11:32:47.409000
1286424,B,Catheter,0,KRBACKMAN,2014-05-14 11:32:47.409000,KRBACKMAN,2014-05-14 11:32:47.409000
1286424,G,Cognitive/Supervision,0,KRBACKMAN,2014-05-14 11:32:47.409000,KRBACKMAN,2014-05-14 11:32:47.409000
1286424,A,Exercise,0,KRBACKMAN,2014-05-14 11:32:47.410000,KRBACKMAN,2014-05-14 11:32:47.410000
1286424,F,Hoyer Lift/Mechanized Bath Chair,0,KRBACKMAN,2014-05-14 11:32:47.410000,KRBACKMAN,2014-05-14 11:32:47.410000
1286822,E,"Suppository, Non-prescription",0,KRBACKMAN,2014-05-20 15:24:22.713000,KRBACKMAN,2014-05-20 15:24:22.713000
1284893,E,"Suppository, Non-prescription",0,KRBACKMAN,2014-04-22 15:39:40.379000,KRBACKMAN,2014-04-22 15:39:40.379000
1284893,D,"Medical Gasses, Oxygen Only",0,KRBACKMAN,2014-04-22 15:39:40.379000,KRBACKMAN,2014-04-22 15:39:40.379000
1284893,I,Temp/Blood Pres/Respiration Rate/Pulse,0,KRBACKMAN,2014-04-22 15:39:40.379000,KRBACKMAN,2014-04-22 15:39:40.379000
1284893,C,Ted Stockings,0,KRBACKMAN,2014-04-22 15:39:40.380000,KRBACKMAN,2014-04-22 15:39:40.380000
1284893,H,Prosthesis/Orthotics/Adaptive Devices,0,KRBACKMAN,2014-04-22 15:39:40.380000,KRBACKMAN,2014-04-22 15:39:40.380000
