p_if_nam,p_ty_cd,p_specl_cd,g_aud_user_id,g_aud_add_ts,p_indiv_grp_cd
THERAP,048,323,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,318,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,324,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,312,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,313,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,309,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,651,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,627,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,637,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,321,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,394,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,655,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,317,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,316,DataFix_ESPRD01278924,2020-12-17 20:33:55.000000,
THERAP,048,180,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,327,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,326,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,205,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,396,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,656,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,320,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,251,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,399,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,622,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,306,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,081,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,125,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,513,DataFix_ESPRD01278924,2020-12-17 20:33:56.000000,
THERAP,048,287,DataFix_ESPRD01278924,2020-12-17 20:33:57.000000,
THERAP,048,329,DataFix_ESPRD01278924,2020-12-17 20:33:57.000000,
SANDATA,039,177,DataFix_ESPRD01285372,2021-08-12 20:30:41.000000,
SANDATA,039,178,DataFix_ESPRD01285372,2021-08-12 20:30:41.000000,
SANDATA,039,179,DataFix_ESPRD01285372,2021-08-12 20:30:41.000000,
SANDATA,039,180,DataFix_ESPRD01285372,2021-08-12 20:30:42.000000,
SANDATA,039,181,DataFix_ESPRD01285372,2021-08-12 20:30:42.000000,
SANDATA,039,183,DataFix_ESPRD01285372,2021-08-12 20:30:42.000000,
SANDATA,039,184,DataFix_ESPRD01285372,2021-08-12 20:30:42.000000,
SANDATA,039,185,DataFix_ESPRD01285372,2021-08-12 20:30:42.000000,
SANDATA,039,186,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,188,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,189,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,190,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,191,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,192,DataFix_ESPRD01285372,2021-08-12 20:30:43.000000,
SANDATA,039,193,DataFix_ESPRD01285372,2021-08-12 20:30:44.000000,
SANDATA,039,194,DataFix_ESPRD01285372,2021-08-12 20:30:44.000000,
SANDATA,039,195,DataFix_ESPRD01285372,2021-08-12 20:30:44.000000,
SANDATA,039,196,DataFix_ESPRD01285372,2021-08-12 20:30:44.000000,
SANDATA,039,197,DataFix_ESPRD01285372,2021-08-12 20:30:44.000000,
SANDATA,039,198,DataFix_ESPRD01285372,2021-08-12 20:30:45.000000,
SANDATA,039,199,DataFix_ESPRD01285372,2021-08-12 20:30:45.000000,
