p_sys_id,p_lang_sk,p_lang_cd,p_prim_lang_ind,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276763,140852,EN,Y,0,guestUser,2013-04-05 13:47:36.335000,guestUser,2013-04-05 13:47:36.335000
1277137,145282,EN,Y,0,guestUser,2013-05-01 13:22:23.768000,guestUser,2013-05-01 13:22:23.768000
1276762,140836,EN,Y,0,guestUser,2013-04-05 10:01:52.112000,guestUser,2013-04-05 10:01:52.112000
1277080,146776,EN,Y,0,guestUser,2013-05-07 09:37:29.672000,guestUser,2013-05-07 09:37:29.672000
1277134,145272,EN,Y,0,guestUser,2013-05-01 13:00:23.169000,guestUser,2013-05-01 13:00:23.169000
1277163,145530,EN,Y,0,guestUser,2013-05-02 08:37:45.421000,guestUser,2013-05-02 08:37:45.421000
1281587,198741,EN,Y,0,guestUser,2014-01-02 16:13:46.926000,guestUser,2014-01-02 16:13:46.926000
1277480,169901,EN,Y,0,guestUser,2013-08-13 12:40:26.726000,guestUser,2013-08-13 12:40:26.726000
1290883,375211,EN,Y,0,GUESTUSER,2014-10-08 10:22:54.428000,GUESTUSER,2014-10-08 10:22:54.428000
1278720,169192,EN,Y,0,guestUser,2013-08-12 16:17:44.901000,guestUser,2013-08-12 16:17:44.901000
1279182,170115,EN,Y,0,guestUser,2013-08-13 13:24:57.220000,guestUser,2013-08-13 13:24:57.220000
1281562,198817,EN,Y,0,guestUser,2014-01-03 14:10:21.476000,guestUser,2014-01-03 14:10:21.476000
1278369,169904,EN,Y,0,guestUser,2013-08-13 12:41:08.902000,guestUser,2013-08-13 12:41:08.902000
1190029,375309,EN,N,0,JMLAGRO,2014-10-08 13:42:17.114000,JMLAGRO,2014-10-08 13:42:17.114000
1277178,145594,EN,Y,0,guestUser,2013-05-02 10:37:10.952000,guestUser,2013-05-02 10:37:10.952000
1279390,168115,EN,Y,0,guestUser,2013-08-09 12:34:32.393000,guestUser,2013-08-09 12:34:32.393000
1281694,375244,EN,Y,0,JMLAGRO,2014-10-08 11:17:07.698000,JMLAGRO,2014-10-08 11:17:07.698000
1287821,375236,EN,Y,0,GUESTUSER,2014-10-08 10:59:42.636000,GUESTUSER,2014-10-08 10:59:42.636000
1277123,146911,EN,Y,0,guestUser,2013-05-07 14:37:53.377000,guestUser,2013-05-07 14:37:53.377000
1277190,145738,EN,Y,0,guestUser,2013-05-02 12:06:45.251000,guestUser,2013-05-02 12:06:45.251000
1286651,375223,EN,Y,0,GUESTUSER,2014-10-08 10:35:32.791000,GUESTUSER,2014-10-08 10:35:32.791000
1277501,169927,EN,Y,0,guestUser,2013-08-13 13:04:38.251000,guestUser,2013-08-13 13:04:38.251000
1279322,169916,EN,Y,0,guestUser,2013-08-13 12:53:28.374000,guestUser,2013-08-13 12:53:28.374000
1278421,169924,EN,Y,0,guestUser,2013-08-13 13:04:06.082000,guestUser,2013-08-13 13:04:06.082000
1277195,146943,EN,Y,0,guestUser,2013-05-07 16:19:27.367000,guestUser,2013-05-07 16:19:27.367000
1277499,170181,EN,Y,0,guestUser,2013-08-13 14:02:43.340000,guestUser,2013-08-13 14:02:43.340000
1277354,146983,EN,Y,0,guestUser,2013-05-08 09:55:24.724000,guestUser,2013-05-08 09:55:24.724000
1277066,147128,EN,Y,0,guestUser,2013-05-08 16:34:03.486000,guestUser,2013-05-08 16:34:03.486000
1278462,170400,EN,Y,0,guestUser,2013-08-13 14:29:46.688000,guestUser,2013-08-13 14:29:46.688000
1278464,170414,EN,Y,0,guestUser,2013-08-13 14:36:12.633000,guestUser,2013-08-13 14:36:12.633000
1277484,170575,EN,Y,0,guestUser,2013-08-13 14:46:48.987000,guestUser,2013-08-13 14:46:48.987000
1277485,170422,EN,Y,0,guestUser,2013-08-13 14:44:13.687000,guestUser,2013-08-13 14:44:13.687000
1277998,152999,EN,Y,0,guestUser,2013-06-14 09:39:13.027000,guestUser,2013-06-14 09:39:13.027000
1277388,147215,EN,Y,0,guestUser,2013-05-09 10:30:10.365000,guestUser,2013-05-09 10:30:10.365000
1277977,152602,EN,Y,0,guestUser,2013-06-11 14:42:07.994000,guestUser,2013-06-11 14:42:07.994000
1278000,152728,EN,Y,0,guestUser,2013-06-12 16:40:14.536000,guestUser,2013-06-12 16:40:14.536000
1278011,152890,EN,Y,0,guestUser,2013-06-13 13:20:45.646000,guestUser,2013-06-13 13:20:45.646000
1278031,153005,EN,Y,0,guestUser,2013-06-14 10:02:36.377000,guestUser,2013-06-14 10:02:36.377000
1282262,375271,EN,Y,0,JMLAGRO,2014-10-08 12:37:59.222000,JMLAGRO,2014-10-08 12:37:59.222000
1278035,153086,EN,Y,0,guestUser,2013-06-14 14:16:24.571000,guestUser,2013-06-14 14:16:24.571000
1282146,375302,EN,Y,0,JMLAGRO,2014-10-08 13:28:22.432000,JMLAGRO,2014-10-08 13:28:22.432000
1277437,147467,EN,Y,0,guestUser,2013-05-10 12:07:30.711000,guestUser,2013-05-10 12:07:30.711000
1277429,147461,EN,Y,0,guestUser,2013-05-10 11:43:42.774000,guestUser,2013-05-10 11:43:42.774000
1290388,375349,EN,Y,0,GUESTUSER,2014-10-08 14:59:10.806000,GUESTUSER,2014-10-08 14:59:10.806000
1277426,147532,EN,Y,0,guestUser,2013-05-10 14:00:21.035000,guestUser,2013-05-10 14:00:21.035000
1277997,153102,EN,Y,0,guestUser,2013-06-14 14:39:33.798000,guestUser,2013-06-14 14:39:33.798000
1277453,147595,EN,Y,0,guestUser,2013-05-11 14:15:56.959000,guestUser,2013-05-11 14:15:56.959000
1277431,147697,EN,Y,0,guestUser,2013-05-13 12:41:36.162000,guestUser,2013-05-13 12:41:36.162000
1277309,147771,EN,Y,0,guestUser,2013-05-13 15:46:33.024000,guestUser,2013-05-13 15:46:33.024000
1278038,153103,EN,Y,0,guestUser,2013-06-14 14:39:33.993000,guestUser,2013-06-14 14:39:33.993000
1279473,170535,CZ,N,1,PAULASOLL,2014-03-07 15:12:19.009000,guestUser,2013-08-13 14:46:02.237000
1279473,170536,GR,N,1,PAULASOLL,2014-03-07 15:12:19.021000,guestUser,2013-08-13 14:46:02.237000
1279473,170537,SY,N,1,PAULASOLL,2014-03-07 15:12:19.007000,guestUser,2013-08-13 14:46:02.238000
1279473,170538,CH,N,1,PAULASOLL,2014-03-07 15:12:19.020000,guestUser,2013-08-13 14:46:02.238000
1279473,170539,ZZ,N,1,PAULASOLL,2014-03-07 15:12:19.006000,guestUser,2013-08-13 14:46:02.238000
1279473,170540,HI,N,1,PAULASOLL,2014-03-07 15:12:19.005000,guestUser,2013-08-13 14:46:02.239000
1279473,170541,IN,N,1,PAULASOLL,2014-03-07 15:12:19.011000,guestUser,2013-08-13 14:46:02.239000
1279473,170542,BA,N,1,PAULASOLL,2014-03-07 15:12:19.004000,guestUser,2013-08-13 14:46:02.239000
1279473,170543,CR,N,1,PAULASOLL,2014-03-07 15:12:19.010000,guestUser,2013-08-13 14:46:02.240000
1279473,170544,CN,N,1,PAULASOLL,2014-03-07 15:12:19.023000,guestUser,2013-08-13 14:46:02.240000
1279473,170545,NA,N,1,PAULASOLL,2014-03-07 15:12:19.009000,guestUser,2013-08-13 14:46:02.240000
1279473,170546,UK,N,1,PAULASOLL,2014-03-07 15:12:19.022000,guestUser,2013-08-13 14:46:02.240000
1279473,170547,VN,N,1,PAULASOLL,2014-03-07 15:12:19.008000,guestUser,2013-08-13 14:46:02.241000
1279473,170548,SL,N,1,PAULASOLL,2014-03-07 15:12:19.021000,guestUser,2013-08-13 14:46:02.241000
1279473,170549,AR,N,1,PAULASOLL,2014-03-07 15:12:19.006000,guestUser,2013-08-13 14:46:02.242000
1279473,170550,IT,N,1,PAULASOLL,2014-03-07 15:12:19.006000,guestUser,2013-08-13 14:46:02.242000
1279473,170551,MN,N,1,PAULASOLL,2014-03-07 15:24:38.033000,guestUser,2013-08-13 14:46:02.242000
1279473,170552,AL,N,1,PAULASOLL,2014-03-07 15:12:19.005000,guestUser,2013-08-13 14:46:02.242000
1279473,170553,KO,N,1,PAULASOLL,2014-03-07 15:12:19.011000,guestUser,2013-08-13 14:46:02.243000
1279473,170554,CC,N,1,PAULASOLL,2014-03-07 15:12:19.004000,guestUser,2013-08-13 14:46:02.243000
1279473,170555,RO,N,1,PAULASOLL,2014-03-07 15:12:19.010000,guestUser,2013-08-13 14:46:02.243000
1279473,170556,TU,N,1,PAULASOLL,2014-03-07 15:12:19.023000,guestUser,2013-08-13 14:46:02.243000
1279473,170557,FR,N,1,PAULASOLL,2014-03-07 15:12:19.009000,guestUser,2013-08-13 14:46:02.244000
1279473,170558,JA,N,1,PAULASOLL,2014-03-07 15:12:19.022000,guestUser,2013-08-13 14:46:02.244000
1279473,170559,FP,N,1,PAULASOLL,2014-03-07 15:12:19.007000,guestUser,2013-08-13 14:46:02.245000
1279473,170560,SW,N,1,PAULASOLL,2014-03-07 15:12:19.007000,guestUser,2013-08-13 14:46:02.245000
1279473,170561,EN,Y,2,PAULASOLL,2014-03-07 15:24:38.033000,guestUser,2013-08-13 14:46:02.245000
1279473,170562,SA,N,1,PAULASOLL,2014-03-07 15:12:19.006000,guestUser,2013-08-13 14:46:02.245000
1279473,170563,LA,N,1,PAULASOLL,2014-03-07 15:12:19.011000,guestUser,2013-08-13 14:46:02.246000
1277964,152407,EN,Y,0,guestUser,2013-06-10 13:21:39.450000,guestUser,2013-06-10 13:21:39.450000
1276779,140969,EN,Y,0,guestUser,2013-04-09 15:49:47.976000,guestUser,2013-04-09 15:49:47.976000
1276802,141202,EN,Y,0,guestUser,2013-04-10 16:27:24.401000,guestUser,2013-04-10 16:27:24.401000
1276777,140952,EN,Y,0,guestUser,2013-04-09 15:03:59.727000,guestUser,2013-04-09 15:03:59.727000
1276773,140933,EN,Y,0,guestUser,2013-04-09 14:11:00.908000,guestUser,2013-04-09 14:11:00.908000
1276772,141568,EN,Y,0,guestUser,2013-04-15 09:58:30.046000,guestUser,2013-04-15 09:58:30.046000
1276798,141141,EN,Y,0,guestUser,2013-04-10 13:52:53.475000,guestUser,2013-04-10 13:52:53.475000
1279047,164627,EN,Y,0,guestUser,2013-07-31 11:21:20.662000,guestUser,2013-07-31 11:21:20.662000
1277065,144530,EN,Y,0,guestUser,2013-04-26 16:47:34.979000,guestUser,2013-04-26 16:47:34.979000
1277273,146485,EN,Y,0,guestUser,2013-05-06 11:51:26.107000,guestUser,2013-05-06 11:51:26.107000
1285411,375368,EN,Y,0,GUESTUSER,2014-10-08 15:37:12.753000,GUESTUSER,2014-10-08 15:37:12.753000
1277079,144718,EN,Y,0,guestUser,2013-04-29 14:33:21.050000,guestUser,2013-04-29 14:33:21.050000
1277269,146465,EN,Y,0,guestUser,2013-05-06 11:40:49.532000,guestUser,2013-05-06 11:40:49.532000
1277268,146421,EN,Y,0,guestUser,2013-05-06 11:05:26.861000,guestUser,2013-05-06 11:05:26.861000
1277266,146425,EN,Y,0,guestUser,2013-05-06 11:06:22.627000,guestUser,2013-05-06 11:06:22.627000
1277525,170982,EN,Y,0,guestUser,2013-08-14 09:45:52.650000,guestUser,2013-08-14 09:45:52.650000
1277275,146503,EN,Y,0,guestUser,2013-05-06 11:57:44.351000,guestUser,2013-05-06 11:57:44.351000
1277277,146513,EN,Y,0,guestUser,2013-05-06 12:10:49.715000,guestUser,2013-05-06 12:10:49.715000
1277280,146538,EN,Y,0,guestUser,2013-05-06 12:32:12.520000,guestUser,2013-05-06 12:32:12.520000
1277281,146554,EN,Y,0,guestUser,2013-05-06 12:42:13.858000,guestUser,2013-05-06 12:42:13.858000
