p_sys_id,p_mc_prtcptn_prog_cd,p_mc_prog_prtcptn_beg_dt,p_mc_prog_prtcptn_end_dt,p_mc_stat_cd,p_mc_prtcptn_rsn_cd,g_aud_add_ts,g_aud_add_user_id,g_aud_ts,g_aud_user_id,p_mc_max_mbr_cnt,p_mc_act_mbr_cnt
1000766,P,2011-07-28,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2021-11-30 17:33:03.000000,DATAFIX_ESPRD01296104,1500,30
1000767,P,2011-07-26,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,8
1000768,P,2011-08-01,2013-09-30,00,,2013-03-28 03:57:57.000000,Provider conversion,2018-09-07 17:14:25.000000,DATAFIX_HT1123162,1500,0
1000772,P,2011-08-01,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,0
1000773,P,2011-07-15,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2013-03-28 03:57:57.000000,Provider conversion,1500,0
1000775,P,2011-08-08,2011-12-31,99,PNP,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2017-11-28 18:09:17.000000,DATAFIX_HT1043429,1500,1
1000775,P,2012-01-01,2012-03-23,99,PNP,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2017-11-28 18:09:17.000000,DATAFIX_HT1043429,1500,1
1000776,P,2011-08-15,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,41
1000781,P,2011-08-08,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2019-11-29 13:54:04.404000,KHANDELAND,1500,0
1000785,P,2011-07-25,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,87
1000786,P,2011-07-01,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2019-11-29 13:53:47.268000,KHANDELAND,1500,0
1000789,P,2011-07-22,2012-06-30,00,,2013-03-28 03:57:57.000000,Provider conversion,2013-03-28 03:57:57.000000,Provider conversion,1500,0
1000790,P,2011-08-15,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,28
1000791,P,2011-08-01,2011-11-01,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2015-05-20 10:56:59.923000,MAURICIOPENERAND,1500,0
1000791,P,2011-11-02,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2015-05-20 10:56:59.924000,MAURICIOPENERAND,1500,0
1000797,P,2011-08-29,2013-09-30,00,,2013-03-28 03:57:57.000000,Provider conversion,2015-03-27 12:39:41.552000,SKOEHLY,1500,43
1000800,P,2011-08-15,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2013-03-28 03:57:57.000000,Provider conversion,1500,0
1000801,P,2011-08-11,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2018-04-23 17:31:38.000000,DATAFIX_HT1086103,1500,0
1000802,P,2011-08-03,2011-10-24,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2013-03-28 03:57:57.000000,Provider conversion,1500,0
1000802,P,2011-10-25,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2013-03-28 03:57:57.000000,Provider conversion,1500,0
1000804,P,2011-08-17,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2019-11-29 13:54:40.130000,KHANDELAND,1500,0
1000809,P,2011-08-12,2013-09-30,00,,2013-03-28 03:57:57.000000,Provider conversion,2018-09-07 17:14:25.000000,DATAFIX_HT1123162,1500,0
1000811,P,2011-08-29,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2021-11-30 17:33:03.000000,DATAFIX_ESPRD01296104,1500,1
1000818,P,2011-07-26,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,Provider conversion,2019-11-29 13:56:22.768000,KHANDELAND,1500,0
1000819,P,2011-07-22,2013-09-30,00,,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,5,3
1000820,P,2011-10-01,2013-09-30,99,PNP,2013-03-28 03:57:57.000000,DATAFIX_ESPRD01209184,2022-08-08 17:51:11.000000,DATAFIX_ESPRD01303811,1500,92
