p_sys_id,g_cnty_cd,p_scrn_locn_cd,b_sys_id,g_aud_add_ts,g_aud_add_user_id,g_aud_ts,g_aud_user_id,l_hibernate_ver_num
1277975,999,Q,644581,2013-06-12 11:57:50.030000,guestUser,2013-06-12 11:57:50.030000,guestUser,17
1277638,999,Q,640280,2013-07-09 16:55:39.683000,guestUser,2013-07-09 16:55:39.683000,guestUser,20
1278097,999,Q,449128,2013-07-16 07:30:04.995000,guestUser,2013-07-16 07:30:04.995000,guestUser,14
1278097,999,Q,190187,2013-07-16 07:30:04.996000,guestUser,2013-07-16 07:30:04.996000,guestUser,14
1276864,999,Q,516251,2013-04-17 16:18:45.091000,guestUser,2013-04-17 16:18:45.091000,guestUser,10
1276864,999,Q,16677,2013-04-17 16:18:45.091000,guestUser,2013-04-17 16:18:45.091000,guestUser,10
1276825,999,Q,676632,2013-05-28 14:04:55.015000,guestUser,2013-05-28 14:04:55.015000,guestUser,9
1276825,999,Q,667125,2013-05-28 14:04:55.015000,guestUser,2013-05-28 14:04:55.015000,guestUser,9
1277229,999,Q,30637,2013-06-24 11:44:28.443000,guestUser,2013-06-24 11:44:28.443000,guestUser,26
1276986,999,Q,108997,2013-04-23 17:06:58.835000,guestUser,2013-04-23 17:06:58.835000,guestUser,0
1276937,999,Q,79708,2013-04-24 11:06:56.524000,guestUser,2013-04-24 11:06:56.524000,guestUser,25
1277036,999,Q,474205,2013-05-02 17:16:20.693000,guestUser,2013-05-02 17:16:20.693000,guestUser,19
1277462,999,Q,1932290491,2013-05-13 09:10:31.742000,guestUser,2013-05-13 09:10:31.742000,guestUser,5
1276930,999,Q,611515,2013-04-22 10:55:35.291000,guestUser,2013-04-22 10:55:35.291000,guestUser,7
1277970,999,Q,228177,2013-06-11 07:25:39.085000,guestUser,2013-06-11 07:25:39.085000,guestUser,0
1278104,999,Q,561173,2013-06-19 15:48:31.309000,JMLAGRO,2013-06-19 15:48:31.309000,JMLAGRO,31
1278096,999,Q,56196,2013-06-19 15:13:28.159000,guestUser,2013-06-19 15:13:28.159000,guestUser,11
1278695,999,Q,595767,2013-07-23 14:43:36.498000,guestUser,2013-07-23 14:43:36.498000,guestUser,20
1276999,999,Q,411858,2013-04-29 14:12:49.031000,guestUser,2013-04-29 14:12:49.031000,guestUser,25
1278990,999,Q,214308,2013-07-30 09:33:50.135000,guestUser,2013-07-30 09:33:50.135000,guestUser,0
1278990,999,Q,108840,2013-07-30 09:33:50.135000,guestUser,2013-07-30 09:33:50.135000,guestUser,0
1278990,999,Q,112343,2013-07-30 09:33:50.136000,guestUser,2013-07-30 09:33:50.136000,guestUser,0
1278990,999,Q,113942,2013-07-30 09:33:50.136000,guestUser,2013-07-30 09:33:50.136000,guestUser,0
1278990,999,Q,112417,2013-07-30 09:33:50.136000,guestUser,2013-07-30 09:33:50.136000,guestUser,0
1278990,999,Q,109793,2013-07-30 09:33:50.136000,guestUser,2013-07-30 09:33:50.136000,guestUser,0
1278990,999,Q,113032,2013-07-30 09:33:50.137000,guestUser,2013-07-30 09:33:50.137000,guestUser,0
1278990,999,Q,112014,2013-07-30 09:33:50.137000,guestUser,2013-07-30 09:33:50.137000,guestUser,0
1276842,999,Q,290582,2013-04-16 11:55:36.422000,guestUser,2013-04-16 11:55:36.422000,guestUser,0
1278064,002,Q,239905,2013-06-19 13:02:51.413000,guestUser,2013-06-19 13:02:51.413000,guestUser,18
1277241,999,Q,40032,2013-06-20 11:35:12.555000,guestUser,2013-06-20 11:35:12.555000,guestUser,32
1278593,999,Q,43278,2013-07-17 12:52:21.495000,guestUser,2013-07-17 12:52:21.495000,guestUser,0
1276841,999,Q,326771,2013-07-22 09:06:17.669000,guestUser,2013-07-22 09:06:17.669000,guestUser,24
1276841,999,Q,72147,2013-07-22 09:06:17.669000,guestUser,2013-07-22 09:06:17.669000,guestUser,24
1276806,999,Q,34448,2013-04-11 10:07:26.707000,guestUser,2013-04-11 10:07:26.707000,guestUser,15
1276806,999,Q,235813,2013-04-11 10:07:26.707000,guestUser,2013-04-11 10:07:26.707000,guestUser,15
1276872,999,Q,370989,2013-04-17 21:23:50.052000,guestUser,2013-04-17 21:23:50.052000,guestUser,13
1276838,999,Q,632383,2013-04-16 11:11:39.225000,guestUser,2013-04-16 11:11:39.225000,guestUser,10
1276980,999,Q,108997,2013-04-23 17:32:15.732000,guestUser,2013-04-23 17:32:15.732000,guestUser,5
1277689,999,Q,40032,2013-05-21 11:18:28.736000,guestUser,2013-05-21 11:18:28.736000,guestUser,0
1277377,999,Q,34448,2013-05-08 20:34:18.618000,guestUser,2013-05-08 20:34:18.618000,guestUser,23
1277377,999,Q,122030,2013-05-08 20:34:18.618000,guestUser,2013-05-08 20:34:18.618000,guestUser,23
1277377,999,Q,235813,2013-05-08 20:34:18.618000,guestUser,2013-05-08 20:34:18.618000,guestUser,23
1277688,999,Q,40032,2013-05-21 11:11:14.420000,guestUser,2013-05-21 11:11:14.420000,guestUser,0
1276910,999,Q,43879,2013-04-23 14:16:23.958000,guestUser,2013-04-23 14:16:23.958000,guestUser,14
1277088,999,Q,631717,2013-04-30 10:07:33.007000,guestUser,2013-04-30 10:07:33.007000,guestUser,0
1277016,999,Q,89319,2013-04-29 12:13:31.847000,guestUser,2013-04-29 12:13:31.847000,guestUser,13
1277901,999,Q,40032,2013-06-04 09:17:53.418000,guestUser,2013-06-04 09:17:53.418000,guestUser,0
1277089,999,Q,631717,2013-04-30 10:11:08.317000,guestUser,2013-04-30 10:11:08.317000,guestUser,0
