p_sys_id,p_num_bed_sk,p_bed_ty_cd,p_num_bed_beg_dt,p_num_bed_end_dt,p_bed_num,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1277716,31265,IC,2013-01-01,2013-12-31,8,4,guestUser,2014-06-26 13:30:30.630000,guestUser,2013-05-16 13:43:57.233000
1277021,31655,NF,2013-10-01,1999-12-31,195,9,guestUser,2014-01-30 11:42:20.670000,guestUser,2014-01-30 10:28:20.602000
1171520,31664,SN,2013-10-01,2013-12-31,32,2,JMLAGRO,2015-02-24 08:23:27.600000,JMLAGRO,2014-02-06 11:39:47.504000
1283063,31681,SN,2011-09-01,2015-10-31,35,15,B-Term-Prov-Trigger_1033050.00,2016-06-29 18:01:40.243149,guestUser,2014-03-03 13:42:30.916000
1276793,31235,SN,1995-10-02,1999-12-31,63,36,guestUser,2013-10-23 13:11:40.600000,guestUser,2013-04-10 11:26:14.757000
1277590,31263,AC,1979-05-01,1999-12-31,225,12,guestUser,2013-08-13 14:53:29.252000,guestUser,2013-05-15 18:14:36.956000
1277608,31264,AC,2012-10-01,2013-09-30,15,20,guestUser,2014-04-10 13:43:00.588000,guestUser,2013-05-16 11:15:06.075000
1277908,31298,AC,2011-01-01,2013-12-31,269,34,guestUser,2013-12-06 08:38:10.913000,guestUser,2013-06-04 16:10:29.243000
1281485,31591,AC,2013-07-25,2015-12-31,25,17,B-Term-Prov-Trigger_2359525.00,2019-01-22 18:01:00.368478,guestUser,2013-12-13 09:52:29.927000
1154804,31594,AC,2013-10-01,2013-08-31,16,4,B-Term-Prov-Trigger_2957260.00,2020-01-24 18:02:25.404200,JMLAGRO,2013-12-16 14:53:08.713000
1281518,31595,AC,2013-01-01,1999-12-31,267,22,guestUser,2014-02-06 10:20:28.086000,guestUser,2013-12-17 11:20:57.318000
1277865,31285,XX,2012-01-01,2013-10-02,15,27,B-Term-Prov-Trigger_2957260.00,2020-01-24 18:02:25.404200,guestUser,2013-05-29 14:26:20.087000
