p_sys_id,p_nw_part_sk,r_nw_id,p_nw_beg_dt,p_nw_end_dt,p_nw_stat_cd,p_nwst_rsn_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000036,1000216,ATYPICAL,2011-03-19,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000036,1000217,CSHS,2011-03-19,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000036,1000218,DDS,2011-03-19,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000036,1000219,DOCR,2011-03-19,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000036,1000220,MCAID,2011-03-19,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1162299,1286044,DOCR,2005-03-11,2021-07-14,00,,1,B-Term-Prov-Trigger_3859822.00,2021-07-14 18:03:03.309638,JMLAGRO,2015-08-17 14:29:22.635000
1000037,1000222,ATYPICAL,2010-10-18,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000037,1000223,CSHS,2010-10-18,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000037,1000224,DDS,2010-10-18,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000037,1000225,DOCR,2010-10-18,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000037,1000226,MCAID,2010-10-18,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1162299,1286045,CSHS,2005-03-11,1999-12-31,00, ,2,KAMELTZER,2021-10-03 13:03:41.835000,JMLAGRO,2015-08-17 14:29:22.636000
1000038,1000228,ATYPICAL,2010-10-19,2013-07-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000038,1000229,CSHS,2010-10-19,2013-07-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000038,1000230,DDS,2010-10-19,2013-07-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000038,1000231,DOCR,2010-10-19,2013-07-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000038,1000232,MCAID,2010-10-19,2013-07-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1162299,1286046,ATYPICAL,2005-03-11,2021-07-14,00,,1,B-Term-Prov-Trigger_3859822.00,2021-07-14 18:03:03.309638,JMLAGRO,2015-08-17 14:29:22.637000
1000039,1000234,ATYPICAL,2011-03-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000039,1000235,CSHS,2011-03-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000039,1000236,DDS,2011-03-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000039,1000237,DOCR,2011-03-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000039,1000238,MCAID,2011-03-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1162299,1286047,MCAID,2005-03-11,1999-12-31,00, ,2,KAMELTZER,2021-10-03 13:03:41.836000,JMLAGRO,2015-08-17 14:29:22.637000
1000040,1000240,ATYPICAL,2011-07-03,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000040,1000241,CSHS,2011-07-03,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000040,1000242,DDS,2011-07-03,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000040,1000243,DOCR,2011-07-03,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000040,1000244,MCAID,2011-07-03,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294166,1286179,ATYPICAL,2015-07-10,2015-08-31,00, ,1,MMANYGUNS,2015-12-03 09:15:46.807000,CAROLREEVES,2015-08-18 14:02:53.071000
1000041,1000246,ATYPICAL,2011-01-22,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000041,1000247,CSHS,2011-01-22,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000041,1000248,DDS,2011-01-22,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000041,1000249,DOCR,2011-01-22,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000041,1000250,MCAID,2011-01-22,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294166,1286180,CSHS,2015-07-10,2015-08-31,00, ,1,MMANYGUNS,2015-12-03 09:15:46.807000,CAROLREEVES,2015-08-18 14:02:53.072000
1000042,1000252,ATYPICAL,2011-01-16,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000042,1000253,CSHS,2011-01-16,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000042,1000254,DDS,2011-01-16,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000042,1000255,DOCR,2011-01-16,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000042,1000256,MCAID,2011-01-16,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294166,1286181,DOCR,2015-07-10,2015-08-31,00, ,1,MMANYGUNS,2015-12-03 09:15:46.806000,CAROLREEVES,2015-08-18 14:02:53.073000
1000043,1000260,DDS,2011-06-01,2013-09-30,00,,2,THENDERSON,2015-08-21 08:18:27.472000,Provider Conversion,2013-03-28 03:57:29.000000
1294166,1286182,MCAID,2015-07-10,2015-08-31,00, ,1,MMANYGUNS,2015-12-03 09:15:46.806000,CAROLREEVES,2015-08-18 14:02:53.073000
1000044,1000264,ATYPICAL,2011-04-25,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000044,1000265,CSHS,2011-04-25,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000044,1000266,DDS,2011-04-25,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000044,1000267,DOCR,2011-04-25,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000044,1000268,MCAID,2011-04-25,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294611,1286236,ATYPICAL,2015-07-27,1999-12-31,00, ,1,RRUD,2016-05-10 12:58:29.191000,MAURICIOPENERAND,2015-08-18 17:16:14.000000
1000045,1000272,DDS,2011-07-01,2013-09-30,00,,7,JMLAGRO,2014-10-06 13:30:42.680000,Provider Conversion,2013-03-28 03:57:29.000000
1294611,1286237,CSHS,2015-07-27,1999-12-31,00, ,1,RRUD,2016-05-10 12:58:29.191000,MAURICIOPENERAND,2015-08-18 17:16:14.001000
1000046,1000276,ATYPICAL,2011-02-20,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000046,1000277,CSHS,2011-02-20,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000046,1000278,DDS,2011-02-20,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000046,1000279,DOCR,2011-02-20,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000046,1000280,MCAID,2011-02-20,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294611,1286238,DOCR,2015-07-27,1999-12-31,00, ,1,RRUD,2016-05-10 12:58:29.191000,MAURICIOPENERAND,2015-08-18 17:16:14.001000
1000047,1000282,ATYPICAL,2010-08-05,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000047,1000283,CSHS,2010-08-05,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000047,1000284,DDS,2010-08-05,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000047,1000285,DOCR,2010-08-05,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000047,1000286,MCAID,2010-08-05,2011-12-31,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1294611,1286239,MCAID,2015-07-27,1999-12-31,00, ,1,RRUD,2016-05-10 12:58:29.191000,MAURICIOPENERAND,2015-08-18 17:16:14.002000
1294162,1286240,ATYPICAL,2015-07-07,2021-07-14,00,,1,B-Term-Prov-Trigger_3859822.00,2021-07-14 18:03:03.309638,ESTHERSHAHPAR,2015-08-18 17:16:26.110000
1000048,1000290,DDS,2011-05-27,2013-09-30,00,,0,Provider Conversion,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000049,1000294,ATYPICAL,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:58:02.840000,Provider Conversion,2013-03-28 03:57:29.000000
1000049,1000295,CSHS,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:58:02.840000,Provider Conversion,2013-03-28 03:57:29.000000
1000049,1000296,DDS,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:58:02.840000,Provider Conversion,2013-03-28 03:57:29.000000
1000049,1000297,DOCR,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:58:02.839000,Provider Conversion,2013-03-28 03:57:29.000000
1000049,1000298,MCAID,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:58:02.839000,Provider Conversion,2013-03-28 03:57:29.000000
1000050,1000300,ATYPICAL,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:59:25.679000,Provider Conversion,2013-03-28 03:57:29.000000
1000050,1000301,CSHS,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:59:25.679000,Provider Conversion,2013-03-28 03:57:29.000000
1000050,1000302,DDS,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:59:25.679000,Provider Conversion,2013-03-28 03:57:29.000000
1000050,1000303,DOCR,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:59:25.678000,Provider Conversion,2013-03-28 03:57:29.000000
1000050,1000304,MCAID,2011-12-01,2015-10-04,00,,1,CR1906_SET_ENDDT_4OCT15,2015-08-20 10:59:25.678000,Provider Conversion,2013-03-28 03:57:29.000000
1000051,1000306,ATYPICAL,2011-05-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000051,1000307,CSHS,2011-05-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000051,1000308,DDS,2011-05-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000051,1000309,DOCR,2011-05-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000051,1000310,MCAID,2011-05-08,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000052,1000312,ATYPICAL,2011-08-01,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
1000052,1000313,CSHS,2011-08-01,2015-10-04,00,,0,CR1906_SET_ENDDT_4OCT15,2013-03-28 03:57:29.000000,Provider Conversion,2013-03-28 03:57:29.000000
