p_sys_id,p_ofc_hrs_sk,p_day_of_wk_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts,p_ofc_close_tm_text,p_ofc_open_tm_text
1276994,6589,1,12,JMLAGRO,2013-10-16 11:59:46.656000,guestUser,2013-04-24 11:05:23.876000,12:00am,12:00am
1276994,6590,2,12,JMLAGRO,2013-10-16 11:59:46.657000,guestUser,2013-04-24 11:05:23.876000,12:00am,12:00am
1276840,17550,1,11,JMLAGRO,2014-02-06 11:39:17.271000,guestUser,2013-05-22 12:35:29.665000,12:00am,12:00am
1276840,17551,2,11,JMLAGRO,2014-02-06 11:39:17.273000,guestUser,2013-05-22 12:35:29.666000,12:00am,12:00am
1276840,17552,3,11,JMLAGRO,2014-02-06 11:39:17.272000,guestUser,2013-05-22 12:35:29.666000,12:00am,12:00am
1276840,17553,4,11,JMLAGRO,2014-02-06 11:39:17.272000,guestUser,2013-05-22 12:35:29.666000,12:00am,12:00am
1276994,6591,3,12,JMLAGRO,2013-10-16 11:59:46.657000,guestUser,2013-04-24 11:05:23.877000,12:00am,12:00am
1276994,6592,4,12,JMLAGRO,2013-10-16 11:59:46.657000,guestUser,2013-04-24 11:05:23.877000,12:00am,12:00am
1276994,6593,5,12,JMLAGRO,2013-10-16 11:59:46.657000,guestUser,2013-04-24 11:05:23.877000,12:00am,12:00am
1276994,6594,6,12,JMLAGRO,2013-10-16 11:59:46.656000,guestUser,2013-04-24 11:05:23.877000,12:00am,12:00am
1276994,6595,7,12,JMLAGRO,2013-10-16 11:59:46.658000,guestUser,2013-04-24 11:05:23.878000,12:00am,12:00am
1276840,17554,5,11,JMLAGRO,2014-02-06 11:39:17.272000,guestUser,2013-05-22 12:35:29.666000,12:00am,12:00am
1277493,14498,1,12,PJHEID,2014-02-09 21:44:45.134000,guestUser,2013-05-13 16:59:44.801000,6:00pm,8:30am
1277493,14499,2,12,PJHEID,2014-02-09 21:44:45.137000,guestUser,2013-05-13 16:59:44.802000,6:00pm,8:30am
1277493,14500,3,12,PJHEID,2014-02-09 21:44:45.136000,guestUser,2013-05-13 16:59:44.802000,6:00pm,8:30am
1277493,14501,4,12,PJHEID,2014-02-09 21:44:45.136000,guestUser,2013-05-13 16:59:44.803000,6:00pm,8:30am
1277493,14502,5,12,PJHEID,2014-02-09 21:44:45.135000,guestUser,2013-05-13 16:59:44.803000,6:00pm,8:30am
1277001,6765,1,18,JMLAGRO,2013-12-16 11:08:27.961000,guestUser,2013-04-24 13:39:38.804000,5:00pm,8:00am
1277001,6766,2,18,JMLAGRO,2013-12-16 11:08:27.963000,guestUser,2013-04-24 13:39:38.805000,5:00pm,8:00am
1277001,6767,3,18,JMLAGRO,2013-12-16 11:08:27.963000,guestUser,2013-04-24 13:39:38.806000,5:00pm,8:00am
1277001,6768,4,18,JMLAGRO,2013-12-16 11:08:27.962000,guestUser,2013-04-24 13:39:38.806000,5:00pm,8:00am
1277001,6769,5,18,JMLAGRO,2013-12-16 11:08:27.962000,guestUser,2013-04-24 13:39:38.806000,5:00pm,8:00am
1277072,10150,1,5,PJHEID,2013-10-23 10:49:53.642000,guestUser,2013-04-30 11:27:36.495000,5:00pm,8:00am
1277072,10151,2,5,PJHEID,2013-10-23 10:49:53.641000,guestUser,2013-04-30 11:27:36.495000,5:00pm,8:00am
1277072,10152,3,5,PJHEID,2013-10-23 10:49:53.641000,guestUser,2013-04-30 11:27:36.496000,5:00pm,8:00am
1277072,10153,4,5,PJHEID,2013-10-23 10:49:53.641000,guestUser,2013-04-30 11:27:36.496000,5:00pm,8:00am
1277541,22593,1,11,PJHEID,2013-10-14 10:38:42.584000,guestUser,2013-06-06 16:07:02.872000,5:00pm,9:00am
1277004,6845,1,2,KWOODALL,2014-04-01 10:47:12.819000,guestUser,2013-04-24 14:10:23.990000,6:30pm,8:00am
1277004,6846,2,2,KWOODALL,2014-04-01 10:47:12.819000,guestUser,2013-04-24 14:10:23.991000,5:00pm,8:00am
1277004,6847,3,2,KWOODALL,2014-04-01 10:47:12.818000,guestUser,2013-04-24 14:10:23.991000,5:00pm,8:00am
1277004,6848,4,2,KWOODALL,2014-04-01 10:47:12.819000,guestUser,2013-04-24 14:10:23.991000,5:00pm,8:00am
1277004,6849,5,2,KWOODALL,2014-04-01 10:47:12.819000,guestUser,2013-04-24 14:10:23.991000,2:00pm,8:00am
1276868,22545,1,16,JMLAGRO,2014-08-26 14:36:53.244000,guestUser,2013-06-06 13:37:04.256000,5:00pm,7:00am
1276868,22546,2,16,JMLAGRO,2014-08-26 14:36:53.244000,guestUser,2013-06-06 13:37:04.258000,5:00pm,7:00am
1276868,22547,3,16,JMLAGRO,2014-08-26 14:36:53.244000,guestUser,2013-06-06 13:37:04.258000,5:00pm,7:00am
1276868,22548,4,16,JMLAGRO,2014-08-26 14:36:53.243000,guestUser,2013-06-06 13:37:04.258000,5:00pm,7:00am
1276868,22549,5,16,JMLAGRO,2014-08-26 14:36:53.243000,guestUser,2013-06-06 13:37:04.258000,5:00pm,7:00am
1276976,14534,4,9,PJHEID,2014-01-06 23:36:09.349000,guestUser,2013-05-14 09:33:54.206000,4:30pm,8:00am
1276976,14535,5,9,PJHEID,2014-01-06 23:36:09.348000,guestUser,2013-05-14 09:33:54.206000,4:00pm,8:00am
1277497,14556,1,14,PJHEID,2014-02-09 16:48:29.684000,guestUser,2013-05-14 09:41:00.270000,8:00pm,9:00am
1277497,14557,2,14,PJHEID,2014-02-09 16:48:29.683000,guestUser,2013-05-14 09:41:00.271000,8:00pm,9:00am
1277497,14558,3,14,PJHEID,2014-02-09 16:48:29.683000,guestUser,2013-05-14 09:41:00.271000,8:00pm,9:00am
1277541,22594,2,11,PJHEID,2013-10-14 10:38:42.584000,guestUser,2013-06-06 16:07:02.872000,5:00pm,9:00am
1277541,22595,4,11,PJHEID,2013-10-14 10:38:42.586000,guestUser,2013-06-06 16:07:02.872000,5:00pm,9:00am
1277541,22596,5,11,PJHEID,2013-10-14 10:38:42.585000,guestUser,2013-06-06 16:07:02.873000,12:00pm,9:00am
1278837,38087,1,3,JOYSPEZIALE,2014-03-28 19:31:52.802000,guestUser,2013-07-25 11:32:20.947000,5:00pm,7:00am
1278837,38088,2,3,JOYSPEZIALE,2014-03-28 19:31:52.802000,guestUser,2013-07-25 11:32:20.947000,5:00pm,7:00am
1278837,38089,3,3,JOYSPEZIALE,2014-03-28 19:31:52.801000,guestUser,2013-07-25 11:32:20.947000,5:00pm,7:00am
1278837,38090,4,3,JOYSPEZIALE,2014-03-28 19:31:52.801000,guestUser,2013-07-25 11:32:20.948000,5:00pm,7:00am
1277044,8774,1,9,JMLAGRO,2013-10-15 14:37:49.763000,guestUser,2013-04-26 10:50:05.832000,6:00pm,7:00am
1277044,8775,2,9,JMLAGRO,2013-10-15 14:37:49.762000,guestUser,2013-04-26 10:50:05.832000,6:00pm,7:00am
