p_sys_id,g_cnty_cd,p_scrn_locn_cd,l_hibernate_ver_num,g_aud_add_ts,g_aud_add_user_id,g_aud_ts,g_aud_user_id
1279960,008,S,0,2014-01-21 11:00:38.811000,PJHEID,2014-01-21 11:00:38.811000,PJHEID
1286426,008,Q,0,2014-05-14 11:18:44.698000,KRBACKMAN,2014-05-14 11:18:44.698000,KRBACKMAN
1282325,999,Q,0,2014-01-27 15:35:08.890000,KRBACKMAN,2014-01-27 15:35:08.890000,KRBACKMAN
1281793,051,Q,0,2014-01-09 15:37:53.108000,SLSCHAAF,2014-01-09 15:37:53.108000,SLSCHAAF
1286426,030,Q,0,2014-05-14 11:18:44.699000,KRBACKMAN,2014-05-14 11:18:44.699000,KRBACKMAN
1281804,024,Q,0,2014-01-09 16:43:05.084000,KRBACKMAN,2014-01-09 16:43:05.084000,KRBACKMAN
1281804,026,Q,0,2014-01-09 16:43:05.084000,KRBACKMAN,2014-01-09 16:43:05.084000,KRBACKMAN
1285420,028,S,0,2014-05-14 11:38:07.048000,KWOODALL,2014-05-14 11:38:07.048000,KWOODALL
1282361,009,Q,0,2014-01-28 12:09:09.309000,KRBACKMAN,2014-01-28 12:09:09.309000,KRBACKMAN
1286424,008,Q,0,2014-05-14 11:32:13.223000,KRBACKMAN,2014-05-14 11:32:13.223000,KRBACKMAN
1279657,036,S,0,2014-05-14 13:01:06.586000,JLWILKE,2014-05-14 13:01:06.586000,JLWILKE
1279657,050,S,0,2014-05-14 13:01:06.580000,JLWILKE,2014-05-14 13:01:06.580000,JLWILKE
1279657,049,S,0,2014-05-14 13:01:06.581000,JLWILKE,2014-05-14 13:01:06.581000,JLWILKE
1279657,005,S,0,2014-05-14 13:01:06.581000,JLWILKE,2014-05-14 13:01:06.581000,JLWILKE
1279960,033,S,0,2014-01-21 11:00:38.812000,PJHEID,2014-01-21 11:00:38.812000,PJHEID
1282384,030,Q,0,2014-01-28 15:25:46.541000,KRBACKMAN,2014-01-28 15:25:46.541000,KRBACKMAN
1279657,015,S,0,2014-05-14 13:01:06.582000,JLWILKE,2014-05-14 13:01:06.582000,JLWILKE
1279657,025,S,0,2014-05-14 13:01:06.582000,JLWILKE,2014-05-14 13:01:06.582000,JLWILKE
1279657,035,S,0,2014-05-14 13:01:06.583000,JLWILKE,2014-05-14 13:01:06.583000,JLWILKE
1285420,033,S,0,2014-05-14 11:38:07.048000,KWOODALL,2014-05-14 11:38:07.048000,KWOODALL
1285420,008,S,0,2014-05-14 11:38:07.049000,KWOODALL,2014-05-14 11:38:07.049000,KWOODALL
1285420,019,S,0,2014-05-14 11:38:07.049000,KWOODALL,2014-05-14 11:38:07.049000,KWOODALL
1285420,030,S,0,2014-05-14 11:38:07.049000,KWOODALL,2014-05-14 11:38:07.049000,KWOODALL
1285420,013,S,0,2014-05-14 11:38:07.049000,KWOODALL,2014-05-14 11:38:07.049000,KWOODALL
1285420,029,S,0,2014-05-14 11:38:07.050000,KWOODALL,2014-05-14 11:38:07.050000,KWOODALL
1279657,045,S,0,2014-05-14 13:01:06.583000,JLWILKE,2014-05-14 13:01:06.583000,JLWILKE
1279657,001,S,0,2014-05-14 13:01:06.583000,JLWILKE,2014-05-14 13:01:06.583000,JLWILKE
1279657,011,S,0,2014-05-14 13:01:06.584000,JLWILKE,2014-05-14 13:01:06.584000,JLWILKE
1279657,021,S,0,2014-05-14 13:01:06.584000,JLWILKE,2014-05-14 13:01:06.584000,JLWILKE
1279657,031,S,0,2014-05-14 13:01:06.584000,JLWILKE,2014-05-14 13:01:06.584000,JLWILKE
1282362,999,Q,0,2014-01-28 12:18:38.757000,KRBACKMAN,2014-01-28 12:18:38.757000,KRBACKMAN
1282369,008,Q,0,2014-01-28 13:21:20.941000,KRBACKMAN,2014-01-28 13:21:20.941000,KRBACKMAN
1282329,003,Q,0,2014-01-27 15:52:42.187000,SLSCHAAF,2014-01-27 15:52:42.187000,SLSCHAAF
1282386,031,Q,0,2014-01-28 15:36:37.510000,KRBACKMAN,2014-01-28 15:36:37.510000,KRBACKMAN
1282425,013,Q,0,2014-01-29 15:59:04.595000,KRBACKMAN,2014-01-29 15:59:04.595000,KRBACKMAN
1282440,036,Q,0,2014-01-30 08:46:30.639000,SLSCHAAF,2014-01-30 08:46:30.639000,SLSCHAAF
1279657,041,S,0,2014-05-14 13:01:06.585000,JLWILKE,2014-05-14 13:01:06.585000,JLWILKE
1279657,051,S,0,2014-05-14 13:01:06.585000,JLWILKE,2014-05-14 13:01:06.585000,JLWILKE
1279657,006,S,0,2014-05-14 13:01:06.585000,JLWILKE,2014-05-14 13:01:06.585000,JLWILKE
1279657,016,S,0,2014-05-14 13:01:06.586000,JLWILKE,2014-05-14 13:01:06.586000,JLWILKE
1279657,026,S,0,2014-05-14 13:01:06.586000,JLWILKE,2014-05-14 13:01:06.586000,JLWILKE
1279446,030,S,0,2013-08-29 15:28:30.677000,JMLAGRO,2013-08-29 15:28:30.677000,JMLAGRO
1279960,028,S,0,2014-01-21 11:00:38.812000,PJHEID,2014-01-21 11:00:38.812000,PJHEID
1279960,042,S,0,2014-01-21 11:00:38.813000,PJHEID,2014-01-21 11:00:38.813000,PJHEID
1282088,040,Q,0,2014-01-21 11:00:51.855000,KRBACKMAN,2014-01-21 11:00:51.855000,KRBACKMAN
