p_prov_hrarchy_num,p_prov_hrarchy_qlfr_cd,p_prov_hrarchy_desc,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1,1D,Medicaid Provider Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
2,XX,NPI,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
3,1C,Medicare Provider Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
4,TJ,Federal Taxpayer's Identification Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
5,07,NCPDP,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
6,1G,Provider UPIN Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
7,1A,Blue Cross Provider Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
8,1B,Blue Shield Provider Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
9,1H,CHAMPUS Identification Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
10,FH,Clinic Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
11,12,DEA,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
12,1E,Dentist License Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
13,EI,Employer's Identification Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
15,1J,Facility ID Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
16,BQ,Health Maintenance Organization Code Num,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
17,IS,Inv. Subst Abust Trtmnt,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
18,JC,Joint Comm Accord HealthCare org,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
19,LU,Location Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
20,B3,Preferred Provider Organization Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
21,G2,Provide Commercial Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
22,N5,Provider Plan Network Identification Num,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
23,G5,Provider Site Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
24,SY,Social Security Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
25,X5,State Industrial Accident Provider Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
26,0B,State License Number,0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
27,U3,Unique Supplier Identification Num (USIN),0,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000,wf_ND_MC_PRV_HRARCHYV1,2015-05-05 04:56:38.000000
