p_sys_id,p_qstnr_sect_cd,p_qstnr_seq_num,p_qstnr_responce_ind,p_qstnr_resp_text,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276787,1,9,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.967000
1276787,1,3,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.967000
1276787,1,8,Y,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.968000
1276787,1,2,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.968000
1276787,1,7,,-,3,guestUser,2013-04-10 10:34:17.755000,guestUser,2013-04-10 10:31:03.968000
1276787,1,1,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.968000
1276787,1,6,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.969000
1276787,1,5,Y,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.969000
1276787,1,10,Y,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.969000
1276787,1,4,N,,5,KRBACKMAN,2013-12-05 09:18:48.394000,guestUser,2013-04-10 10:31:03.969000
1276795,2,3,N,,4,NMAIER,2013-04-10 15:11:49.817000,guestUser,2013-04-10 11:39:11.405000
1276795,2,5,N,,4,NMAIER,2013-04-10 15:11:49.817000,guestUser,2013-04-10 11:39:11.405000
1276795,2,2,N,,4,NMAIER,2013-04-10 15:11:49.817000,guestUser,2013-04-10 11:39:11.405000
1276795,2,4,N,,4,NMAIER,2013-04-10 15:11:49.817000,guestUser,2013-04-10 11:39:11.405000
1276795,2,1,N,,4,NMAIER,2013-04-10 15:11:49.817000,guestUser,2013-04-10 11:39:11.406000
1276797,1,10,Y,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.159000
1276797,1,4,N,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.159000
1276797,1,9,N,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.159000
1276797,1,3,Y,SAME OFFENSE AS ABOVE,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.160000
1276797,1,8,Y,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.160000
1276797,1,2,N,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.160000
1276797,1,7,,-,3,guestUser,2013-04-10 13:40:06.722000,guestUser,2013-04-10 13:36:35.160000
1276797,1,1,Y,TAKING STOLEN PROPERTY FROM A RETAIL STORE,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.161000
1276797,1,6,N,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.161000
1276797,1,5,Y,,4,NMAIER,2013-04-10 14:30:43.210000,guestUser,2013-04-10 13:36:35.161000
1276798,2,5,N,,10,NMAIER,2013-04-10 14:46:33.899000,guestUser,2013-04-10 13:49:47.060000
1276798,2,2,N,,10,NMAIER,2013-04-10 14:46:33.899000,guestUser,2013-04-10 13:49:47.060000
1276798,2,4,N,,10,NMAIER,2013-04-10 14:46:33.899000,guestUser,2013-04-10 13:49:47.060000
1276798,2,1,N,,10,NMAIER,2013-04-10 14:46:33.899000,guestUser,2013-04-10 13:49:47.061000
1276798,2,3,N,,10,NMAIER,2013-04-10 14:46:33.899000,guestUser,2013-04-10 13:49:47.061000
1276808,1,10,Y,,8,NMAIER,2015-06-16 11:29:36.164000,guestUser,2013-04-11 11:58:30.205000
1276808,1,4,N,,8,NMAIER,2015-06-16 11:29:36.164000,guestUser,2013-04-11 11:58:30.206000
1276808,1,9,N,,8,NMAIER,2015-06-16 11:29:36.164000,guestUser,2013-04-11 11:58:30.206000
1276808,1,3,N,,8,NMAIER,2015-06-16 11:29:36.164000,guestUser,2013-04-11 11:58:30.206000
