p_sys_id,p_qstnr_sk,p_qstnr_ty_cd,p_qstnr_occ_dt,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276772,1639640,19,2000-01-01,20,guestUser,2013-12-27 08:41:26.053000,guestUser,2013-04-09 12:35:37.595000
1276772,1639641,20,2000-01-01,20,guestUser,2013-12-27 08:41:26.057000,guestUser,2013-04-09 12:35:37.595000
1276772,1639642,21,2000-01-01,20,guestUser,2013-12-27 08:41:26.056000,guestUser,2013-04-09 12:35:37.595000
1276772,1639643,22,2000-01-01,20,guestUser,2013-12-27 08:41:26.056000,guestUser,2013-04-09 12:35:37.596000
1276772,1639644,23,2000-01-01,20,guestUser,2013-12-27 08:41:26.055000,guestUser,2013-04-09 12:35:37.596000
1276772,1639645,24,2000-01-01,20,guestUser,2013-12-27 08:41:26.055000,guestUser,2013-04-09 12:35:37.596000
1276773,1639668,40,1999-12-31,17,guestUser,2013-04-09 14:11:00.920000,guestUser,2013-04-09 13:00:12.122000
1276774,1639669,38,2000-01-01,17,guestUser,2013-04-11 16:05:10.789000,guestUser,2013-04-09 13:12:52.873000
1276774,1639670,40,2000-01-01,17,guestUser,2013-04-11 16:05:10.788000,guestUser,2013-04-09 13:12:52.874000
1276774,1639671,28,1999-12-31,15,GUESTUSER,2013-04-11 16:05:10.787000,GUESTUSER,2013-04-09 13:41:43.430000
1276768,1639772,35,2000-01-01,11,GUESTUSER,2013-04-11 16:01:18.397000,GUESTUSER,2013-04-10 08:14:46.652000
1276768,1639773,34,2000-01-01,11,GUESTUSER,2013-04-11 16:01:18.401000,GUESTUSER,2013-04-10 08:14:46.653000
1276768,1639774,27,2000-01-01,34,GUESTUSER,2014-01-23 12:38:14.487000,GUESTUSER,2013-04-10 08:14:46.653000
1276774,1639794,29,1999-12-31,9,GUESTUSER,2013-04-11 16:05:10.784000,GUESTUSER,2013-04-10 08:39:29.541000
1276774,1639795,30,2000-01-01,9,GUESTUSER,2013-04-11 16:05:10.783000,GUESTUSER,2013-04-10 08:39:29.541000
1276774,1639796,31,2000-01-01,9,GUESTUSER,2013-04-11 16:05:10.782000,GUESTUSER,2013-04-10 08:39:29.541000
1276774,1639797,32,2000-01-01,9,GUESTUSER,2013-04-11 16:05:10.791000,GUESTUSER,2013-04-10 08:39:29.542000
1276782,1639798,38,2000-01-01,7,guestUser,2013-04-10 09:06:17.462000,guestUser,2013-04-10 08:41:22.350000
1276782,1639799,40,2000-01-01,7,guestUser,2013-04-10 09:06:17.461000,guestUser,2013-04-10 08:41:22.350000
1276776,1639856,29,2000-01-01,11,GUESTUSER,2013-04-17 08:12:06.665000,GUESTUSER,2013-04-10 09:13:01.426000
1276776,1639857,30,2000-01-01,11,GUESTUSER,2013-04-17 08:12:06.664000,GUESTUSER,2013-04-10 09:13:01.426000
1276776,1639858,31,2000-01-01,11,GUESTUSER,2013-04-17 08:12:06.664000,GUESTUSER,2013-04-10 09:13:01.426000
1276776,1639859,32,2000-01-01,11,GUESTUSER,2013-04-17 08:12:06.663000,GUESTUSER,2013-04-10 09:13:01.427000
1181390,1639860,02,2000-01-01,0,NMAIER,2013-04-10 09:13:31.307000,NMAIER,2013-04-10 09:13:31.307000
1181390,1639861,28,1999-12-31,0,NMAIER,2013-04-10 09:13:31.308000,NMAIER,2013-04-10 09:13:31.308000
1181390,1639862,16,2000-01-01,0,NMAIER,2013-04-10 09:13:31.309000,NMAIER,2013-04-10 09:13:31.309000
1181390,1639863,17,2000-01-01,0,NMAIER,2013-04-10 09:13:31.309000,NMAIER,2013-04-10 09:13:31.309000
1181390,1639864,32,2000-01-01,0,NMAIER,2013-04-10 09:13:31.310000,NMAIER,2013-04-10 09:13:31.310000
1181390,1639865,18,2000-01-01,0,NMAIER,2013-04-10 09:13:31.310000,NMAIER,2013-04-10 09:13:31.310000
1181390,1639866,31,2000-01-01,0,NMAIER,2013-04-10 09:13:31.310000,NMAIER,2013-04-10 09:13:31.310000
1181390,1639867,06,2000-01-01,0,NMAIER,2013-04-10 09:13:31.310000,NMAIER,2013-04-10 09:13:31.310000
1181390,1639868,19,2000-01-01,0,NMAIER,2013-04-10 09:13:31.310000,NMAIER,2013-04-10 09:13:31.310000
1181390,1639869,24,2000-01-01,0,NMAIER,2013-04-10 09:13:31.311000,NMAIER,2013-04-10 09:13:31.311000
1181390,1639870,25,2000-01-01,0,NMAIER,2013-04-10 09:13:31.311000,NMAIER,2013-04-10 09:13:31.311000
