p_sys_id,p_ra_medm_sk,p_ra_medm_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000000,1004065,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:03.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000001,1004066,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000002,1004069,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:03.000000,Provider Conversion,2013-03-28 03:56:57.000000
1153802,1954142,3,0,RRUD,2022-09-08 09:41:54.572000,RRUD,2022-09-08 09:41:54.572000
1000005,1004072,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1154000,1954146,3,0,RRUD,2022-09-08 10:24:13.671000,RRUD,2022-09-08 10:24:13.671000
1000009,1004076,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000010,1004077,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000011,1004078,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000012,1004079,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:01.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000013,1004080,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:01.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000014,1004081,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000015,1004083,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:03.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000016,1004085,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:03.000000,Provider Conversion,2013-03-28 03:56:57.000000
1000017,1004086,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
1154611,1954152,3,0,RRUD,2022-09-08 10:27:47.290000,RRUD,2022-09-08 10:27:47.290000
1000019,1004089,3,0,CR_ESPRD01310019_DATAFIX,2023-04-24 17:42:02.000000,Provider Conversion,2013-03-28 03:56:57.000000
