p_sys_id,p_req_attach_sk,p_attach_ty_cd,p_attach_recd_ind,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276782,15809,05,Y,0,NMAIER,2013-04-10 09:08:06.235000,NMAIER,2013-04-10 09:08:06.235000
1276782,15810,17,Y,0,NMAIER,2013-04-10 09:08:06.236000,NMAIER,2013-04-10 09:08:06.236000
1276782,15811,30,Y,0,NMAIER,2013-04-10 09:08:06.236000,NMAIER,2013-04-10 09:08:06.236000
1276782,15812,47,Y,0,NMAIER,2013-04-10 09:08:06.236000,NMAIER,2013-04-10 09:08:06.236000
1276782,15813,48,Y,0,NMAIER,2013-04-10 09:08:06.236000,NMAIER,2013-04-10 09:08:06.236000
1276782,15814,58,Y,0,NMAIER,2013-04-10 09:08:06.238000,NMAIER,2013-04-10 09:08:06.238000
1181390,15815,17,Y,0,NMAIER,2013-04-10 09:13:31.314000,NMAIER,2013-04-10 09:13:31.314000
1181390,15816,48,Y,0,NMAIER,2013-04-10 09:13:31.314000,NMAIER,2013-04-10 09:13:31.314000
1181390,15817,30,Y,0,NMAIER,2013-04-10 09:13:31.315000,NMAIER,2013-04-10 09:13:31.315000
1181390,15818,58,Y,0,NMAIER,2013-04-10 09:13:31.315000,NMAIER,2013-04-10 09:13:31.315000
1181390,15819,47,Y,0,NMAIER,2013-04-10 09:13:31.315000,NMAIER,2013-04-10 09:13:31.315000
1181390,15820,05,Y,0,NMAIER,2013-04-10 09:13:31.315000,NMAIER,2013-04-10 09:13:31.315000
1276795,15821,58,Y,0,NMAIER,2013-04-10 11:47:45.642000,NMAIER,2013-04-10 11:47:45.642000
1276795,15822,17,Y,0,NMAIER,2013-04-10 11:47:45.642000,NMAIER,2013-04-10 11:47:45.642000
1180394,15830,58,Y,0,NMAIER,2013-04-10 14:52:42.117000,NMAIER,2013-04-10 14:52:42.117000
1180394,15831,17,Y,0,NMAIER,2013-04-10 14:52:42.118000,NMAIER,2013-04-10 14:52:42.118000
1173037,15832,17,Y,0,NMAIER,2013-04-10 15:05:34.168000,NMAIER,2013-04-10 15:05:34.168000
1173037,15833,48,Y,0,NMAIER,2013-04-10 15:05:34.168000,NMAIER,2013-04-10 15:05:34.168000
1173037,15834,30,Y,0,NMAIER,2013-04-10 15:05:34.169000,NMAIER,2013-04-10 15:05:34.169000
1173037,15835,58,Y,0,NMAIER,2013-04-10 15:05:34.169000,NMAIER,2013-04-10 15:05:34.169000
