p_sys_id,p_reval_started_ind,p_general_info_stat_ind,p_name_addr_stat_ind,p_lic_spec_stat_ind,p_financial_stat_ind,p_sanctions_stat_ind,p_bankruptcy_stat_ind,p_ownership_stat_ind,p_managing_stat_ind,p_reval_stat_cd,p_reval_stat_last_dt,p_reval_comp_dt,p_reval_comp_by_nam,l_hibernate_ver_num,g_aud_add_user_id,g_aud_ts,g_aud_user_id,g_aud_add_ts
1279370,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1279290,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1279741,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1289537,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1292013,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293808,N,N,N,N,N,N,N,N,N,TN,2020-07-27,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293819,Y,Y,Y,N,Y,,Y,Y,N,SS,2021-06-14,, ,3,B-Term-Prov-Trigger_3250759.00,2021-06-14 09:09:00.702000,DMATZELLE,2020-07-17 18:01:22.000000
1293790,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293821,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1292771,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293768,N,N,N,N,N,N,N,N,N,TN,2020-07-20,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294037,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294102,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293699,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293247,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294305,N,N,N,N,N,N,N,N,N,TN,2025-07-30,, ,0,B-Term-Prov-Trigger_3250759.00,2025-07-30 18:01:31.000000,B-Term-Prov-Trigger_1490271.00,2020-07-17 18:01:22.000000
1294341,N,N,N,N,N,N,N,N,N,TN,2025-09-01,, ,0,B-Term-Prov-Trigger_3250759.00,2025-09-01 18:01:25.000000,B-Term-Prov-Trigger_1538574.00,2020-07-17 18:01:22.000000
1294508,N,N,N,N,N,N,N,N,N,SN,2020-07-17,, ,0,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294358,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294410,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294353,N,N,N,N,N,N,N,N,N,TN,2020-07-22,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294476,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294432,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294423,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294510,N,N,N,N,N,N,N,N,N,FN,2025-06-27,, ,0,B-Term-Prov-Trigger_3250759.00,2025-06-27 18:02:10.000000,B-Term-Prov-Trigger_1442317.00,2020-07-17 18:01:22.000000
1294503,N,N,N,N,N,N,N,N,N,FN,2025-08-03,, ,0,B-Term-Prov-Trigger_3250759.00,2025-08-03 18:01:14.000000,B-Term-Prov-Trigger_1496829.00,2020-07-17 18:01:22.000000
1294512,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294318,N,N,N,N,N,N,N,N,N,SN,2025-07-16,, ,0,B-Term-Prov-Trigger_3250759.00,2025-07-16 18:01:47.000000,B-Term-Prov-Trigger_1470306.00,2020-07-17 18:01:22.000000
1294329,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294374,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294519,N,N,N,N,N,N,N,N,N,TN,2025-05-11,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294420,N,N,N,N,N,N,N,N,N,TN,2020-07-27,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294399,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294449,N,N,N,N,N,N,N,N,N,TN,2020-07-29,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294522,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294192,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294306,N,N,N,N,N,N,N,N,N,TN,2020-07-29,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294309,N,N,N,N,N,N,N,N,N,TN,2020-07-20,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294229,N,N,N,N,N,N,N,N,N,TN,2020-07-22,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294239,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294244,N,N,N,N,N,N,N,N,N,TN,2020-07-24,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294259,N,N,N,N,N,N,N,N,N,SN,2025-08-12,, ,0,B-Term-Prov-Trigger_3250759.00,2025-08-12 18:01:41.000000,B-Term-Prov-Trigger_1509963.00,2020-07-17 18:01:22.000000
1294351,N,N,N,N,N,N,N,N,N,TN,2020-07-22,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294451,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294357,N,N,N,N,N,N,N,N,N,TN,2025-08-12,, ,0,B-Term-Prov-Trigger_3250759.00,2025-08-12 18:01:41.000000,B-Term-Prov-Trigger_1509963.00,2020-07-17 18:01:22.000000
1294474,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294477,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294502,N,N,N,N,N,N,N,N,N,TN,2025-08-05,, ,0,B-Term-Prov-Trigger_3250759.00,2025-08-05 18:01:46.000000,B-Term-Prov-Trigger_1499744.00,2020-07-17 18:01:22.000000
1294408,N,N,N,N,N,N,N,N,N,TN,2020-07-27,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294507,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294356,N,N,N,N,N,N,N,N,N,TN,2020-07-22,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294361,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294362,N,N,N,N,N,N,N,N,N,TN,2020-07-23,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294364,N,N,N,N,N,N,N,N,N,TN,2020-07-22,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294354,N,N,N,N,N,N,N,N,N,FN,2025-06-24,, ,0,B-Term-Prov-Trigger_3250759.00,2025-06-24 18:02:54.000000,B-Term-Prov-Trigger_1438184.00,2020-07-17 18:01:22.000000
1294424,N,N,N,N,N,N,N,N,N,FN,2025-08-25,, ,0,B-Term-Prov-Trigger_3250759.00,2025-08-25 18:01:43.000000,B-Term-Prov-Trigger_1528233.00,2020-07-17 18:01:22.000000
1294285,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294369,N,N,N,N,N,N,N,N,N,TN,2020-07-28,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294473,N,N,N,N,N,N,N,N,N,TN,2020-07-30,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294470,N,N,N,N,N,N,N,N,N,TN,2020-07-31,, ,1,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294168,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294170,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294171,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294066,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1293559,N,N,N,N,N,N,N,N,N,TN,2020-08-06,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294165,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294163,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294164,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1294167,N,N,N,N,N,N,N,N,N,TN,2020-08-04,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
1292877,N,N,N,N,N,N,N,N,N,TN,2020-08-17,, ,2,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000,B-Term-Prov-Trigger_3250759.00,2020-07-17 18:01:22.000000
