p_rpt_cms_upd_sk,p_rec_type,p_iface_prcs_dt,p_mmis_id,p_prov_nam,p_err_msg_text,l_hibernate_ver_num,g_aud_add_user_id,g_aud_add_ts
60, ,2025-09-22,1474526,Chad G Kelly,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
61, ,2025-09-22,1452294,Lutheran Charity Association,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
62, ,2025-09-22,1459892,Trinity Hospitals,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
63, ,2025-09-22,1456759,CHI Health Connect at Home Fargo,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
64, ,2025-09-22,1467429,William R Noyes,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
65, ,2025-09-22,1490372,Robert H Jones,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
66, ,2025-09-22,1478265,Lawrence Rothenberg,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
67, ,2025-09-22,1468714,Peter Zimb a,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
68, ,2025-09-22,1451069,David J Hanson,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
69, ,2025-09-22,1459085,John V Vinych,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
70, ,2025-09-22,1470479,Kelly Doolittle,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
71, ,2025-09-22,1469133,Jason M Woodbury,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
72, ,2025-09-22,1480361,Carl T Wilson,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
73, ,2025-09-22,1481059,Brendan T Wanta,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
74, ,2025-09-22,1471489,David S Beebe,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
75, ,2025-09-22,1457645,Mayo Foundation for Medical Education and Research,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
76, ,2025-09-22,1457385,Sanford Clinic North,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
77, ,2025-09-22,1457653,Mayo Foundation for Medical Education and Research,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
78, ,2025-09-22,1457656,Mayo Foundation for Medical Education and Research,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
79, ,2025-09-22,1456278,North Dakota State University,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
80, ,2025-09-22,1457813,North Dakota State University,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
81, ,2025-09-22,1475078,North Dakota State University,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
82, ,2025-09-22,1459766,Robert A Vennerstrom,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
83, ,2025-09-22,1473768,Tomasz Lis P,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
84, ,2025-09-22,1481384,Elizabeth R Kohn,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
85, ,2025-09-22,1480733,Tricia R Brein,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
86, ,2025-09-22,1492549,Edward Wolske,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
87, ,2025-09-22,1482059,David M Chess,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
88, ,2025-09-22,1462596,Matthew S Massmann,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
89, ,2025-09-22,1465684,Emily N Spangler,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
90, ,2025-09-22,1470876,Julie A Skiba,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
91, ,2025-09-22,1469425,Sarah Havlik,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
92, ,2025-09-22,1469487,Sandra Oberembt,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
93, ,2025-09-22,1469870,Leah Wojciechowshi,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
94, ,2025-09-22,1475144,Kailey L Potratz,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
95, ,2025-09-22,1460801,Karrah J Oliver,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
96, ,2025-09-22,1468000,Kevin Swenson,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
97, ,2025-09-22,1467504,Michael C Park,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
98, ,2025-09-22,1472930,Christopher J Reisenauer,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
99, ,2025-09-22,1472778,Shriners Hospitals for Children,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
100, ,2025-09-22,1480744,Phoenix Childrens Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
101, ,2025-09-22,1480769,Childrens Hospital and Medical Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
102, ,2025-09-22,1479849,St Louis Childrens Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
103, ,2025-09-22,1460334,Solutions Behavioral Healthcare Professionals PC,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
104, ,2025-09-22,1481753,St Josephs Hospital and Health Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
105, ,2025-09-22,1480513,Altru Health System,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
106, ,2025-09-22,1458880,Midwest Eye Laboratories Woodbury LLC,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
107, ,2025-09-22,1477609,Hanger Prosthetics and Orthotics East Inc,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
108, ,2025-09-22,1460823,Quentin N Burdick Comprehensive Health Care Facility,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
109, ,2025-09-22,1453441,CentraCare Health System Sauk Centre,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
110, ,2025-09-22,1461437,Childrens Health Care,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
111, ,2025-09-22,1462522,Kittson Memorial Hospital Association,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
112, ,2025-09-22,1463172,Hennepin Healthcare Systems Inc,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
113, ,2025-09-22,1463176,Mille Lacs Health System,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
114, ,2025-09-22,1463290,Lakewood Health System,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
115, ,2025-09-22,1463301,Perham Hospital District,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
116, ,2025-09-22,1460596,Sanford Bismarck,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
117, ,2025-09-22,1461003,Marshall County Memorial Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
118, ,2025-09-22,1457326,Allina Health System,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
119, ,2025-09-22,1460349,Avera St Lukes,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
120, ,2025-09-22,1464291,Otero County Hospital Association,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
121, ,2025-09-22,1459125,Trinity Hospitals,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
122, ,2025-09-22,1460218,St Francis Medical Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
123, ,2025-09-22,1461180,Lake Region Healthcare Corporation,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
124, ,2025-09-22,1464739,Childrens Hospital Medical Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
125, ,2025-09-22,1462654,Frances Mahon Deaconess Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
126, ,2025-09-22,1462932,Regions Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
127, ,2025-09-22,1463124,St Cloud Hospital,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
128, ,2025-09-22,1461185,LifeCare Medical Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
129, ,2025-09-22,1463205,Pine Medical Center,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
130, ,2025-09-22,1467399,University Medical Center of Southern Nevada,ND-MSG-02-8610-Revalidation DT Updated,0,B-IF-CMS-RVL_IB_1568478.00,2025-09-22 20:03:07.559157
