p_rpt_ln_cl_err_sk,p_cl_prov_id,p_cl_name,p_cl_clia_num,p_cl_exp_dt,p_cl_lab_type,p_cl_term_cd,p_cl_term_rsn,p_cl_expired_cd,p_cl_error_msg,p_cl_prcs_dt,l_hibernate_ver_num,g_aud_add_user_id,g_aud_add_ts
79516,1451335,Internal Medicine Associates,35D0408393,2026-08-20,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79517,1452279,PR Health Corporation,35D1006248,2026-11-12,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79518,1454961,Mercy Medical Center,35D0409305,2027-08-16,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79519,1452601,Mercy Medical Center,35D0409305,2027-08-16,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79520,1457820,Carrington Health Center,35D0408755,2026-05-23,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79521,1450983,Myriad Genetic Laboratories Inc,46D2275645,2027-10-17,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79522,1456936,Mercy Hospital of Valley City,35D0041727,2027-11-08,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79523,1451199,Cooperstown Medical Center,35D0408762,2027-02-01,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79524,1452057,Ascend Clinical LLC,05D0592241,2026-09-13,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
79525,1454589,St Aloisius Hospital Inc,35D0041814,2027-02-07,,,,,ND-MSG-02-8368-CLIA-IN HE NOT ON FILE,2026-03-10,0,B-IF-CLIA-MNLY_1811166.00,2026-03-10 23:00:17.616080
