p_sys_id,p_rsk_scrn_sk,p_rs_ty_cd,p_rs_last_date,p_rs_last_value,p_rs_source,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000736,322,R,2014-07-03,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000737,323,R,2014-01-27,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1306575,58682,C,2018-06-14,L,E,1,ANNDOLL,2018-06-14 10:26:15.029000,ANNDOLL,2018-06-14 10:26:07.469000
1305294,58709,R,2018-06-14,,E,0,ANNDOLL,2018-06-14 11:16:09.484000,ANNDOLL,2018-06-14 11:16:09.484000
1305294,58710,I,2018-06-14,,E,1,ANNDOLL,2018-06-14 11:16:09.874000,ANNDOLL,2018-06-14 11:16:09.496000
1000758,327,R,2014-04-03,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000759,328,R,2014-05-03,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000760,329,R,2015-04-24,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000761,330,R,2014-07-18,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1306396,58768,C,2018-06-15,L,E,1,AYARBROUGH,2018-06-15 13:38:06.490000,AYARBROUGH,2018-06-15 13:38:04.100000
1000764,332,R,2014-02-10,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000765,333,R,2016-12-13,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000766,334,R,2015-08-06,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
1000767,335,R,2014-07-11,,E,0,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000,DataFix_ESPRD01213970,2018-04-05 19:38:28.000000
