p_sys_id,p_specl_sk,p_specl_cd,p_specl_beg_dt,p_specl_end_dt,p_specl_cert_num,p_state_cd,p_specl_cert_board_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1000842,1000814,001,2011-09-07,2013-09-30,,ND,,1,SKOEHLY,2014-11-17 16:21:28.508000,Provider Conversion,2013-03-30 12:53:04.000000
1000843,1000815,011,2011-09-12,2013-09-30,,ND,,2,KARINARUIZ,2014-11-11 12:27:37.823000,Provider Conversion,2013-03-30 12:53:04.000000
1000844,1000816,217,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000845,1000817,214,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000846,1000818,001,2011-07-01,2013-09-30,,ND,,5,JMLAGRO,2015-02-20 13:04:22.186000,Provider Conversion,2013-03-30 12:53:04.000000
1000847,1000819,121,2011-07-01,2013-09-30,,ND,,2,DANIELLAESTRELLA,2015-06-22 08:15:36.690000,Provider Conversion,2013-03-30 12:53:04.000000
1000848,1000820,016,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000849,1000821,006,2011-07-01,2012-08-28,,,,0,Provider Conversion,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000850,1000822,179,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000851,1000823,001,2011-07-01,2015-10-04,0000,ND,26,1,KHANDELAND,2019-11-29 13:59:40.568000,Provider Conversion,2013-03-30 12:53:04.000000
1000852,1000824,108,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000853,1000825,121,2011-07-01,2012-03-16,,,,0,Provider Conversion,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000854,1000826,016,2011-07-01,2012-05-04,,ND,,1,KARCHARVAT,2017-06-05 11:17:04.857000,Provider Conversion,2013-03-30 12:53:04.000000
1000855,1000827,121,2011-07-01,2013-09-30,,ND,,4,JMLAGRO,2015-06-18 10:25:13.062000,Provider Conversion,2013-03-30 12:53:04.000000
1000856,1000828,005,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000857,1000829,001,2011-07-01,2015-10-04,0000,ND,26,1,KHANDELAND,2019-11-29 14:02:08.862000,Provider Conversion,2013-03-30 12:53:04.000000
1000858,1000830,006,2011-07-01,2015-10-04,,ND,,1,DMOCK,2017-03-27 14:15:02.656000,Provider Conversion,2013-03-30 12:53:04.000000
1000859,1000831,007,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000860,1000832,049,2011-07-01,2015-10-04,,ND,,1,SKOEHLY,2018-02-21 11:04:10.172000,Provider Conversion,2013-03-30 12:53:04.000000
1000861,1000833,275,2011-07-01,2013-09-30,,ND,,6,MAURICIOPENERAND,2015-08-03 15:54:32.987000,Provider Conversion,2013-03-30 12:53:04.000000
1000862,1000834,217,2011-07-01,2013-09-30,,ND,,2,CAROLREEVES,2015-07-01 09:18:04.124000,Provider Conversion,2013-03-30 12:53:04.000000
1000863,1000835,020,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
1000864,1000836,121,2011-07-01,2015-10-04,,,,0,CR1906_SET_ENDDT_4OCT15,2013-03-30 12:53:04.000000,Provider Conversion,2013-03-30 12:53:04.000000
