p_sys_id,p_svc_ty_sk,p_svc_ty_cd,p_svc_seq_num,p_svc_cd,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1276763,850933,AGE,0,6,85,TBRABANDT,2013-12-03 07:24:33.365000,guestUser,2013-04-05 13:47:36.332000
1276763,850934,AGE,1,2,85,TBRABANDT,2013-12-03 07:24:33.381000,guestUser,2013-04-05 13:47:36.333000
1276763,850935,AGE,2,4,85,TBRABANDT,2013-12-03 07:24:33.378000,guestUser,2013-04-05 13:47:36.333000
1276763,850936,AGE,3,3,85,TBRABANDT,2013-12-03 07:24:33.375000,guestUser,2013-04-05 13:47:36.333000
1276762,850847,GND,6,1,2,RRUD,2013-04-08 07:49:58.418000,guestUser,2013-04-05 10:01:52.110000
1276762,850848,AGE,5,7,2,RRUD,2013-04-08 07:49:58.417000,guestUser,2013-04-05 10:01:52.110000
1276762,850849,AGE,4,5,2,RRUD,2013-04-08 07:49:58.416000,guestUser,2013-04-05 10:01:52.110000
1276762,850850,AGE,3,3,2,RRUD,2013-04-08 07:49:58.415000,guestUser,2013-04-05 10:01:52.111000
1276762,850851,AGE,2,6,2,RRUD,2013-04-08 07:49:58.414000,guestUser,2013-04-05 10:01:52.111000
1276762,850852,AGE,1,4,2,RRUD,2013-04-08 07:49:58.418000,guestUser,2013-04-05 10:01:52.111000
1276762,850853,AGE,0,2,2,RRUD,2013-04-08 07:49:58.418000,guestUser,2013-04-05 10:01:52.112000
1276763,850937,AGE,4,5,85,TBRABANDT,2013-12-03 07:24:33.372000,guestUser,2013-04-05 13:47:36.334000
1276763,850938,AGE,5,7,85,TBRABANDT,2013-12-03 07:24:33.368000,guestUser,2013-04-05 13:47:36.334000
1276763,850939,GND,6,1,85,TBRABANDT,2013-12-03 07:24:33.385000,guestUser,2013-04-05 13:47:36.334000
1276786,852055,AGE,0,6,8,RRUD,2014-06-12 13:56:05.279000,guestUser,2013-04-10 10:36:22.411000
1276786,852056,GND,1,9,8,RRUD,2014-06-12 13:56:05.280000,guestUser,2013-04-10 10:36:22.411000
