p_sys_id,p_bkup_whold_ind,p_1st_bnote_dt,p_1st_bnote_yr_num,p_2nd_bnote_dt,p_2nd_bnote_yr_num,l_hibernate_ver_num,g_aud_user_id,g_aud_ts,g_aud_add_user_id,g_aud_add_ts
1181390,W,,,,,17,SLSCHAAF,2017-02-07 12:58:21.232000,NMAIER,2013-04-10 15:32:40.555000
1181167,W,,,,,2,NMAIER,2015-06-16 11:36:44.887000,NMAIER,2013-04-11 14:09:58.406000
1002345,W,,,,,2,KRBACKMAN,2013-04-12 10:20:48.004000,KRBACKMAN,2013-04-12 10:05:13.892000
1174624,W,,,,,8,LBARKER,2014-12-22 15:14:18.753000,KRBACKMAN,2013-04-12 10:11:53.123000
1278214,W,,,,,33,JJUVE,2022-11-29 16:09:06.353000,PJHEID,2013-06-26 14:41:38.867000
1190833,W,,,,,6,JMLAGRO,2015-06-25 15:03:18.546000,JMLAGRO,2013-07-03 07:28:08.080000
1164624,W,,,,,9,MLMOOS,2018-12-12 15:59:45.257000,TBRABANDT,2013-07-03 14:54:22.735000
1276759,W,,,,,7,JMLAGRO,2015-06-15 14:26:32.191000,TBRABANDT,2013-07-10 11:19:42.737000
1277925,W,,,,,8,JMLAGRO,2015-07-10 10:16:21.445000,JMLAGRO,2013-07-12 09:14:59.783000
1278142,W,,,,,14,JASTONE,2018-07-04 07:34:18.935000,JMLAGRO,2013-07-12 09:17:19.073000
1277735,W,,,,,46,ANNDOLL,2018-08-13 10:40:29.417000,JMLAGRO,2013-07-17 15:02:41.807000
1278383,W,,,,,26,KAMELTZER,2023-08-31 09:46:33.574000,PJHEID,2013-07-23 15:59:33.943000
1279402,W,,,,,9,JMLAGRO,2015-01-26 15:30:03.453000,JMLAGRO,2013-08-14 07:46:20.234000
1280173,W,,,,,12,JALEESAWILSON,2022-08-30 14:02:55.456000,JMLAGRO,2013-09-19 10:49:47.298000
1277284,W,,,,,25,JAWALTON,2021-01-04 15:38:44.212000,JMLAGRO,2013-09-19 10:53:12.960000
1279600,W,,,,,5,MLMOOS,2019-02-18 09:57:59.852000,JMLAGRO,2013-09-19 10:58:10.024000
1004104,W,,,,,3,HOFFMANNLIZA,2023-12-27 06:56:46.373000,JMLAGRO,2013-09-19 11:02:50.877000
1280170,W,,,,,19,HOFFMANNLIZA,2023-12-27 07:00:34.739000,JMLAGRO,2013-09-19 11:06:12.269000
1163161,W,,,,,20,CDTAYLOR,2022-12-14 12:15:04.650000,PJHEID,2013-10-02 08:51:53.124000
1000485,W,,,,,22,TWILLIS,2023-01-03 11:51:36.816000,JMLAGRO,2013-10-02 15:39:18.366000
1158635,W,,,,,10,KMELTZER,2020-05-19 14:56:39.047000,JMLAGRO,2013-10-07 08:41:00.411000
1165439,W,,,,,23,TSTREET,2022-07-25 08:43:20.249000,JMLAGRO,2013-10-07 08:48:27.473000
1167765,W,,,,,8,MESYLVESTER,2023-05-23 13:43:57.735000,JMLAGRO,2013-10-07 12:36:31.528000
1001687,W,,,,,5,MLMOOS,2018-12-28 21:25:30.713000,JMLAGRO,2013-10-09 08:12:37.865000
1001681,W,,,,,3,MLMOOS,2018-12-11 16:19:32.387000,JMLAGRO,2013-10-09 08:31:03.507000
1161587,W,,,,,19,RSTACK,2022-06-01 12:39:20.318000,JMLAGRO,2013-10-09 08:41:02.213000
1000483,W,,,,,22,AMANDAREGISTER,2022-10-28 10:15:17.845000,JMLAGRO,2013-10-09 08:54:10.171000
1157914,W,,,,,12,TMCNEIL,2022-12-28 16:09:57.931000,JMLAGRO,2013-10-09 09:29:13.210000
1161590,W,,,,,16,RSTACK,2022-05-19 13:17:24.059000,JMLAGRO,2013-10-09 09:44:18.065000
1163211,W,,,,,17,TMCNEIL,2022-12-29 14:14:50.655000,JMLAGRO,2013-10-09 10:20:44.374000
1192312,W,,,,,15,RRUD,2023-01-24 08:04:02.487000,PJHEID,2013-10-10 13:45:37.738000
1280647,W,,,,,5,MLMOOS,2019-02-18 10:39:58.943000,PJHEID,2013-10-10 15:09:33.357000
1192311,W,,,,,10,JODYTAYLOR,2023-01-25 11:14:25.375000,PJHEID,2013-10-10 15:25:06.727000
1163194,W,,,,,13,MLMOOS,2018-11-03 16:21:51.384000,JMLAGRO,2013-10-15 09:55:38.756000
1280700,W,,,,,6,JMLAGRO,2015-01-21 06:50:08.251000,JMLAGRO,2013-10-21 14:09:07.780000
1168210,W,,,,,10,KMELTZER,2020-05-23 14:11:16.845000,JMLAGRO,2013-10-21 14:13:08.019000
1162385,W,,,,,18,DMOCK,2023-03-31 11:52:11.110000,PJHEID,2013-10-22 10:24:51.693000
