"P_GRP_SYS_ID","P_MBR_SYS_ID","P_AFFL_SK","P_AFFL_BEG_DT","P_AFFL_TY_CD","P_AFFL_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000110,1163880,1000085,01-JUL-07,"M",04-OCT-15,7,"CR1906_SET_GRPENDDT_4OCT15",27-AUG-15 12.07.23.000000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000110,1163887,1000088,01-JAN-77,"M",04-OCT-15,7,"CR1906_SET_GRPENDDT_4OCT15",27-AUG-15 12.07.23.000000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000110,1164606,1000089,01-JAN-84,"M",01-JUL-10,3,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.31.608002000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000110,1165456,1000091,07-OCT-09,"I",30-APR-12,3,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.31.853975000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000110,1166011,1000092,01-JAN-86,"M",13-FEB-13,3,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.31.608002000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1000413,1000094,01-JUL-10,"I",23-DEC-10,0,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1000559,1000095,01-JUL-10,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1000823,1000096,01-JUL-11,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003176,1000097,01-OCT-10,"I",01-NOV-12,5,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003187,1000098,01-JUL-10,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003307,1000099,14-NOV-11,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003308,1000100,14-NOV-11,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003626,1000101,17-SEP-12,"I",01-NOV-12,8,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003633,1000102,17-SEP-12,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003682,1000103,17-SEP-12,"M",01-NOV-12,15,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1003742,1000104,17-SEP-12,"I",01-NOV-12,2,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000111,1163880,1000105,01-JUL-10,"M",01-NOV-12,6,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1000554,1000106,01-APR-11,"I",04-OCT-15,4,"CR1906_SET_MBRENDDT_4OCT15",27-AUG-15 12.07.24.000000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1000823,1000107,01-JUL-11,"I",13-FEB-13,4,"SKOEHLY",03-MAR-15 01.34.05.478000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1003619,1000109,01-OCT-13,"M",23-NOV-16,18,"PJHEID",22-FEB-17 09.23.05.469000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1003742,1000110,17-SEP-12,"I",04-OCT-15,5,"CR1906_SET_MBRENDDT_4OCT15",27-AUG-15 12.07.24.000000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1004029,1000111,01-OCT-13,"M",22-APR-20,14,"DMOCK",07-JUL-20 07.58.45.576000000 AM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000112,1163880,1000113,01-OCT-13,"M",31-AUG-22,11,"TONIWORKMAN",15-NOV-22 05.43.03.371000000 AM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1000413,1000114,01-JUL-10,"I",23-DEC-10,0,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1000559,1000115,01-JUL-10,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1003626,1000116,17-SEP-12,"I",01-NOV-12,8,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1003633,1000117,17-SEP-12,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1003682,1000118,01-JUL-10,"M",01-NOV-12,14,"SKOEHLY",18-JUN-15 03.19.22.631000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1003742,1000119,17-SEP-12,"I",01-NOV-12,2,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1003757,1000120,17-SEP-12,"M",01-NOV-12,11,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1163880,1000121,01-JUL-10,"I",01-NOV-12,6,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000113,1166011,1000122,01-JAN-86,"I",01-NOV-12,1,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.51.670247000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000114,1000413,1000123,01-JUL-10,"I",23-DEC-10,2,"SKOEHLY",03-MAR-15 01.51.39.765000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
1000114,1000588,1000124,01-JUL-11,"I",04-OCT-15,2,"CR1906_SET_MBRENDDT_4OCT15",27-AUG-15 12.07.24.000000000 PM,"Provider Conversion",28-MAR-13 03.56.36.000000000 AM
