"P_GRP_SYS_ID","P_MBR_SYS_ID","P_AFFL_SK","P_AFFL_PCP_IND","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID"
1001549,1277138,1019627,"N",0,30-NOV-13 04.24.45.992000000 PM,"PJHEID",30-NOV-13 04.24.45.992000000 PM,"PJHEID"
1155497,1280566,1019648,"Y",0,02-DEC-13 10.03.30.664000000 AM,"JMLAGRO",02-DEC-13 10.03.30.664000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155497,1280596,1019640,"N",0,02-DEC-13 08.38.01.292000000 AM,"JMLAGRO",02-DEC-13 08.38.01.292000000 AM,"JMLAGRO"
1155497,1280648,1019649,"Y",0,02-DEC-13 10.06.50.510000000 AM,"JMLAGRO",02-DEC-13 10.06.50.510000000 AM,"DATA_FFIX_PCPIndicator_850493"
1000596,1277399,1019653,"Y",0,02-DEC-13 10.21.03.939000000 AM,"PJHEID",02-DEC-13 10.21.03.939000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155497,1281195,1019755,"N",0,06-DEC-13 01.09.31.714000000 PM,"PJHEID",06-DEC-13 01.09.31.714000000 PM,"PJHEID"
1169004,1280375,1019746,"N",5,06-DEC-13 07.32.30.674000000 AM,"JMLAGRO",20-JUL-15 04.49.41.869000000 PM,"MMANYGUNS"
1189208,1280725,1019780,"N",0,10-DEC-13 10.21.21.924000000 AM,"JMLAGRO",10-DEC-13 10.21.21.924000000 AM,"JMLAGRO"
1166177,1277743,1019695,"N",1,03-DEC-13 03.11.08.925000000 PM,"PJHEID",05-NOV-20 01.35.34.506000000 PM,"DATA_FFIX_PCPIndicator_850493"
1189217,1280725,1019781,"N",0,10-DEC-13 10.21.21.986000000 AM,"JMLAGRO",10-DEC-13 10.21.21.986000000 AM,"JMLAGRO"
1192440,1280909,1019785,"N",0,10-DEC-13 04.58.30.206000000 PM,"JMLAGRO",10-DEC-13 04.58.30.206000000 PM,"JMLAGRO"
1000106,1280934,1020087,"Y",7,02-JAN-14 01.45.50.066000000 PM,"JMLAGRO",06-JUL-15 10.18.43.699000000 AM,"DataFix_PCPAffiliaion"
1168347,1280934,1020086,"Y",7,02-JAN-14 01.45.50.055000000 PM,"JMLAGRO",06-JUL-15 10.18.43.699000000 AM,"DataFix_PCPAffiliaion"
1000105,1280934,1020088,"Y",7,02-JAN-14 01.45.50.085000000 PM,"JMLAGRO",06-JUL-15 10.18.43.700000000 AM,"DataFix_PCPAffiliaion"
1000108,1280934,1020089,"Y",7,02-JAN-14 01.45.50.089000000 PM,"JMLAGRO",06-JUL-15 10.18.43.697000000 AM,"DataFix_PCPAffiliaion"
1186303,1281777,1020156,"N",0,08-JAN-14 10.37.13.107000000 PM,"PJHEID",08-JAN-14 10.37.13.107000000 PM,"PJHEID"
1166786,1281712,1020781,"Y",1,28-JAN-14 01.05.20.425000000 AM,"PJHEID",06-AUG-15 08.30.46.954000000 AM,"DATA_FFIX_PCPIndicator_850493"
1155553,1281701,1020336,"N",1,14-JAN-14 11.59.21.166000000 AM,"JMLAGRO",17-JUL-15 03.22.42.608000000 PM,"JMLAGRO"
1281248,1281403,1021674,"Y",5,10-FEB-14 08.00.13.841000000 AM,"JMLAGRO",20-JUL-15 05.50.20.694000000 PM,"DATA_FFIX_PCPIndicator_850493"
1183575,1281615,1020779,"N",0,27-JAN-14 11.59.20.600000000 PM,"PJHEID",27-JAN-14 11.59.20.600000000 PM,"PJHEID"
1159352,1281113,1020952,"N",0,04-FEB-14 12.20.55.313000000 PM,"JMLAGRO",04-FEB-14 12.20.55.313000000 PM,"JMLAGRO"
1167001,1281403,1021675,"Y",1,10-FEB-14 08.00.13.845000000 AM,"JMLAGRO",08-JUN-15 03.23.14.335000000 PM,"DATA_FFIX_PCPIndicator_850493"
1161390,1281403,1021676,"Y",5,10-FEB-14 08.00.13.850000000 AM,"JMLAGRO",20-JUL-15 05.50.20.694000000 PM,"DATA_FFIX_PCPIndicator_850493"
1191604,1277713,1021711,"N",0,10-FEB-14 03.48.48.408000000 PM,"JMLAGRO",10-FEB-14 03.48.48.408000000 PM,"JMLAGRO"
1204196,1281915,1022219,"N",0,14-FEB-14 08.13.13.712000000 AM,"JMLAGRO",14-FEB-14 08.13.13.712000000 AM,"JMLAGRO"
