"P_CLIA_NUM","P_CLIA_CERT_LI_NUM","P_CLIA_CERT_TY_CD","P_CLIA_CERT_BEG_DT","P_CLIA_CERT_END_DT","P_CLIA_LAB_TY_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS","P_CLIA_CERT_SEQ_NUM"
"01D0299895","10","3",23-DEC-95,22-DEC-97,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162330000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162330000 AM,0
"01D0299895","01","4",23-DEC-13,04-DEC-15,"2",0,"B-IF-PRV-CLIA-UPD_1054767.00",18-JUL-16 02.12.20.000000000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.060864000 AM,0
"01D0299895","02","4",23-DEC-11,22-DEC-13,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162239000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162239000 AM,0
"01D0299895","03","4",23-DEC-09,22-DEC-11,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162254000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162254000 AM,0
"01D0299895","04","4",23-DEC-07,22-DEC-09,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162265000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162265000 AM,0
"01D0299895","05","4",23-DEC-05,22-DEC-07,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162276000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162276000 AM,0
"01D0299895","06","4",23-DEC-03,22-DEC-05,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162287000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162287000 AM,0
"01D0299895","07","4",23-DEC-01,22-DEC-03,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162297000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162297000 AM,0
"01D0299895","08","4",23-DEC-99,22-DEC-01,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162308000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162308000 AM,0
"01D0299895","09","4",23-DEC-97,22-DEC-99,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162319000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162319000 AM,0
"01D0299900","10","3",23-DEC-95,22-DEC-97,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162437000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162437000 AM,0
"01D0299900","01","4",23-DEC-13,22-DEC-15,"2",0,"B-IF-PRV-CLIA-UPD_1051373.00",15-JUL-16 09.35.13.000000000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162340000 AM,0
"01D0299900","02","4",23-DEC-11,22-DEC-13,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162351000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162351000 AM,0
"01D0299900","03","4",23-DEC-09,22-DEC-11,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162362000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162362000 AM,0
"01D0299900","04","4",23-DEC-07,22-DEC-09,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162373000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162373000 AM,0
"01D0299900","05","4",23-DEC-05,22-DEC-07,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162383000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162383000 AM,0
"01D0299900","06","4",23-DEC-03,22-DEC-05,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162394000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162394000 AM,0
"01D0299900","07","4",23-DEC-01,22-DEC-03,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162405000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162405000 AM,0
"01D0299900","08","4",23-DEC-99,22-DEC-01,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162416000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162416000 AM,0
"01D0299900","09","4",23-DEC-97,22-DEC-99,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162426000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162426000 AM,0
"01D0299928","01","3",23-DEC-13,22-DEC-15,"2",0,"B-IF-PRV-CLIA-UPD_1051373.00",15-JUL-16 09.35.13.000000000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162447000 AM,0
"01D0299928","02","3",23-DEC-11,22-DEC-13,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162458000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162458000 AM,0
"01D0299928","03","3",23-DEC-09,22-DEC-11,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162469000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162469000 AM,0
"01D0299928","04","3",23-DEC-07,22-DEC-09,"2",0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162479000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.41.49.162479000 AM,0
