"P_CLIA_NUM","P_CLIA_LAB_CD","P_CLIA_CERT_BEG_DT","P_CLIA_CERT_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
"01D0301071","310",19-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438229000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285655000 AM
"01D0301071","320",19-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438229000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285663000 AM
"01D0301071","330",19-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438230000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285671000 AM
"01D0301071","340",17-MAY-12,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285680000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285680000 AM
"01D0301071","400",19-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438230000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285688000 AM
"01D0301161","220",19-JAN-94,05-APR-16,0,"B-IF-PRV-CLIA-UPD_1238013.00",19-DEC-16 06.21.52.550665000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285696000 AM
"01D0301161","310",19-JAN-94,05-APR-16,0,"B-IF-PRV-CLIA-UPD_1238013.00",19-DEC-16 06.21.52.550669000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285704000 AM
"01D0301161","320",29-MAY-12,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285712000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285712000 AM
"01D0301161","400",19-JAN-94,05-APR-16,0,"B-IF-PRV-CLIA-UPD_1238013.00",19-DEC-16 06.21.52.550673000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285721000 AM
"01D0301246","120",12-JUN-08,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285730000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285730000 AM
"01D0301246","130",12-JUN-08,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285738000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285738000 AM
"01D0301246","220",12-JUN-08,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.961967000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285746000 AM
"01D0301246","310",12-JUN-08,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.961970000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285754000 AM
"01D0301246","320",12-JUN-08,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285762000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285762000 AM
"01D0301246","330",12-JUN-08,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.961973000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285770000 AM
"01D0301246","400",12-JUN-08,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285779000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285779000 AM
"01D0301577","120",08-FEB-95,19-SEP-17,0,"B-IF-PRV-CLIA-UPD_2073060.00",26-JUL-18 12.09.49.709086000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285787000 AM
"01D0301577","130",08-FEB-95,19-SEP-17,0,"B-IF-PRV-CLIA-UPD_2073060.00",26-JUL-18 12.09.49.709091000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285795000 AM
"01D0301577","320",08-FEB-95,22-JUN-16,0,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285803000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285803000 AM
"01D0301577","400",08-FEB-95,19-SEP-17,0,"B-IF-PRV-CLIA-UPD_2073060.00",26-JUL-18 12.09.49.709095000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285811000 AM
"01D0301734","220",15-MAR-05,17-JUN-15,0,"B-IF-PRV-CLIA-UPD_723052.00",07-OCT-15 10.31.46.225363000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285819000 AM
"01D0301734","310",17-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438231000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285827000 AM
"01D0301734","320",21-MAY-12,20-MAY-15,0,"B-IF-PRV-CLIA-UPD_723052.00",07-OCT-15 10.30.03.731012000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285836000 AM
"01D0301734","400",17-JAN-94,22-JUN-26,0,"B-IF-PRV-CLIA-UPD_617020.00",01-DEC-23 06.28.20.438232000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285844000 AM
"01D0301985","400",23-DEC-93,28-JAN-18,0,"B-IF-PRV-CLIA-UPD_Hist_39",22-AUG-18 12.17.07.083874000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285852000 AM
"01D0302215","110",01-SEP-94,23-NOV-20,0,"B-IF-PRV-CLIA-UPD_4091174.00",26-NOV-21 06.35.09.442890000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285861000 AM
"01D0302215","220",08-JAN-09,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.962000000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285869000 AM
"01D0302215","310",02-JAN-09,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.962002000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285877000 AM
"01D0302215","320",01-SEP-94,15-SEP-06,0,"B-IF-PRV-CLIA-UPD_Hist_43",22-AUG-18 01.08.19.206810000 AM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285885000 AM
"01D0302215","330",02-JAN-09,22-JUN-20,0,"B-IF-PRV-CLIA-UPD_Hist_23",21-AUG-18 01.25.24.962008000 PM,"B-IF-PRV-CLIA-UPD_8943636.00",06-FEB-14 10.42.50.285893000 AM
