"P_SYS_ID","P_CLIA_PROV_SK","P_CLIA_NUM","P_CLIA_PROV_BEG_DT","P_CLIA_PROV_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1282767,50962,"44D1066133",16-MAY-15,15-MAY-27,15,"DEDEMILLS",05-MAY-25 06.57.02.348000000 AM,"JMLAGRO",05-MAR-14 02.58.42.272000000 PM
1191392,51018,"35D0695365",01-SEP-12,31-AUG-18,8,"ANNDOLL",10-AUG-17 01.39.26.927000000 PM,"CKRAFT",09-MAY-14 07.17.36.259000000 AM
1000115,50993,"35D0909266",01-JAN-14,31-DEC-21,2,"B-IF-CLIA-MNLY_2931341.00",08-JAN-20 11.01.15.749979000 PM,"JMLAGRO",24-APR-14 03.12.33.498000000 PM
1153813,51014,"35D0693180",25-JAN-13,24-JAN-27,8,"NICOLERICHTER",19-FEB-25 01.28.46.528000000 PM,"PJHEID",07-MAY-14 02.44.16.088000000 PM
1154542,51033,"24D0405866",03-JAN-13,02-JAN-27,2,"KAMELTZER",05-SEP-25 08.58.17.366000000 AM,"PJHEID",14-MAY-14 02.37.50.168000000 PM
1153812,51029,"35D0409305",17-AUG-13,16-AUG-27,25,"DEDEMILLS",03-DEC-25 07.48.36.940000000 AM,"ZOEASANDY",12-MAY-14 03.23.45.655000000 PM
1278354,51024,"35D0655677",09-FEB-13,02-OCT-13,4,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JOYSPEZIALE",09-MAY-14 05.55.50.215000000 PM
1155497,51025,"35D0655677",09-FEB-13,08-FEB-27,6,"NICOLERICHTER",28-APR-25 03.18.28.562000000 PM,"JOYSPEZIALE",09-MAY-14 05.55.52.294000000 PM
1171481,51093,"24D0666573",01-SEP-12,31-AUG-20,1,"ANNDOLL",08-JUN-19 10.11.23.853000000 AM,"JMLAGRO",27-MAY-14 11.29.59.840000000 AM
1154880,51066,"24D0400828",03-JAN-13,03-FEB-17,0,"ESPRD01160601",19-MAY-14 06.03.23.653000000 PM,"JOYSPEZIALE",19-MAY-14 06.03.23.653000000 PM
1282590,51109,"06D0518495",06-OCT-13,27-JUN-15,3,"B-Term-Prov-Trigger_2382224.00",06-FEB-19 06.00.57.972064000 PM,"JMLAGRO",29-MAY-14 11.17.17.177000000 AM
1187792,51072,"35D0408522",01-SEP-12,31-AUG-26,9,"DEDEMILLS",22-OCT-24 08.16.27.373000000 AM,"JOYSPEZIALE",20-MAY-14 06.09.03.455000000 PM
1283666,51127,"10D0271186",11-SEP-13,30-JUN-15,1,"B-Term-Prov-Trigger_2382224.00",06-FEB-19 06.00.57.972064000 PM,"JMLAGRO",30-MAY-14 10.30.57.460000000 AM
1155370,51097,"27D0409879",12-FEB-13,11-FEB-25,7,"DEDEMILLS",09-SEP-24 12.37.10.903000000 PM,"KWOODALL",28-MAY-14 09.01.16.632000000 AM
1000336,51117,"43D1094322",15-JAN-13,14-JAN-25,6,"TONIWORKMAN",19-JUN-24 09.22.20.536000000 AM,"JOYSPEZIALE",29-MAY-14 03.56.11.235000000 PM
1287051,51120,"35D0041821",10-DEC-12,24-MAR-27,20,"NICOLERICHTER",05-MAR-25 02.07.46.463000000 PM,"PJHEID",29-MAY-14 09.12.44.566000000 PM
1153890,51145,"24D0402379",03-JAN-13,03-FEB-17,0,"ESPRD01160601",02-JUN-14 07.12.53.571000000 AM,"JMLAGRO",02-JUN-14 07.12.53.571000000 AM
1171985,51130,"35D1099200",07-MAY-13,03-FEB-17,2,"ESPRD01160601",20-AUG-15 11.42.17.865000000 AM,"PJHEID",30-MAY-14 11.48.26.401000000 AM
1155315,51177,"24D0398061",03-JAN-13,26-DEC-22,1,"B-Term-Prov-Trigger_1346356.00",21-APR-25 06.01.04.697045000 PM,"KWOODALL",06-JUN-14 02.19.09.088000000 PM
1204374,51134,"35D2005925",08-APR-14,03-FEB-17,1,"ESPRD01160601",13-AUG-15 01.04.06.192000000 PM,"PJHEID",30-MAY-14 12.03.54.537000000 PM
1153841,51175,"27D0409879",12-FEB-13,11-FEB-25,5,"PEGBROSSART",17-SEP-24 09.28.13.698000000 AM,"JOYSPEZIALE",06-JUN-14 02.04.08.047000000 PM
1154710,51170,"27D0409807",16-MAR-13,06-JUN-19,1,"B-Term-Prov-Trigger_2583637.00",12-JUN-19 06.01.13.739317000 PM,"ZOEASANDY",06-JUN-14 12.45.33.033000000 PM
1286912,51171,"27D0934289",06-MAR-13,03-FEB-17,2,"ESPRD01160601",06-AUG-14 03.13.12.671000000 PM,"JOYSPEZIALE",06-JUN-14 01.00.19.314000000 PM
1153757,51187,"35D0408653",08-JAN-13,07-JAN-27,12,"NICOLERICHTER",04-MAR-25 03.13.12.543000000 PM,"JMLAGRO",09-JUN-14 03.11.08.800000000 PM
1154796,51185,"35D0408653",08-JAN-13,07-JAN-27,13,"NICOLERICHTER",04-MAR-25 02.44.25.149000000 PM,"JMLAGRO",09-JUN-14 03.03.57.417000000 PM
1155409,51196,"35D0663789",09-FEB-15,08-FEB-27,11,"NICOLERICHTER",21-MAR-25 08.05.25.453000000 AM,"PJHEID",11-JUN-14 08.58.31.062000000 AM
1171976,51189,"24D0723478",01-SEP-12,31-DEC-16,2,"B-Term-Prov-Trigger_2456973.00",25-MAR-19 06.00.53.870858000 PM,"PJHEID",09-JUN-14 03.59.04.962000000 PM
1285999,51190,"24D0406485",30-MAY-14,03-FEB-17,7,"ESPRD01160601",13-MAR-15 04.58.45.816000000 PM,"JMLAGRO",10-JUN-14 09.48.32.099000000 AM
1000368,51210,"35D0655616",09-FEB-13,08-FEB-27,12,"DEDEMILLS",19-MAY-25 11.09.00.170000000 AM,"BRENDAPEREZESCOB",12-JUN-14 12.58.09.679000000 PM
1287644,51211,"35D0670867",01-SEP-12,02-OCT-13,7,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"PJHEID",12-JUN-14 02.03.53.820000000 PM
1164756,51239,"35D0408220",01-SEP-12,31-DEC-05,6,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.31.955254000 PM,"PJHEID",16-JUN-14 01.37.23.834000000 PM
1278161,51224,"35D0939152",11-JUN-14,20-JAN-26,6,"DEDEMILLS",21-JUN-24 09.52.47.501000000 AM,"PJHEID",13-JUN-14 12.46.12.420000000 PM
1171581,51235,"24D0406393",01-SEP-12,05-FEB-15,3,"B-Term-Prov-Trigger_2429808.00",08-MAR-19 06.00.54.490580000 PM,"PJHEID",16-JUN-14 11.21.33.953000000 AM
1164487,51237,"35D0408726",03-APR-11,02-APR-27,11,"DEDEMILLS",12-MAY-25 10.24.11.136000000 AM,"IFRANKHAN",16-JUN-14 01.24.41.085000000 PM
1155385,51257,"35D0409233",08-JUN-14,03-FEB-17,4,"ESPRD01160601",15-AUG-15 11.50.33.495000000 AM,"JOYSPEZIALE",16-JUN-14 07.14.38.487000000 PM
1278141,51268,"35D0408379",01-JUL-13,30-SEP-25,9,"DEDEMILLS",01-AUG-25 11.56.57.044000000 AM,"KWOODALL",17-JUN-14 03.45.05.078000000 PM
1167457,51241,"24D0041325",03-JAN-13,02-JAN-27,5,"NICOLERICHTER",15-JAN-25 02.05.40.401000000 PM,"JOYSPEZIALE",16-JUN-14 02.21.18.840000000 PM
1154698,51275,"23D0667009",09-FEB-13,03-FEB-17,1,"ESPRD01160601",10-MAR-15 01.52.49.484000000 PM,"JMLAGRO",18-JUN-14 01.14.42.300000000 PM
1155362,51288,"35D0877985",19-MAY-14,18-MAY-24,9,"TONIWORKMAN",29-AUG-22 09.12.40.212000000 AM,"JOYSPEZIALE",18-JUN-14 04.19.46.369000000 PM
1288551,51276,"45D0659799",14-JUN-13,26-JUL-19,1,"B-IF-CLIA-MNLY_2192790.00",08-OCT-18 10.51.39.236851000 PM,"JMLAGRO",18-JUN-14 01.21.13.590000000 PM
1154662,51300,"35D0409242",17-FEB-93,16-FEB-27,11,"DEDEMILLS",06-MAY-25 06.20.46.375000000 AM,"JOYSPEZIALE",19-JUN-14 07.09.19.326000000 PM
1166910,51292,"35D1055385",15-JUN-14,14-JUN-22,7,"B-IF-CLIA-MNLY_3236060.00",08-JUL-20 11.01.13.211724000 PM,"JOYSPEZIALE",19-JUN-14 03.53.11.477000000 PM
1191471,51298,"35D0858262",01-SEP-22,31-AUG-26,3,"NICOLERICHTER",05-NOV-24 11.44.49.797000000 AM,"JOYSPEZIALE",19-JUN-14 06.39.35.213000000 PM
1155397,51308,"35D1104988",14-SEP-13,13-SEP-23,6,"B-IF-CLIA-MNLY_4063073.00",10-NOV-21 08.23.51.018699000 AM,"RACHELSPANGENBER",20-JUN-14 02.14.25.155000000 PM
1155351,51316,"27D0652478",17-MAY-19,16-MAY-21,7,"AGREYBULL",03-JAN-20 06.04.00.977000000 PM,"JMLAGRO",23-JUN-14 11.30.31.199000000 AM
1155455,51302,"35D0980535",27-NOV-12,26-NOV-18,7,"KRISTIHEID",17-AUG-17 12.57.10.000000000 PM,"KARINARUIZ",20-JUN-14 09.45.23.644000000 AM
1155351,51317,"27D0872032",09-JUN-19,08-JUN-25,8,"DEDEMILLS",20-NOV-24 09.19.14.896000000 AM,"JMLAGRO",23-JUN-14 11.30.31.200000000 AM
1155478,51312,"35D0926532",18-OCT-13,17-OCT-21,4,"THINTZ08",13-NOV-19 10.00.29.530000000 AM,"JMLAGRO",23-JUN-14 10.26.40.894000000 AM
1164517,51332,"35D0408252",05-JUN-13,09-DEC-26,12,"TONIWORKMAN",25-MAR-26 03.37.46.251000000 PM,"ZULEIMARUIZ",24-JUN-14 09.43.00.947000000 AM
1153958,51328,"24D0676729",11-OCT-13,03-JAN-27,8,"NICOLERICHTER",15-JAN-25 01.50.11.018000000 PM,"NAKARRIABELL",23-JUN-14 04.20.35.176000000 PM
1159392,51336,"35D1001562",01-OCT-13,31-MAR-22,3,"B-Term-Prov-Trigger_4571410.00",31-AUG-22 06.04.05.393186000 PM,"ZULEIMARUIZ",24-JUN-14 11.53.03.683000000 AM
1001393,51340,"24D0405847",10-AUG-12,09-AUG-22,6,"B-IF-CLIA-MNLY_3982672.00",24-SEP-21 03.48.46.156640000 PM,"JMLAGRO",24-JUN-14 01.39.25.078000000 PM
1001845,51334,"35D0677687",01-SEP-12,03-FEB-17,5,"ESPRD01160601",13-AUG-15 01.06.43.164000000 PM,"RACHELSPANGENBER",24-JUN-14 11.40.28.666000000 AM
1001624,51364,"35D0408197",03-MAY-14,31-AUG-15,9,"B-Term-Prov-Trigger_429633.00",26-JUL-23 06.12.49.748671000 PM,"JMLAGRO",25-JUN-14 01.50.57.441000000 PM
1000117,51338,"24D2028848",25-AUG-13,03-FEB-17,0,"ESPRD01160601",24-JUN-14 01.39.09.793000000 PM,"KWOODALL",24-JUN-14 01.39.09.793000000 PM
1155435,51344,"35D1032874",29-OCT-12,28-OCT-22,9,"B-IF-CLIA-MNLY_3442757.00",09-NOV-20 11.01.13.297080000 PM,"PJHEID",24-JUN-14 03.03.43.128000000 PM
1286705,51345,"35D0698818",01-SEP-12,02-OCT-13,4,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"PJHEID",24-JUN-14 03.57.02.487000000 PM
1166735,51347,"35D1010366",12-MAR-13,11-MAR-25,2,"TONIWORKMAN",16-AUG-24 09.43.54.904000000 AM,"JOYSPEZIALE",24-JUN-14 05.12.08.965000000 PM
1171384,51360,"35D0408953",01-SEP-12,03-FEB-17,1,"ESPRD01160601",11-MAR-15 02.43.47.260000000 PM,"KWOODALL",25-JUN-14 12.04.26.274000000 PM
1155386,51349,"35D0894904",23-MAR-13,22-MAR-19,3,"PJHEID",09-MAY-17 03.23.27.877000000 PM,"KWOODALL",24-JUN-14 05.36.08.435000000 PM
1162493,51393,"24D2060080",11-NOV-13,31-MAR-27,8,"NICOLERICHTER",23-SEP-25 10.29.49.333000000 AM,"MAGDALENAHANUSIA",26-JUN-14 02.28.56.339000000 PM
1154557,51391,"43D0658975",25-MAR-13,14-APR-17,3,"B-Term-Prov-Trigger_2456973.00",25-MAR-19 06.00.53.870858000 PM,"RACHELSPANGENBER",26-JUN-14 02.26.48.045000000 PM
1165183,51408,"35D0693180",25-JAN-13,24-JAN-27,13,"ANDOLL",07-AUG-25 11.28.54.640000000 AM,"PJHEID",27-JUN-14 10.01.44.339000000 AM
1171389,51405,"35D0408759",01-SEP-12,31-AUG-26,5,"PEGBROSSART",05-DEC-24 08.48.56.324000000 AM,"KWOODALL",26-JUN-14 05.44.30.234000000 PM
1285387,51399,"35D1020514",22-DEC-13,02-OCT-13,3,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.24.041878000 PM,"JMLAGRO",26-JUN-14 03.22.36.383000000 PM
1285379,51400,"35D1020513",01-SEP-14,03-FEB-17,9,"ESPRD01160601",12-AUG-15 01.21.07.007000000 PM,"JMLAGRO",26-JUN-14 03.22.36.716000000 PM
1285384,51401,"35D1020519",01-SEP-14,03-FEB-17,8,"ESPRD01160601",12-AUG-15 01.24.05.904000000 PM,"JMLAGRO",26-JUN-14 03.22.36.893000000 PM
1171486,51402,"24D0663272",01-SEP-12,03-FEB-20,5,"CHONER",16-MAR-18 04.58.45.070000000 PM,"JMLAGRO",26-JUN-14 03.22.37.042000000 PM
1278328,51430,"03D0532968",28-FEB-15,31-DEC-16,6,"B-Term-Prov-Trigger_2456973.00",25-MAR-19 06.00.53.870858000 PM,"ZOEASANDY",30-JUN-14 02.42.35.451000000 PM
1155400,51414,"35D1010366",12-MAR-13,11-MAR-23,13,"TONIWORKMAN",19-AUG-24 05.33.13.466000000 AM,"PJHEID",27-JUN-14 01.28.50.662000000 PM
1171443,51425,"35D0408969",01-JUN-13,31-MAY-27,5,"PEGBROSSART",17-SEP-25 03.49.07.931000000 PM,"PJHEID",30-JUN-14 10.58.01.527000000 AM
1287294,51427,"27D0927448",21-APR-13,03-FEB-17,4,"ESPRD01160601",17-JUL-15 09.51.56.666000000 AM,"KARINARUIZ",30-JUN-14 11.29.26.144000000 AM
1000777,51429,"24D0406642",20-JUN-14,03-FEB-17,18,"ESPRD01160601",17-AUG-15 06.54.53.887000000 AM,"JMLAGRO",30-JUN-14 01.09.05.971000000 PM
1286701,51468,"24D1085479",18-JUN-24,17-JUN-26,4,"PEGBROSSART",23-SEP-24 11.20.15.156000000 AM,"PJHEID",01-JUL-14 06.46.05.344000000 PM
