"P_ENROL_SYS_ID","P_ENROL_AFFL_SEQ_NUM","P_AFFL_PCP_IND","L_HIBERNATE_VER_NUM","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_USER_ID","G_AUD_TS"
1276776,1,"Y",17,10-APR-13 09.12.38.292000000 AM,"guestUser","JMLAGRO",01-OCT-13 08.21.55.766000000 AM
1276799,1,"N",44,10-APR-13 03.27.26.162000000 PM,"guestUser","PJHEID",06-AUG-13 09.44.17.225000000 AM
1276775,2,"N",15,10-APR-13 08.50.37.384000000 AM,"guestUser","JMLAGRO",04-OCT-13 10.15.57.796000000 AM
1276776,3,"N",14,10-APR-13 09.12.38.294000000 AM,"guestUser","JMLAGRO",01-OCT-13 08.21.55.766000000 AM
1276785,1,"N",18,10-APR-13 09.40.56.802000000 AM,"guestUser","JMLAGRO",01-OCT-13 11.07.01.157000000 AM
1276785,3,"N",8,10-APR-13 09.40.56.803000000 AM,"guestUser","JMLAGRO",01-OCT-13 11.02.37.939000000 AM
1276788,1,"N",25,10-APR-13 10.01.04.233000000 AM,"guestUser","JMLAGRO",04-OCT-13 10.26.03.576000000 AM
1276788,2,"N",8,10-APR-13 10.01.55.128000000 AM,"guestUser","JMLAGRO",04-OCT-13 10.21.34.648000000 AM
1276796,1,"Y",16,10-APR-13 11.32.09.281000000 AM,"guestUser","PJHEID",26-SEP-13 09.07.00.087000000 AM
1276776,4,"N",12,11-APR-13 09.07.43.604000000 AM,"guestUser","JMLAGRO",01-OCT-13 08.21.55.766000000 AM
1276774,3,"N",5,11-APR-13 09.17.46.634000000 AM,"guestUser","JMLAGRO",01-OCT-13 09.05.15.321000000 AM
1276788,3,"N",10,11-APR-13 09.26.28.605000000 AM,"guestUser","JMLAGRO",04-OCT-13 10.22.27.305000000 AM
1276785,4,"N",6,11-APR-13 09.31.39.800000000 AM,"guestUser","JMLAGRO",01-OCT-13 11.02.37.939000000 AM
1276842,1,"N",4,16-APR-13 11.55.41.709000000 AM,"guestUser","JMLAGRO",14-JAN-14 11.27.41.780000000 AM
1276855,1,"Y",20,17-APR-13 09.35.06.831000000 AM,"guestUser","JMLAGRO",20-MAR-14 08.28.44.286000000 AM
1276873,1,"N",18,18-APR-13 10.08.05.730000000 AM,"guestUser","PJHEID",02-OCT-13 03.19.39.106000000 PM
1276892,84,"N",17,18-APR-13 03.32.04.344000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.58.25.694000000 AM
1276892,82,"N",17,18-APR-13 03.32.04.346000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.58.25.694000000 AM
1276892,86,"N",17,18-APR-13 03.32.04.347000000 PM,"guestUser","JMLAGRO",17-JAN-14 09.58.25.694000000 AM
1276914,28,"Y",25,19-APR-13 02.01.31.453000000 PM,"guestUser","JMLAGRO",16-APR-14 09.35.48.652000000 AM
1276914,32,"Y",25,19-APR-13 02.01.31.453000000 PM,"guestUser","JMLAGRO",16-APR-14 09.35.48.652000000 AM
1276914,26,"Y",26,19-APR-13 02.01.31.454000000 PM,"guestUser","JMLAGRO",16-APR-14 09.35.48.652000000 AM
1276914,30,"Y",25,19-APR-13 02.01.31.454000000 PM,"guestUser","JMLAGRO",16-APR-14 09.35.48.652000000 AM
1276920,22,"Y",12,19-APR-13 02.46.01.581000000 PM,"guestUser","guestUser",19-APR-13 02.50.32.159000000 PM
1276920,16,"Y",12,19-APR-13 02.46.01.583000000 PM,"guestUser","guestUser",19-APR-13 02.50.32.159000000 PM
1276920,20,"Y",12,19-APR-13 02.46.01.586000000 PM,"guestUser","guestUser",19-APR-13 02.50.32.159000000 PM
1276920,18,"Y",12,19-APR-13 02.46.01.587000000 PM,"guestUser","guestUser",19-APR-13 02.50.32.159000000 PM
1276922,28,"Y",15,19-APR-13 02.50.51.123000000 PM,"guestUser","guestUser",19-APR-13 02.55.44.688000000 PM
1276922,32,"Y",15,19-APR-13 02.50.51.123000000 PM,"guestUser","guestUser",19-APR-13 02.55.44.688000000 PM
1276922,26,"Y",15,19-APR-13 02.50.51.124000000 PM,"guestUser","guestUser",19-APR-13 02.55.44.688000000 PM
1276922,30,"Y",15,19-APR-13 02.50.51.124000000 PM,"guestUser","guestUser",19-APR-13 02.55.44.688000000 PM
1276924,2,"N",10,19-APR-13 02.59.13.767000000 PM,"guestUser","guestUser",19-APR-13 03.06.27.001000000 PM
1276925,3,"N",16,19-APR-13 03.05.45.626000000 PM,"guestUser","guestUser",19-APR-13 03.12.12.617000000 PM
1276926,1,"N",22,19-APR-13 04.00.40.812000000 PM,"guestUser","PJHEID",03-MAR-14 02.48.32.670000000 PM
1276927,2,"N",11,19-APR-13 04.01.40.818000000 PM,"guestUser","PJHEID",22-JAN-14 09.45.56.242000000 PM
1276928,3,"N",16,19-APR-13 04.07.54.232000000 PM,"guestUser","PJHEID",22-JAN-14 09.44.59.968000000 PM
1276946,67,"Y",5,23-APR-13 10.33.44.621000000 AM,"guestUser","JMLAGRO",03-DEC-13 01.30.35.896000000 PM
1276946,71,"Y",5,23-APR-13 10.33.44.622000000 AM,"guestUser","JMLAGRO",03-DEC-13 01.30.35.896000000 PM
1276946,65,"Y",5,23-APR-13 10.33.44.622000000 AM,"guestUser","JMLAGRO",03-DEC-13 01.30.35.896000000 PM
1276946,69,"Y",5,23-APR-13 10.33.44.623000000 AM,"guestUser","JMLAGRO",03-DEC-13 01.30.35.896000000 PM
1276947,78,"Y",8,23-APR-13 10.39.15.406000000 AM,"guestUser","guestUser",23-APR-13 10.43.57.691000000 AM
1276947,76,"Y",8,23-APR-13 10.39.15.407000000 AM,"guestUser","guestUser",23-APR-13 10.43.57.692000000 AM
