"P_SYS_ID","P_EVENT_SK","P_EVENT_TS","P_EVENT_CD","P_EVENT_USER_ID","P_EVENT_NOTE_TEXT","P_EVENT_PRCS_IND","P_EVENT_TY_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1173037,415406,10-APR-13 03.04.41.720000000 PM,"S643","NMAIER","Web Request Successful-Acct/Password Set","Y","E",0,"B-Prov-Letters+437144.00",02-APR-15 09.03.26.000000000 PM,"NMAIER",10-APR-13 03.05.35.449000000 PM
1276764,415552,11-APR-13 09.56.03.206000000 AM,"S001","guestUser","Application rec'd from the web","Y","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.00.53.000000000 PM,"guestUser",11-APR-13 09.56.03.210000000 AM
1276806,415561,11-APR-13 10.07.26.974000000 AM,"S003","guestUser","Application number assigned","N","E",0,"guestUser",11-APR-13 10.07.26.974000000 AM,"guestUser",11-APR-13 10.07.26.974000000 AM
1276764,415553,11-APR-13 09.56.03.212000000 AM,"S003","guestUser","Application number assigned","Y","E",1,"guestUser",08-MAY-14 11.05.54.251000000 AM,"guestUser",11-APR-13 09.56.03.212000000 AM
1276806,415560,11-APR-13 10.07.26.971000000 AM,"S001","guestUser","Application rec'd from the web","Y","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.00.53.000000000 PM,"guestUser",11-APR-13 10.07.26.972000000 AM
1278695,438012,23-JUL-13 02.43.36.580000000 PM,"S001","guestUser","Application rec'd from the web","Y","E",0,"B-Prov-Letters+7710028.00",23-JUL-13 06.01.34.000000000 PM,"guestUser",23-JUL-13 02.43.36.580000000 PM
1276812,415605,11-APR-13 01.41.39.079000000 PM,"S001","guestUser","Application rec'd from the web","Y","E",2,"B-Prov-Letters+7064028.00",25-SEP-13 11.16.48.417000000 AM,"guestUser",11-APR-13 01.41.39.080000000 PM
1276812,415606,11-APR-13 01.41.39.081000000 PM,"S003","guestUser","Application number assigned","Y","E",1,"guestUser",25-SEP-13 11.16.48.417000000 AM,"guestUser",11-APR-13 01.41.39.081000000 PM
1276794,415638,11-APR-13 03.29.11.005000000 PM,"S001","guestUser","Application rec'd from the web","Y","E",1,"B-Prov-Letters+8124948.00",04-OCT-13 06.00.28.000000000 PM,"guestUser",11-APR-13 03.29.11.006000000 PM
1276794,415639,11-APR-13 03.29.11.007000000 PM,"S003","guestUser","Application number assigned","Y","E",1,"guestUser",14-JUL-14 01.59.24.213000000 PM,"guestUser",11-APR-13 03.29.11.007000000 PM
1276838,416009,16-APR-13 11.11.39.952000000 AM,"S001","guestUser","Application rec'd from the web","Y","E",0,"B-Prov-Letters+7096645.00",16-APR-13 06.00.21.000000000 PM,"guestUser",16-APR-13 11.11.39.953000000 AM
1156255,415674,11-APR-13 06.02.33.607000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.932000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.932000000 PM
1171569,415675,11-APR-13 06.02.33.684000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.932000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.932000000 PM
1001812,415676,11-APR-13 06.02.33.582000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM
1153961,415677,11-APR-13 06.02.33.632000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM
1154525,415678,11-APR-13 06.02.33.869000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM
1159274,415679,11-APR-13 06.02.33.892000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.933000000 PM
1154061,415681,11-APR-13 06.02.33.763000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.934000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.934000000 PM
1171416,415682,11-APR-13 06.02.33.711000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.936000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.936000000 PM
1153956,415683,11-APR-13 06.02.33.816000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.936000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.936000000 PM
1153940,415684,11-APR-13 06.02.33.789000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM
1172012,415685,11-APR-13 06.02.33.658000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM
1000004,415686,11-APR-13 06.02.33.737000000 PM,"S670","B-Prov-Letters+7064028.00","password set faliure","N","E",0,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM,"B-Prov-Letters+7064028.00",11-APR-13 06.02.33.937000000 PM
