"P_SYS_ID","P_ENDRSMNT_CD","P_ENDRSMNT_NAM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1279394,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"NMAIER",09-AUG-13 01.52.01.415000000 PM,"NMAIER",09-AUG-13 01.52.01.415000000 PM
1281211,"E","Suppository, Non-prescription",0,"guestUser",22-NOV-13 04.32.11.602000000 PM,"guestUser",22-NOV-13 04.32.11.602000000 PM
1279392,"A","Exercise",0,"NMAIER",09-AUG-13 02.09.43.632000000 PM,"NMAIER",09-AUG-13 02.09.43.632000000 PM
1276787,"A","Exercise",0,"guestUser",10-APR-13 10.34.17.747000000 AM,"guestUser",10-APR-13 10.34.17.747000000 AM
1276787,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"guestUser",10-APR-13 10.34.17.747000000 AM,"guestUser",10-APR-13 10.34.17.747000000 AM
1276787,"C","Ted Stockings",0,"guestUser",10-APR-13 10.34.17.747000000 AM,"guestUser",10-APR-13 10.34.17.747000000 AM
1281708,"E","Suppository, Non-prescription",0,"NMAIER",07-JAN-14 11.49.45.485000000 AM,"NMAIER",07-JAN-14 11.49.45.485000000 AM
1281708,"D","Medical Gasses, Oxygen Only",0,"NMAIER",07-JAN-14 11.49.45.485000000 AM,"NMAIER",07-JAN-14 11.49.45.485000000 AM
1279394,"G","Cognitive/Supervision",0,"NMAIER",09-AUG-13 01.52.01.415000000 PM,"NMAIER",09-AUG-13 01.52.01.415000000 PM
1279394,"C","Ted Stockings",0,"NMAIER",09-AUG-13 01.52.01.416000000 PM,"NMAIER",09-AUG-13 01.52.01.416000000 PM
1281708,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"NMAIER",07-JAN-14 11.49.45.485000000 AM,"NMAIER",07-JAN-14 11.49.45.485000000 AM
1281708,"C","Ted Stockings",0,"NMAIER",07-JAN-14 11.49.45.486000000 AM,"NMAIER",07-JAN-14 11.49.45.486000000 AM
1281708,"H","Prosthesis/Orthotics/Adaptive Devices",0,"NMAIER",07-JAN-14 11.49.45.486000000 AM,"NMAIER",07-JAN-14 11.49.45.486000000 AM
1281708,"B","Catheter",0,"NMAIER",07-JAN-14 11.49.45.486000000 AM,"NMAIER",07-JAN-14 11.49.45.486000000 AM
1281708,"G","Cognitive/Supervision",0,"NMAIER",07-JAN-14 11.49.45.487000000 AM,"NMAIER",07-JAN-14 11.49.45.487000000 AM
1281708,"A","Exercise",0,"NMAIER",07-JAN-14 11.49.45.487000000 AM,"NMAIER",07-JAN-14 11.49.45.487000000 AM
1281211,"D","Medical Gasses, Oxygen Only",0,"guestUser",22-NOV-13 04.32.11.602000000 PM,"guestUser",22-NOV-13 04.32.11.602000000 PM
1281211,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"guestUser",22-NOV-13 04.32.11.603000000 PM,"guestUser",22-NOV-13 04.32.11.603000000 PM
1281211,"C","Ted Stockings",0,"guestUser",22-NOV-13 04.32.11.603000000 PM,"guestUser",22-NOV-13 04.32.11.603000000 PM
1281211,"H","Prosthesis/Orthotics/Adaptive Devices",0,"guestUser",22-NOV-13 04.32.11.603000000 PM,"guestUser",22-NOV-13 04.32.11.603000000 PM
1281211,"B","Catheter",0,"guestUser",22-NOV-13 04.32.11.603000000 PM,"guestUser",22-NOV-13 04.32.11.603000000 PM
1281211,"G","Cognitive/Supervision",0,"guestUser",22-NOV-13 04.32.11.604000000 PM,"guestUser",22-NOV-13 04.32.11.604000000 PM
