"P_SYS_ID","P_ENDRSMNT_CD","P_ENDRSMNT_NAM","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1282382,"E","Suppository, Non-prescription",0,"guestUser",28-JAN-14 03.13.33.068000000 PM,"guestUser",28-JAN-14 03.13.33.068000000 PM
1282382,"D","Medical Gasses, Oxygen Only",0,"guestUser",28-JAN-14 03.13.33.068000000 PM,"guestUser",28-JAN-14 03.13.33.068000000 PM
1282382,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"guestUser",28-JAN-14 03.13.33.068000000 PM,"guestUser",28-JAN-14 03.13.33.068000000 PM
1282382,"C","Ted Stockings",0,"guestUser",28-JAN-14 03.13.33.069000000 PM,"guestUser",28-JAN-14 03.13.33.069000000 PM
1282382,"H","Prosthesis/Orthotics/Adaptive Devices",0,"guestUser",28-JAN-14 03.13.33.069000000 PM,"guestUser",28-JAN-14 03.13.33.069000000 PM
1282382,"B","Catheter",0,"guestUser",28-JAN-14 03.13.33.069000000 PM,"guestUser",28-JAN-14 03.13.33.069000000 PM
1282382,"G","Cognitive/Supervision",0,"guestUser",28-JAN-14 03.13.33.069000000 PM,"guestUser",28-JAN-14 03.13.33.069000000 PM
1282382,"A","Exercise",0,"guestUser",28-JAN-14 03.13.33.070000000 PM,"guestUser",28-JAN-14 03.13.33.070000000 PM
1282382,"F","Hoyer Lift/Mechanized Bath Chair",0,"guestUser",28-JAN-14 03.13.33.070000000 PM,"guestUser",28-JAN-14 03.13.33.070000000 PM
1277630,"D","Medical Gasses, Oxygen Only",0,"guestUser",05-JUN-13 01.44.25.260000000 AM,"guestUser",05-JUN-13 01.44.25.260000000 AM
1282675,"E","Suppository, Non-prescription",0,"SMCNEIL",12-FEB-14 03.08.59.733000000 PM,"SMCNEIL",12-FEB-14 03.08.59.733000000 PM
1282665,"E","Suppository, Non-prescription",0,"guestUser",12-FEB-14 01.58.57.995000000 PM,"guestUser",12-FEB-14 01.58.57.995000000 PM
1282665,"D","Medical Gasses, Oxygen Only",0,"guestUser",12-FEB-14 01.58.57.995000000 PM,"guestUser",12-FEB-14 01.58.57.995000000 PM
1282665,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"guestUser",12-FEB-14 01.58.57.996000000 PM,"guestUser",12-FEB-14 01.58.57.996000000 PM
1282665,"C","Ted Stockings",0,"guestUser",12-FEB-14 01.58.57.996000000 PM,"guestUser",12-FEB-14 01.58.57.996000000 PM
1282665,"H","Prosthesis/Orthotics/Adaptive Devices",0,"guestUser",12-FEB-14 01.58.57.996000000 PM,"guestUser",12-FEB-14 01.58.57.996000000 PM
1282665,"B","Catheter",0,"guestUser",12-FEB-14 01.58.57.996000000 PM,"guestUser",12-FEB-14 01.58.57.996000000 PM
1282665,"G","Cognitive/Supervision",0,"guestUser",12-FEB-14 01.58.57.996000000 PM,"guestUser",12-FEB-14 01.58.57.996000000 PM
1282665,"A","Exercise",0,"guestUser",12-FEB-14 01.58.57.997000000 PM,"guestUser",12-FEB-14 01.58.57.997000000 PM
1282665,"F","Hoyer Lift/Mechanized Bath Chair",0,"guestUser",12-FEB-14 01.58.57.997000000 PM,"guestUser",12-FEB-14 01.58.57.997000000 PM
1282675,"G","Cognitive/Supervision",0,"SMCNEIL",12-FEB-14 03.08.59.733000000 PM,"SMCNEIL",12-FEB-14 03.08.59.733000000 PM
1282675,"C","Ted Stockings",0,"SMCNEIL",12-FEB-14 03.08.59.734000000 PM,"SMCNEIL",12-FEB-14 03.08.59.734000000 PM
1282679,"E","Suppository, Non-prescription",0,"guestUser",12-FEB-14 03.35.38.691000000 PM,"guestUser",12-FEB-14 03.35.38.691000000 PM
1282679,"D","Medical Gasses, Oxygen Only",0,"guestUser",12-FEB-14 03.35.38.691000000 PM,"guestUser",12-FEB-14 03.35.38.691000000 PM
1282679,"I","Temp/Blood Pres/Respiration Rate/Pulse",0,"guestUser",12-FEB-14 03.35.38.691000000 PM,"guestUser",12-FEB-14 03.35.38.691000000 PM
1282679,"C","Ted Stockings",0,"guestUser",12-FEB-14 03.35.38.691000000 PM,"guestUser",12-FEB-14 03.35.38.691000000 PM
1282679,"H","Prosthesis/Orthotics/Adaptive Devices",0,"guestUser",12-FEB-14 03.35.38.692000000 PM,"guestUser",12-FEB-14 03.35.38.692000000 PM
1282679,"B","Catheter",0,"guestUser",12-FEB-14 03.35.38.692000000 PM,"guestUser",12-FEB-14 03.35.38.692000000 PM
1282679,"G","Cognitive/Supervision",0,"guestUser",12-FEB-14 03.35.38.692000000 PM,"guestUser",12-FEB-14 03.35.38.692000000 PM
1282679,"A","Exercise",0,"guestUser",12-FEB-14 03.35.38.692000000 PM,"guestUser",12-FEB-14 03.35.38.692000000 PM
1282679,"F","Hoyer Lift/Mechanized Bath Chair",0,"guestUser",12-FEB-14 03.35.38.693000000 PM,"guestUser",12-FEB-14 03.35.38.693000000 PM
1278317,"E","Suppository, Non-prescription",0,"guestUser",06-JUL-13 12.39.19.503000000 AM,"guestUser",06-JUL-13 12.39.19.503000000 AM
1278317,"D","Medical Gasses, Oxygen Only",0,"guestUser",06-JUL-13 12.39.19.504000000 AM,"guestUser",06-JUL-13 12.39.19.504000000 AM
