"P_SYS_ID","P_INTERP_SVC_SK","P_INTERP_SVC_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276825,29349,"O",0,"guestUser",28-MAY-13 02.04.55.039000000 PM,"guestUser",12-APR-13 05.22.00.392000000 PM
1276845,29351,"S",0,"guestUser",18-JUN-13 10.46.46.177000000 AM,"guestUser",17-APR-13 09.25.38.592000000 AM
1276862,29353,"S",0,"guestUser",19-APR-13 01.32.24.893000000 PM,"guestUser",17-APR-13 02.35.53.634000000 PM
1276864,29354,"O",0,"guestUser",17-APR-13 04.18.45.113000000 PM,"guestUser",17-APR-13 03.16.25.833000000 PM
1276865,29355,"X",0,"guestUser",24-SEP-13 01.28.56.976000000 PM,"guestUser",17-APR-13 03.33.57.500000000 PM
1276978,29363,"O",0,"guestUser",23-APR-13 03.51.48.129000000 PM,"guestUser",23-APR-13 03.40.17.411000000 PM
1276984,29364,"O",0,"guestUser",13-MAY-13 02.53.18.128000000 PM,"guestUser",23-APR-13 05.05.22.548000000 PM
1277032,29366,"X",0,"SKOEHLY",10-JUL-14 11.04.51.809000000 AM,"guestUser",25-APR-13 02.21.49.452000000 PM
1277616,29403,"S",0,"guestUser",16-MAY-13 01.43.57.238000000 PM,"guestUser",16-MAY-13 01.43.57.238000000 PM
1277745,29426,"X",0,"guestUser",23-MAY-13 09.35.48.924000000 AM,"guestUser",23-MAY-13 09.35.48.924000000 AM
1279917,29601,"B",0,"guestUser",28-AUG-13 07.16.44.493000000 AM,"guestUser",28-AUG-13 07.05.21.692000000 AM
1279917,29602,"O",0,"guestUser",28-AUG-13 07.16.44.493000000 AM,"guestUser",28-AUG-13 07.05.21.692000000 AM
1279917,29603,"S",0,"guestUser",28-AUG-13 07.16.44.492000000 AM,"guestUser",28-AUG-13 07.05.21.693000000 AM
1279987,29604,"S",0,"guestUser",29-AUG-13 10.01.22.104000000 AM,"guestUser",29-AUG-13 09.54.21.507000000 AM
1280021,29605,"S",0,"guestUser",29-AUG-13 12.08.11.680000000 PM,"guestUser",29-AUG-13 12.07.22.191000000 PM
1281145,29858,"T",0,"guestUser",21-NOV-13 10.00.51.068000000 AM,"guestUser",21-NOV-13 09.59.12.087000000 AM
