"P_SYS_ID","P_LANG_SK","P_LANG_CD","P_PRIM_LANG_IND","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276763,140852,"EN","Y",0,"guestUser",05-APR-13 01.47.36.335000000 PM,"guestUser",05-APR-13 01.47.36.335000000 PM
1277137,145282,"EN","Y",0,"guestUser",01-MAY-13 01.22.23.768000000 PM,"guestUser",01-MAY-13 01.22.23.768000000 PM
1276762,140836,"EN","Y",0,"guestUser",05-APR-13 10.01.52.112000000 AM,"guestUser",05-APR-13 10.01.52.112000000 AM
1277080,146776,"EN","Y",0,"guestUser",07-MAY-13 09.37.29.672000000 AM,"guestUser",07-MAY-13 09.37.29.672000000 AM
1277134,145272,"EN","Y",0,"guestUser",01-MAY-13 01.00.23.169000000 PM,"guestUser",01-MAY-13 01.00.23.169000000 PM
1277163,145530,"EN","Y",0,"guestUser",02-MAY-13 08.37.45.421000000 AM,"guestUser",02-MAY-13 08.37.45.421000000 AM
1281587,198741,"EN","Y",0,"guestUser",02-JAN-14 04.13.46.926000000 PM,"guestUser",02-JAN-14 04.13.46.926000000 PM
1277480,169901,"EN","Y",0,"guestUser",13-AUG-13 12.40.26.726000000 PM,"guestUser",13-AUG-13 12.40.26.726000000 PM
1290883,375211,"EN","Y",0,"GUESTUSER",08-OCT-14 10.22.54.428000000 AM,"GUESTUSER",08-OCT-14 10.22.54.428000000 AM
1278720,169192,"EN","Y",0,"guestUser",12-AUG-13 04.17.44.901000000 PM,"guestUser",12-AUG-13 04.17.44.901000000 PM
1279182,170115,"EN","Y",0,"guestUser",13-AUG-13 01.24.57.220000000 PM,"guestUser",13-AUG-13 01.24.57.220000000 PM
1281562,198817,"EN","Y",0,"guestUser",03-JAN-14 02.10.21.476000000 PM,"guestUser",03-JAN-14 02.10.21.476000000 PM
1278369,169904,"EN","Y",0,"guestUser",13-AUG-13 12.41.08.902000000 PM,"guestUser",13-AUG-13 12.41.08.902000000 PM
1190029,375309,"EN","N",0,"JMLAGRO",08-OCT-14 01.42.17.114000000 PM,"JMLAGRO",08-OCT-14 01.42.17.114000000 PM
1277178,145594,"EN","Y",0,"guestUser",02-MAY-13 10.37.10.952000000 AM,"guestUser",02-MAY-13 10.37.10.952000000 AM
1279390,168115,"EN","Y",0,"guestUser",09-AUG-13 12.34.32.393000000 PM,"guestUser",09-AUG-13 12.34.32.393000000 PM
1281694,375244,"EN","Y",0,"JMLAGRO",08-OCT-14 11.17.07.698000000 AM,"JMLAGRO",08-OCT-14 11.17.07.698000000 AM
1287821,375236,"EN","Y",0,"GUESTUSER",08-OCT-14 10.59.42.636000000 AM,"GUESTUSER",08-OCT-14 10.59.42.636000000 AM
1277123,146911,"EN","Y",0,"guestUser",07-MAY-13 02.37.53.377000000 PM,"guestUser",07-MAY-13 02.37.53.377000000 PM
1277190,145738,"EN","Y",0,"guestUser",02-MAY-13 12.06.45.251000000 PM,"guestUser",02-MAY-13 12.06.45.251000000 PM
1286651,375223,"EN","Y",0,"GUESTUSER",08-OCT-14 10.35.32.791000000 AM,"GUESTUSER",08-OCT-14 10.35.32.791000000 AM
1277501,169927,"EN","Y",0,"guestUser",13-AUG-13 01.04.38.251000000 PM,"guestUser",13-AUG-13 01.04.38.251000000 PM
1279322,169916,"EN","Y",0,"guestUser",13-AUG-13 12.53.28.374000000 PM,"guestUser",13-AUG-13 12.53.28.374000000 PM
1278421,169924,"EN","Y",0,"guestUser",13-AUG-13 01.04.06.082000000 PM,"guestUser",13-AUG-13 01.04.06.082000000 PM
1277195,146943,"EN","Y",0,"guestUser",07-MAY-13 04.19.27.367000000 PM,"guestUser",07-MAY-13 04.19.27.367000000 PM
1277499,170181,"EN","Y",0,"guestUser",13-AUG-13 02.02.43.340000000 PM,"guestUser",13-AUG-13 02.02.43.340000000 PM
1277354,146983,"EN","Y",0,"guestUser",08-MAY-13 09.55.24.724000000 AM,"guestUser",08-MAY-13 09.55.24.724000000 AM
1277066,147128,"EN","Y",0,"guestUser",08-MAY-13 04.34.03.486000000 PM,"guestUser",08-MAY-13 04.34.03.486000000 PM
1278462,170400,"EN","Y",0,"guestUser",13-AUG-13 02.29.46.688000000 PM,"guestUser",13-AUG-13 02.29.46.688000000 PM
1278464,170414,"EN","Y",0,"guestUser",13-AUG-13 02.36.12.633000000 PM,"guestUser",13-AUG-13 02.36.12.633000000 PM
1277484,170575,"EN","Y",0,"guestUser",13-AUG-13 02.46.48.987000000 PM,"guestUser",13-AUG-13 02.46.48.987000000 PM
