"P_SYS_ID","P_MC_PRTCPTN_PROG_CD","P_MC_PROG_PRTCPTN_BEG_DT","P_MC_PROG_PRTCPTN_END_DT","P_MC_STAT_CD","P_MC_PRTCPTN_RSN_CD","G_AUD_ADD_TS","G_AUD_ADD_USER_ID","G_AUD_TS","G_AUD_USER_ID","P_MC_MAX_MBR_CNT","P_MC_ACT_MBR_CNT"
1000766,"P",28-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",30-NOV-21 05.33.03.000000000 PM,"DATAFIX_ESPRD01296104",1500,30
1000767,"P",26-JUL-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,8
1000768,"P",01-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",07-SEP-18 05.14.25.000000000 PM,"DATAFIX_HT1123162",1500,0
1000772,"P",01-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,0
1000773,"P",15-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000775,"P",08-AUG-11,31-DEC-11,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",28-NOV-17 06.09.17.000000000 PM,"DATAFIX_HT1043429",1500,1
1000775,"P",01-JAN-12,23-MAR-12,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",28-NOV-17 06.09.17.000000000 PM,"DATAFIX_HT1043429",1500,1
1000776,"P",15-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,41
1000781,"P",08-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.54.04.404000000 PM,"KHANDELAND",1500,0
1000785,"P",25-JUL-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,87
1000786,"P",01-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.53.47.268000000 PM,"KHANDELAND",1500,0
1000789,"P",22-JUL-11,30-JUN-12,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000790,"P",15-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,28
1000791,"P",01-AUG-11,01-NOV-11,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",20-MAY-15 10.56.59.923000000 AM,"MAURICIOPENERAND",1500,0
1000791,"P",02-NOV-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",20-MAY-15 10.56.59.924000000 AM,"MAURICIOPENERAND",1500,0
1000797,"P",29-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",27-MAR-15 12.39.41.552000000 PM,"SKOEHLY",1500,43
1000800,"P",15-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000801,"P",11-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",23-APR-18 05.31.38.000000000 PM,"DATAFIX_HT1086103",1500,0
1000802,"P",03-AUG-11,24-OCT-11,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000802,"P",25-OCT-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000804,"P",17-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.54.40.130000000 PM,"KHANDELAND",1500,0
1000809,"P",12-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",07-SEP-18 05.14.25.000000000 PM,"DATAFIX_HT1123162",1500,0
1000811,"P",29-AUG-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",30-NOV-21 05.33.03.000000000 PM,"DATAFIX_ESPRD01296104",1500,1
1000818,"P",26-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.56.22.768000000 PM,"KHANDELAND",1500,0
1000819,"P",22-JUL-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",5,3
1000820,"P",01-OCT-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,92
1000822,"P",22-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000823,"P",01-JUL-11,13-FEB-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000826,"P",01-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.58.40.431000000 PM,"KHANDELAND",1500,0
1000828,"P",10-AUG-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.58.35.850000000 PM,"KHANDELAND",1500,0
1000833,"P",01-SEP-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",18-JUN-15 09.02.33.184000000 AM,"JMLAGRO",1500,3
1000835,"P",01-OCT-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",22-JUN-20 05.58.39.000000000 PM,"DATAFIX_ESPRD01276543",1500,0
1000836,"P",09-SEP-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,39
1000842,"P",07-SEP-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,15
1000843,"P",12-SEP-11,26-MAR-12,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,24
1000843,"P",27-MAR-12,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,24
1000846,"P",01-JUL-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"DATAFIX_ESPRD01209184",08-AUG-22 05.51.11.000000000 PM,"DATAFIX_ESPRD01303811",1500,1
1000848,"P",01-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000851,"P",01-JUL-11,30-SEP-13,"99","PNP",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 01.59.40.568000000 PM,"KHANDELAND",1500,0
1000854,"P",01-JUL-11,04-MAY-12,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
1000857,"P",01-JUL-11,30-SEP-13,"99","PNM",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",29-NOV-19 02.02.08.862000000 PM,"KHANDELAND",1500,0
1000860,"P",01-JUL-11,30-SEP-13,"00","",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",28-MAR-13 03.57.57.000000000 AM,"Provider conversion",1500,0
