"P_RPT_LN_CL_ERR_SK","P_CL_PROV_ID","P_CL_NAME","P_CL_CLIA_NUM","P_CL_EXP_DT","P_CL_LAB_TYPE","P_CL_TERM_CD","P_CL_TERM_RSN","P_CL_EXPIRED_CD","P_CL_ERROR_MSG","P_CL_PRCS_DT","L_HIBERNATE_VER_NUM","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
79516,"1451335","Internal Medicine Associates","35D0408393",20-AUG-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79517,"1452279","PR Health Corporation","35D1006248",12-NOV-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79518,"1454961","Mercy Medical Center","35D0409305",16-AUG-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79519,"1452601","Mercy Medical Center","35D0409305",16-AUG-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79520,"1457820","Carrington Health Center","35D0408755",23-MAY-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79521,"1450983","Myriad Genetic Laboratories Inc","46D2275645",17-OCT-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79522,"1456936","Mercy Hospital of Valley City","35D0041727",08-NOV-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79523,"1451199","Cooperstown Medical Center","35D0408762",01-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79524,"1452057","Ascend Clinical LLC","05D0592241",13-SEP-26,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
79525,"1454589","St Aloisius Hospital Inc","35D0041814",07-FEB-27,"","","","","ND-MSG-02-8368-CLIA-IN HE NOT ON FILE",10-MAR-26,0,"B-IF-CLIA-MNLY_1811166.00",10-MAR-26 11.00.17.616080000 PM
