"P_SYS_ID","P_SPECL_SK","P_SPECL_CD","P_SPECL_BEG_DT","P_SPECL_END_DT","P_SPECL_CERT_NUM","P_STATE_CD","P_SPECL_CERT_BOARD_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000842,1000814,"001",07-SEP-11,30-SEP-13,"","ND","",1,"SKOEHLY",17-NOV-14 04.21.28.508000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000843,1000815,"011",12-SEP-11,30-SEP-13,"","ND","",2,"KARINARUIZ",11-NOV-14 12.27.37.823000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000844,1000816,"217",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000845,1000817,"214",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000846,1000818,"001",01-JUL-11,30-SEP-13,"","ND","",5,"JMLAGRO",20-FEB-15 01.04.22.186000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000847,1000819,"121",01-JUL-11,30-SEP-13,"","ND","",2,"DANIELLAESTRELLA",22-JUN-15 08.15.36.690000000 AM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000848,1000820,"016",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000849,1000821,"006",01-JUL-11,28-AUG-12,"","","",0,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000850,1000822,"179",01-JUL-11,04-OCT-15,"","","",0,"CR1906_SET_ENDDT_4OCT15",30-MAR-13 12.53.04.000000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
1000851,1000823,"001",01-JUL-11,04-OCT-15,"0000","ND","26",1,"KHANDELAND",29-NOV-19 01.59.40.568000000 PM,"Provider Conversion",30-MAR-13 12.53.04.000000000 PM
