"P_SYS_ID","P_SVC_TY_SK","P_SVC_TY_CD","P_SVC_SEQ_NUM","P_SVC_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1276763,850933,"AGE",0,"6",85,"TBRABANDT",03-DEC-13 07.24.33.365000000 AM,"guestUser",05-APR-13 01.47.36.332000000 PM
1276763,850934,"AGE",1,"2",85,"TBRABANDT",03-DEC-13 07.24.33.381000000 AM,"guestUser",05-APR-13 01.47.36.333000000 PM
1276763,850935,"AGE",2,"4",85,"TBRABANDT",03-DEC-13 07.24.33.378000000 AM,"guestUser",05-APR-13 01.47.36.333000000 PM
1276763,850936,"AGE",3,"3",85,"TBRABANDT",03-DEC-13 07.24.33.375000000 AM,"guestUser",05-APR-13 01.47.36.333000000 PM
1276762,850847,"GND",6,"1",2,"RRUD",08-APR-13 07.49.58.418000000 AM,"guestUser",05-APR-13 10.01.52.110000000 AM
1276762,850848,"AGE",5,"7",2,"RRUD",08-APR-13 07.49.58.417000000 AM,"guestUser",05-APR-13 10.01.52.110000000 AM
1276762,850849,"AGE",4,"5",2,"RRUD",08-APR-13 07.49.58.416000000 AM,"guestUser",05-APR-13 10.01.52.110000000 AM
1276762,850850,"AGE",3,"3",2,"RRUD",08-APR-13 07.49.58.415000000 AM,"guestUser",05-APR-13 10.01.52.111000000 AM
1276762,850851,"AGE",2,"6",2,"RRUD",08-APR-13 07.49.58.414000000 AM,"guestUser",05-APR-13 10.01.52.111000000 AM
1276762,850852,"AGE",1,"4",2,"RRUD",08-APR-13 07.49.58.418000000 AM,"guestUser",05-APR-13 10.01.52.111000000 AM
1276762,850853,"AGE",0,"2",2,"RRUD",08-APR-13 07.49.58.418000000 AM,"guestUser",05-APR-13 10.01.52.112000000 AM
1276763,850937,"AGE",4,"5",85,"TBRABANDT",03-DEC-13 07.24.33.372000000 AM,"guestUser",05-APR-13 01.47.36.334000000 PM
1276763,850938,"AGE",5,"7",85,"TBRABANDT",03-DEC-13 07.24.33.368000000 AM,"guestUser",05-APR-13 01.47.36.334000000 PM
1276763,850939,"GND",6,"1",85,"TBRABANDT",03-DEC-13 07.24.33.385000000 AM,"guestUser",05-APR-13 01.47.36.334000000 PM
1276786,852055,"AGE",0,"6",8,"RRUD",12-JUN-14 01.56.05.279000000 PM,"guestUser",10-APR-13 10.36.22.411000000 AM
1276786,852056,"GND",1,"9",8,"RRUD",12-JUN-14 01.56.05.280000000 PM,"guestUser",10-APR-13 10.36.22.411000000 AM
1276920,858475,"AGE",0,"2",0,"guestUser",19-APR-13 02.50.32.138000000 PM,"guestUser",19-APR-13 02.50.32.138000000 PM
1276920,858476,"AGE",1,"4",0,"guestUser",19-APR-13 02.50.32.138000000 PM,"guestUser",19-APR-13 02.50.32.138000000 PM
1276920,858477,"AGE",2,"6",0,"guestUser",19-APR-13 02.50.32.138000000 PM,"guestUser",19-APR-13 02.50.32.138000000 PM
1276920,858478,"AGE",3,"7",0,"guestUser",19-APR-13 02.50.32.138000000 PM,"guestUser",19-APR-13 02.50.32.138000000 PM
1276920,858479,"AGE",4,"3",0,"guestUser",19-APR-13 02.50.32.139000000 PM,"guestUser",19-APR-13 02.50.32.139000000 PM
1276920,858480,"AGE",5,"5",0,"guestUser",19-APR-13 02.50.32.139000000 PM,"guestUser",19-APR-13 02.50.32.139000000 PM
1276920,858481,"GND",6,"1",0,"guestUser",19-APR-13 02.50.32.139000000 PM,"guestUser",19-APR-13 02.50.32.139000000 PM
1277148,970032,"AGE",0,"4",29,"JUDITHSZEGEDI",27-JAN-14 02.00.46.368000000 PM,"guestUser",08-AUG-13 10.39.54.543000000 AM
1277148,970033,"AGE",1,"2",29,"JUDITHSZEGEDI",27-JAN-14 02.00.46.370000000 PM,"guestUser",08-AUG-13 10.39.54.543000000 AM
1277148,970034,"AGE",2,"3",29,"JUDITHSZEGEDI",27-JAN-14 02.00.46.368000000 PM,"guestUser",08-AUG-13 10.39.54.544000000 AM
1277148,970035,"GND",3,"1",29,"JUDITHSZEGEDI",27-JAN-14 02.00.46.367000000 PM,"guestUser",08-AUG-13 10.39.54.545000000 AM
1277161,970093,"AGE",0,"4",27,"JUDITHSZEGEDI",27-JAN-14 02.08.39.060000000 PM,"guestUser",08-AUG-13 10.44.59.920000000 AM
1276771,1035266,"AGE",0,"4",31,"TBRABANDT",13-DEC-13 07.11.10.527000000 AM,"guestUser",24-SEP-13 03.50.50.728000000 PM
1276771,1035267,"AGE",1,"6",31,"TBRABANDT",13-DEC-13 07.11.10.520000000 AM,"guestUser",24-SEP-13 03.50.50.728000000 PM
1276771,1035268,"AGE",2,"2",31,"TBRABANDT",13-DEC-13 07.11.10.540000000 AM,"guestUser",24-SEP-13 03.50.50.728000000 PM
1276771,1035269,"AGE",3,"5",31,"TBRABANDT",13-DEC-13 07.11.10.537000000 AM,"guestUser",24-SEP-13 03.50.50.729000000 PM
1276771,1035270,"AGE",4,"7",31,"TBRABANDT",13-DEC-13 07.11.10.533000000 AM,"guestUser",24-SEP-13 03.50.50.729000000 PM
1276771,1035271,"AGE",5,"3",31,"TBRABANDT",13-DEC-13 07.11.10.530000000 AM,"guestUser",24-SEP-13 03.50.50.729000000 PM
1276771,1035272,"GND",6,"1",31,"TBRABANDT",13-DEC-13 07.11.10.523000000 AM,"guestUser",24-SEP-13 03.50.50.730000000 PM
1277161,970094,"AGE",1,"2",27,"JUDITHSZEGEDI",27-JAN-14 02.08.39.061000000 PM,"guestUser",08-AUG-13 10.44.59.920000000 AM
1276922,858566,"AGE",0,"2",0,"guestUser",19-APR-13 02.55.44.664000000 PM,"guestUser",19-APR-13 02.55.44.664000000 PM
1276922,858567,"AGE",1,"4",0,"guestUser",19-APR-13 02.55.44.665000000 PM,"guestUser",19-APR-13 02.55.44.665000000 PM
1276922,858568,"AGE",2,"6",0,"guestUser",19-APR-13 02.55.44.665000000 PM,"guestUser",19-APR-13 02.55.44.665000000 PM
1276922,858569,"AGE",3,"3",0,"guestUser",19-APR-13 02.55.44.665000000 PM,"guestUser",19-APR-13 02.55.44.665000000 PM
1276922,858570,"AGE",4,"5",0,"guestUser",19-APR-13 02.55.44.666000000 PM,"guestUser",19-APR-13 02.55.44.666000000 PM
1276922,858571,"AGE",5,"7",0,"guestUser",19-APR-13 02.55.44.666000000 PM,"guestUser",19-APR-13 02.55.44.666000000 PM
1276922,858572,"GND",6,"1",0,"guestUser",19-APR-13 02.55.44.667000000 PM,"guestUser",19-APR-13 02.55.44.667000000 PM
1280464,1035322,"AGE",0,"4",10,"KARINARUIZ",14-JUL-14 12.58.14.223000000 PM,"guestUser",24-SEP-13 03.59.12.298000000 PM
1280464,1035323,"AGE",1,"2",10,"KARINARUIZ",14-JUL-14 12.58.14.223000000 PM,"guestUser",24-SEP-13 03.59.12.298000000 PM
1277161,970095,"AGE",2,"3",27,"JUDITHSZEGEDI",27-JAN-14 02.08.39.060000000 PM,"guestUser",08-AUG-13 10.44.59.922000000 AM
1277161,970096,"GND",3,"1",27,"JUDITHSZEGEDI",27-JAN-14 02.08.39.060000000 PM,"guestUser",08-AUG-13 10.44.59.922000000 AM
1277001,863122,"AGE",0,"4",18,"JMLAGRO",16-DEC-13 11.08.27.965000000 AM,"guestUser",24-APR-13 01.39.38.807000000 PM
1277001,863123,"AGE",1,"2",18,"JMLAGRO",16-DEC-13 11.08.27.964000000 AM,"guestUser",24-APR-13 01.39.38.807000000 PM
1277001,863124,"AGE",2,"6",18,"JMLAGRO",16-DEC-13 11.08.27.964000000 AM,"guestUser",24-APR-13 01.39.38.808000000 PM
1277001,863125,"AGE",3,"7",18,"JMLAGRO",16-DEC-13 11.08.27.966000000 AM,"guestUser",24-APR-13 01.39.38.808000000 PM
1277001,863126,"AGE",4,"5",18,"JMLAGRO",16-DEC-13 11.08.27.965000000 AM,"guestUser",24-APR-13 01.39.38.808000000 PM
1277001,863127,"AGE",5,"3",18,"JMLAGRO",16-DEC-13 11.08.27.965000000 AM,"guestUser",24-APR-13 01.39.38.808000000 PM
1277001,863128,"GND",6,"1",18,"JMLAGRO",16-DEC-13 11.08.27.964000000 AM,"guestUser",24-APR-13 01.39.38.809000000 PM
1280464,1035324,"AGE",2,"6",10,"KARINARUIZ",14-JUL-14 12.58.14.222000000 PM,"guestUser",24-SEP-13 03.59.12.299000000 PM
1280464,1035325,"AGE",3,"3",10,"KARINARUIZ",14-JUL-14 12.58.14.224000000 PM,"guestUser",24-SEP-13 03.59.12.299000000 PM
1276787,852032,"AGE",0,"2",12,"KRBACKMAN",05-DEC-13 09.18.48.391000000 AM,"guestUser",10-APR-13 10.34.17.735000000 AM
1276787,852033,"AGE",1,"6",12,"KRBACKMAN",05-DEC-13 09.18.48.393000000 AM,"guestUser",10-APR-13 10.34.17.735000000 AM
1280464,1035326,"AGE",4,"7",10,"KARINARUIZ",14-JUL-14 12.58.14.224000000 PM,"guestUser",24-SEP-13 03.59.12.299000000 PM
1280464,1035327,"AGE",5,"5",10,"KARINARUIZ",14-JUL-14 12.58.14.224000000 PM,"guestUser",24-SEP-13 03.59.12.300000000 PM
1276787,852034,"AGE",2,"4",12,"KRBACKMAN",05-DEC-13 09.18.48.392000000 AM,"guestUser",10-APR-13 10.34.17.735000000 AM
1276787,852035,"AGE",3,"3",12,"KRBACKMAN",05-DEC-13 09.18.48.392000000 AM,"guestUser",10-APR-13 10.34.17.735000000 AM
1276787,852036,"AGE",4,"7",12,"KRBACKMAN",05-DEC-13 09.18.48.392000000 AM,"guestUser",10-APR-13 10.34.17.735000000 AM
1276787,852037,"AGE",5,"5",12,"KRBACKMAN",05-DEC-13 09.18.48.391000000 AM,"guestUser",10-APR-13 10.34.17.736000000 AM
1276787,852038,"GND",6,"1",12,"KRBACKMAN",05-DEC-13 09.18.48.391000000 AM,"guestUser",10-APR-13 10.34.17.736000000 AM
1280464,1035328,"GND",6,"1",10,"KARINARUIZ",14-JUL-14 12.58.14.223000000 PM,"guestUser",24-SEP-13 03.59.12.300000000 PM
1276915,860996,"GND",6,"8",1,"JMLAGRO",04-FEB-14 10.28.19.157000000 AM,"guestUser",23-APR-13 08.18.24.067000000 AM
1276915,860997,"AGE",5,"7",1,"JMLAGRO",04-FEB-14 10.28.19.157000000 AM,"guestUser",23-APR-13 08.18.24.067000000 AM
