"P_SYS_ID","P_TXNMY_SK","P_TXNMY_CD","P_TXNMY_BEG_DT","P_TXNMY_END_DT","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
1000003,1000000,"282N00000X",15-JUL-09,16-JUL-15,2,"B-Term-Prov-Trigger_2404152.00",20-FEB-19 06.01.02.634875000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000004,1000001,"282N00000X",01-JAN-12,31-DEC-99,3,"AYARBROUGH",20-DEC-18 09.45.27.790000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000031,1000008,"282NC0060X",22-JUL-10,31-JAN-18,9,"B-Term-Prov-Trigger_1806955.00",31-JAN-18 06.01.08.297126000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000043,1000011,"282N00000X",01-OCT-13,31-DEC-99,4,"JASTONE",25-MAY-18 07.49.52.590000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000074,1000022,"282N00000X",31-JUL-12,30-SEP-13,1,"SHERSAYLER",30-MAR-14 03.37.25.759000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000087,1000025,"261QE0700X",01-JAN-13,30-SEP-13,2,"JMLAGRO",19-SEP-14 08.00.34.446000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000097,1000028,"273R00000X",01-OCT-13,31-DEC-99,5,"JASTONE",25-MAY-18 07.46.36.292000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000098,1000029,"273Y00000X",01-JUL-11,31-DEC-99,3,"JMLAGRO",04-AUG-15 08.09.12.702000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000099,1000030,"261QE0700X",01-JUL-11,31-DEC-99,2,"THENDERSON",21-AUG-15 08.23.07.617000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000100,1000031,"275N00000X",01-JUL-11,31-JAN-18,5,"B-Term-Prov-Trigger_1806955.00",31-JAN-18 06.01.08.297126000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000109,1000037,"261QR1300X",27-APR-10,23-SEP-16,7,"B-Term-Prov-Trigger_1289553.00",01-FEB-17 06.00.43.412956000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000117,1000045,"261QR1300X",01-JUL-11,31-JAN-18,2,"B-Term-Prov-Trigger_1806955.00",31-JAN-18 06.01.08.297126000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000118,1000047,"261QR1300X",01-JUN-12,31-DEC-99,5,"CAROLREEVES",05-JUN-15 08.54.47.779000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000121,1000050,"261QF0400X",15-JUN-10,31-DEC-99,4,"SKOEHLY",30-MAR-15 03.12.54.400000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000149,1000055,"207Y00000X",27-JAN-06,31-DEC-99,4,"ANNDOLL",21-SEP-20 02.20.38.856000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000160,1000056,"111N00000X",01-OCT-13,31-DEC-99,5,"MAURICIOPENERAND",21-JAN-16 05.10.05.931000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000168,1000059,"207Q00000X",07-MAR-13,31-DEC-99,3,"MCMOOS",29-SEP-21 01.02.25.624000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000173,1000060,"207P00000X",01-JAN-07,08-JUN-25,3,"B-Term-Prov-Trigger_1417709.00",10-JUN-25 06.02.17.595277000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000176,1000061,"207Y00000X",27-JAN-06,31-DEC-99,1,"Provider Conversion",08-MAR-14 12.40.53.891000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000183,1000065,"2085R0202X",01-APR-05,02-JAN-20,3,"B-Term-Prov-Trigger_1291511.00",14-MAR-25 06.01.45.176974000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000187,1000066,"111N00000X",28-JAN-11,31-DEC-99,1,"Provider Conversion",28-JAN-15 05.58.04.379000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000188,1000067,"261Q00000X",10-MAY-08,07-APR-19,2,"B-Term-Prov-Trigger_2494258.00",17-APR-19 06.00.55.062908000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000222,1000070,"207V00000X",01-JAN-07,31-DEC-99,12,"MMANYGUNS",21-JUL-15 11.17.38.940000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000224,1000071,"207X00000X",04-MAR-06,24-MAR-25,3,"B-Term-Prov-Trigger_1305643.00",24-MAR-25 06.01.11.972653000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000227,1000074,"2085R0202X",07-JAN-08,31-DEC-99,3,"ANNDOLL",23-APR-19 09.08.58.842000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000235,1000078,"207L00000X",01-JUL-10,06-FEB-25,4,"B-Term-Prov-Trigger_1239974.00",06-FEB-25 06.01.45.506410000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000243,1000081,"208G00000X",09-SEP-10,31-DEC-99,7,"DMOCK",18-APR-16 01.37.06.065000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000249,1000087,"207Q00000X",01-AUG-10,31-DEC-99,6,"MELISSABULGER",12-NOV-14 08.52.11.327000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000251,1000088,"103T00000X",01-OCT-10,14-SEP-18,5,"RRUD",12-NOV-19 01.55.12.488000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000254,1000090,"208600000X",29-DEC-10,02-OCT-13,7,"B-Term-Prov-Trigger_2957260.00",24-JAN-20 06.02.27.656537000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000259,1000093,"207RC0000X",01-DEC-10,30-SEP-13,2,"MAURICIOPENERAND",03-AUG-15 02.57.25.911000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000262,1000096,"103T00000X",04-OCT-10,04-OCT-15,3,"CR1906_SET_ENDDT_4OCT15",11-AUG-15 12.39.16.885000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000265,1000100,"111N00000X",04-NOV-10,31-DEC-99,2,"KWOODALL",24-SEP-14 03.45.58.762000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000268,1000103,"207R00000X",04-OCT-10,25-JUN-15,7,"B-Term-Prov-Trigger_1415335.00",15-MAY-17 06.00.50.938388000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000270,1000105,"367500000X",19-NOV-10,31-DEC-99,3,"MLMOOS",01-APR-19 05.57.12.796000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000271,1000106,"367500000X",06-JUL-04,31-DEC-99,3,"BRENDAPEREZESCOB",13-MAY-15 12.08.44.207000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000273,1000108,"367500000X",16-NOV-10,30-SEP-13,2,"JMLAGRO",27-JAN-15 12.27.40.347000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000291,1000118,"111N00000X",09-DEC-10,01-SEP-12,0,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000294,1000121,"111N00000X",01-JAN-11,04-OCT-15,2,"CR1906_SET_ENDDT_4OCT15",17-MAR-15 07.50.23.651000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000303,1000128,"207R00000X",01-JAN-11,31-DEC-99,7,"DMOCK",10-MAR-22 02.26.03.271000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000316,1000134,"2085R0202X",24-MAR-11,31-DEC-99,4,"JMLAGRO",21-JUL-15 08.51.21.084000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000322,1000139,"207V00000X",03-JAN-11,04-OCT-15,1,"CR1906_SET_ENDDT_4OCT15",23-JAN-15 11.16.16.436000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000325,1000142,"207L00000X",22-MAR-11,31-DEC-99,4,"MMANYGUNS",26-FEB-15 02.13.15.171000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000327,1000144,"207R00000X",24-MAR-11,31-DEC-99,3,"DANIELLAESTRELLA",11-NOV-14 03.50.35.835000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000329,1000146,"207W00000X",15-OCT-10,31-DEC-99,5,"JMLAGRO",02-MAR-15 01.36.20.286000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000330,1000147,"207X00000X",30-NOV-10,31-JUL-17,4,"B-Term-Prov-Trigger_1890741.00",29-MAR-18 06.00.51.210576000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000336,1000152,"261QA1903X",01-AUG-10,31-DEC-99,6,"JMLAGRO",05-AUG-15 12.24.30.607000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000340,1000154,"367500000X",01-FEB-11,31-DEC-99,8,"MLMOOS",02-APR-19 01.10.27.094000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000345,1000159,"208G00000X",15-FEB-11,01-FEB-15,9,"B-Term-Prov-Trigger_717958.00",02-OCT-15 06.01.35.531603000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000347,1000161,"207R00000X",24-MAR-11,31-DEC-99,7,"KAMELTZER",20-OCT-21 11.34.58.833000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000348,1000162,"207Q00000X",01-APR-11,31-DEC-29,4,"ESTHERSHAHPAR",12-NOV-14 02.13.29.551000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000350,1000163,"367500000X",23-FEB-11,01-MAR-19,6,"B-Term-Prov-Trigger_2423411.00",04-MAR-19 06.01.01.982775000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000351,1000164,"208G00000X",01-MAR-11,29-MAY-15,5,"B-Term-Prov-Trigger_844896.00",18-JAN-16 06.01.28.048981000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000364,1000175,"367500000X",14-MAR-11,30-SEP-13,0,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000367,1000177,"367500000X",01-JUN-11,31-DEC-99,1,"Provider Conversion",24-MAR-14 07.16.51.294000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000372,1000181,"2085R0001X",25-APR-11,30-SEP-13,5,"MAURICIOPENERAND",03-AUG-15 03.17.47.057000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000376,1000185,"367500000X",28-MAR-11,10-FEB-23,2,"B-Term-Prov-Trigger_1299954.00",20-MAR-25 06.01.31.623136000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000377,1000186,"207K00000X",04-APR-11,31-DEC-99,7,"JMLAGRO",20-JUL-15 07.37.15.691000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000385,1000190,"367500000X",20-DEC-10,24-NOV-23,3,"B-Term-Prov-Trigger_607322.00",24-NOV-23 06.01.40.884859000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000388,1000193,"2085R0202X",25-MAR-11,09-MAY-25,4,"B-Term-Prov-Trigger_1371381.00",09-MAY-25 06.02.19.579258000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000389,1000194,"367500000X",22-NOV-10,31-DEC-99,4,"MMANYGUNS",30-MAR-15 01.46.52.508000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000394,1000199,"111N00000X",04-JUN-12,31-DEC-99,3,"MMANYGUNS",03-FEB-15 08.53.05.996000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000396,1000201,"208600000X",20-JAN-11,31-DEC-99,7,"DMOCK",19-APR-16 10.52.52.292000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000398,1000203,"367500000X",03-JAN-11,31-DEC-99,3,"DMOCK",14-NOV-17 09.16.36.470000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000402,1000206,"207R00000X",10-JAN-11,15-JUN-18,8,"B-Term-Prov-Trigger_2010083.00",15-JUN-18 06.01.57.194524000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1000407,1000211,"207K00000X",23-JUL-10,31-DEC-99,5,"USHASHA",23-JUL-15 01.17.49.371000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001092,1000781,"1223S0112X",01-APR-10,30-SEP-13,3,"SHERSAYLER",29-DEC-14 02.55.37.307000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001093,1000782,"204E00000X",30-JUN-10,30-SEP-13,2,"SHERSAYLER",29-DEC-14 01.58.40.833000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001096,1000784,"207Q00000X",16-APR-07,31-DEC-99,6,"JMLAGRO",20-FEB-15 11.04.52.051000000 AM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001099,1000787,"207RG0100X",10-MAY-12,20-APR-17,4,"B-Term-Prov-Trigger_1962914.00",15-MAY-18 06.00.52.897539000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001100,1000788,"207T00000X",10-MAY-12,13-DEC-19,12,"B-Term-Prov-Trigger_3039301.00",13-MAR-20 06.02.13.774601000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001101,1000789,"367500000X",10-MAY-12,31-DEC-99,3,"ESTHERSHAHPAR",15-SEP-14 03.51.27.980000000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
1001102,1000790,"207X00000X",10-MAY-12,18-SEP-18,11,"B-Term-Prov-Trigger_2159582.00",18-SEP-18 06.01.37.446003000 PM,"Provider Conversion",28-MAR-13 03.57.46.000000000 AM
