"P_TY_CD","P_SPECL_CD","L_HIBERNATE_VER_NUM","G_AUD_USER_ID","G_AUD_TS","G_AUD_ADD_USER_ID","G_AUD_ADD_TS"
"033","347",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"022","115",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"012","066",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"017","393",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"028","131",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"032","258",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"032","451",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"027","362",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"020","121",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"020","142",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"010","050",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","416",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"020","029",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"020","497",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","030",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","417",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","418",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","419",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"016","129",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","422",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","364",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"027","364",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","420",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"028","421",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"027","363",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"026","423",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"048","324",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"022","349",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"022","430",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
"039","086",0,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM,"wf_ND_MC_PRV_TY_SP_XREFV17",18-AUG-15 11.06.12.000000000 AM
